"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-0.97","58348900","58348900","3060","19396","3060","19396"
"2026-09-08","-0.64","23695445","23695445","3090","7706","3090","7706"
"2026-09-07","-2.96","43389820","43389820","3110","13652","3110","13652"
"2026-09-04","3.39","70938195","70938195","3205","22573","3205","22573"
"2026-09-03","5.62","77852315","77852315","3100","26017","3100","26017"
"2026-09-02","0.34","163645520","163645520","2935","56409","2935","56409"
"2026-09-01","4.46","24212115","24212115","2925","8565","2925","8565"
"2026-08-31","1.82","63151900","63151900","2800","22873","2800","22873"
"2026-08-28","4.36","40243605","40243605","2750","15064","2750","15064"
"2026-08-27","2.93","49418985","49418985","2635","19236","2635","19236"
"2026-08-26","-5.19","70433890","70433890","2560","27201","2560","27201"
"2026-08-24","-2.88","18712440","18712440","2700","6930","2700","6930"
"2026-08-21","1.65","36053405","36053405","2780","13302","2780","13302"
"2026-08-20","1.48","44942710","44942710","2735","16589","2735","16589"
"2026-08-19","3.65","66699920","66699920","2695","25827","2695","25827"
"2026-08-18","-3.7","65466640","65466640","2600","25251","2600","25251"
"2026-08-17","-2.7","42168665","42168665","2700","16030","2700","16030"
"2026-08-14","-0.72","10297550","10297550","2775","3709","2775","3709"
"2026-08-13","2.38","57274745","57274745","2795","20786","2795","20786"
"2026-08-12","3.02","15203165","15203165","2730","5659","2730","5659"
"2026-08-11","2.51","20772435","20772435","2650","8060","2650","8060"
"2026-08-10","2.17","70451385","70451385","2585","27622","2585","27622"
"2026-08-06","7.43","145679215","145679215","2530","63031","2530","63031"
"2026-08-05","-7.47","35991755","35991755","2355","15283","2355","15283"
"2026-08-04","-7.45","34475035","34475035","2545","13544","2545","13544"
"2026-08-03","2.23","14408590","14408590","2750","5315","2750","5315"
"2026-07-31","-0.37","37197795","37197795","2690","13855","2690","13855"
"2026-07-30","0.75","20711985","20711985","2700","7750","2700","7750"
"2026-07-29","1.52","19621735","19621735","2680","7423","2680","7423"
"2026-07-28","-0.75","27272175","27272175","2640","10474","2640","10474"
"2026-07-27","-3.62","23052780","23052780","2660","8573","2660","8573"
"2026-07-24","-0.36","17724130","17724130","2760","6396","2760","6396"
"2026-07-23","0","77026285","77026285","2770","29318","2770","29318"
"2026-07-22","-0.72","21907280","21907280","2770","7977","2770","7977"
"2026-07-21","-1.06","21944525","21944525","2790","7892","2790","7892"
"2026-07-20","3.68","37075085","37075085","2820","13205","2820","13205"
"2026-07-17","0.37","70086680","70086680","2720","25288","2720","25288"
"2026-07-16","7.33","59779645","59779645","2710","22071","2710","22071"
"2026-07-15","7.45","67541225","67541225","2525","26749","2525","26749"
"2026-07-14","7.31","38535690","38535690","2350","16828","2350","16828"
"2026-07-13","-0.9","29852810","29852810","2190","13655","2190","13655"
"2026-07-10","-3.49","27388955","27388955","2210","12237","2210","12237"
"2026-07-09","-2.76","47927915","47927915","2290","20887","2290","20887"
"2026-07-08","-4.66","56480765","56480765","2355","23681","2355","23681"
"2026-07-07","-0.4","18678940","18678940","2470","7494","2470","7494"
"2026-07-06","1.85","26759970","26759970","2480","10894","2480","10894"
"2026-07-03","1.67","39863985","39863985","2435","16554","2435","16554"
"2026-07-02","-0.21","30342905","30342905","2395","12740","2395","12740"
"2026-07-01","-1.84","56436990","56436990","2400","24280","2400","24280"
"2026-06-30","-2.78","44917660","44917660","2445","18493","2445","18493"
"2026-06-29","-1.37","25391720","25391720","2515","10122","2515","10122"
"2026-06-26","2","27253735","27253735","2550","10833","2550","10833"
"2026-06-25","2.04","40057770","40057770","2500","16109","2500","16109"
"2026-06-24","0.41","151996760","151996760","2450","59754","2450","59754"
"2026-06-23","4.95","134908265","134908265","2440","57716","2440","57716"
"2026-06-22","0.22","104095635","104095635","2325","43691","2325","43691"
"2026-06-19","0.43","72673050","72673050","2320","31011","2320","31011"
"2026-06-18","0","52372835","52372835","2310","22556","2310","22556"
"2026-06-17","1.32","75273960","75273960","2310","32581","2310","32581"
"2026-06-16","7.29","29726640","29726640","2280","13038","2280","13038"
"2026-06-15","7.32","44736195","44736195","2125","21161","2125","21161"
"2026-06-12","-0.5","63692655","63692655","1980","32057","1980","32057"
"2026-06-11","0.51","19537440","19537440","1990","9855","1990","9855"
"2026-06-10","-1","33203950","33203950","1980","16659","1980","16659"
"2026-06-09","-1.48","19069975","19069975","2000","9550","2000","9550"
"2026-06-08","-1.22","68602830","68602830","2030","33711","2030","33711"
"2026-06-05","-1.2","68471600","68471600","2055","32866","2055","32866"
"2026-06-04","6.67","74764145","74764145","2080","36309","2080","36309"
"2026-06-03","1.56","22311265","22311265","1950","11565","1950","11565"
"2026-06-02","2.13","26502105","26502105","1920","13953","1920","13953"
"2026-06-01","3.87","14153205","14153205","1880","7636","1880","7636"
"2026-05-29","3.43","32673535","32673535","1810","18204","1810","18204"
"2026-05-28","3.55","26114720","26114720","1750","15541","1750","15541"
"2026-05-26","-0.59","3088275","3088275","1690","1826","1690","1826"
"2026-05-22","0.59","5028155","5028155","1700","2957","1700","2957"
"2026-05-21","2.42","94113545","94113545","1690","60305","1690","60305"
"2026-05-20","-3.51","21407105","21407105","1650","12802","1650","12802"
"2026-05-19","0.88","4586360","4586360","1710","2698","1710","2698"
"2026-05-18","-3.14","12331890","12331890","1695","7260","1695","7260"
"2026-05-15","-1.96","11514940","11514940","1750","6580","1750","6580"
"2026-05-13","2.29","8550285","8550285","1785","4814","1785","4814"
"2026-05-12","2.65","21392370","21392370","1745","12445","1745","12445"
"2026-05-11","-2.58","24305370","24305370","1700","14252","1700","14252"
"2026-05-08","-3.06","184465845","184465845","1745","109506","1745","109506"
"2026-05-07","6.82","21296975","21296975","1800","12180","1800","12180"
"2026-05-06","-2.32","5279460","5279460","1685","3111","1685","3111"
