"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","3.67","4663035","4663035","2120","2229","2120","2229"
"2026-09-08","-2.85","6818940","6818940","2045","3307","2045","3307"
"2026-09-07","-3.22","4361230","4361230","2105","2024","2105","2024"
"2026-09-04","-1.14","8056850","8056850","2175","3790","2175","3790"
"2026-09-03","-0.9","26668380","26668380","2200","12763","2200","12763"
"2026-09-02","-7.5","26027985","26027985","2220","11385","2220","11385"
"2026-09-01","4.58","37058775","37058775","2400","16066","2400","16066"
"2026-08-31","-0.22","2897225","2897225","2295","1270","2295","1270"
"2026-08-28","0.22","8138990","8138990","2300","3470","2300","3470"
"2026-08-27","7.49","3709795","3709795","2295","1648","2295","1648"
"2026-08-26","7.29","20193545","20193545","2135","10030","2135","10030"
"2026-08-24","0","6297580","6297580","1990","3163","1990","3163"
"2026-08-21","0","7141675","7141675","1990","3586","1990","3586"
"2026-08-20","0","2750870","2750870","1990","1382","1990","1382"
"2026-08-19","-0.25","4622190","4622190","1990","2320","1990","2320"
"2026-08-18","0.5","3802355","3802355","1995","1907","1995","1907"
"2026-08-17","-0.75","5345155","5345155","1985","2715","1985","2715"
"2026-08-14","0","1841815","1841815","2000","921","2000","921"
"2026-08-13","0.25","6168495","6168495","2000","3095","2000","3095"
"2026-08-12","0.5","4789650","4789650","1995","2435","1995","2435"
"2026-08-11","4.2","4585640","4585640","1985","2392","1985","2392"
"2026-08-10","0.26","8946850","8946850","1905","4690","1905","4690"
"2026-08-06","-0.78","2653110","2653110","1900","1386","1900","1386"
"2026-08-05","-0.78","4074020","4074020","1915","2121","1915","2121"
"2026-08-04","0","4616780","4616780","1930","2393","1930","2393"
"2026-08-03","2.12","4491440","4491440","1930","2336","1930","2336"
"2026-07-31","0.53","698550","698550","1890","371","1890","371"
"2026-07-30","0.27","2145565","2145565","1880","1137","1880","1137"
"2026-07-29","0","1303200","1303200","1875","692","1875","692"
"2026-07-28","-1.32","2589765","2589765","1875","1365","1875","1365"
"2026-07-27","-4.28","902530","902530","1900","475","1900","475"
"2026-07-24","-0.25","2051340","2051340","1985","1055","1985","1055"
"2026-07-23","0.76","1348485","1348485","1990","683","1990","683"
"2026-07-22","-0.5","892720","892720","1975","459","1975","459"
"2026-07-21","-0.25","1083815","1083815","1985","552","1985","552"
"2026-07-20","6.13","4041150","4041150","1990","2117","1990","2117"
"2026-07-17","0","8930950","8930950","1875","4512","1875","4512"
"2026-07-16","-0.27","11667820","11667820","1875","6246","1875","6246"
"2026-07-15","7.43","3373190","3373190","1880","1869","1880","1869"
"2026-07-14","-1.13","8563355","8563355","1750","4841","1750","4841"
"2026-07-13","0.85","1278055","1278055","1770","725","1770","725"
"2026-07-10","-2.77","2739885","2739885","1755","1567","1755","1567"
"2026-07-09","-7.44","2245455","2245455","1805","1228","1805","1228"
"2026-07-08","-0.51","6192605","6192605","1950","3166","1950","3166"
"2026-07-07","-1.51","2984375","2984375","1960","1522","1960","1522"
"2026-07-06","-0.5","1339900","1339900","1990","675","1990","675"
"2026-07-03","0.76","2337615","2337615","2000","1176","2000","1176"
"2026-07-02","0","6127160","6127160","1985","3107","1985","3107"
"2026-07-01","0","1878710","1878710","1985","945","1985","945"
"2026-06-30","0","6878835","6878835","1985","3477","1985","3477"
"2026-06-29","1.02","3197200","3197200","1985","1602","1985","1602"
"2026-06-26","-1.26","3300695","3300695","1965","1662","1965","1662"
"2026-06-25","1.27","1294460","1294460","1990","652","1990","652"
"2026-06-24","-1.26","2983675","2983675","1965","1504","1965","1504"
"2026-06-23","0","8412530","8412530","1990","4227","1990","4227"
"2026-06-22","-5.24","9624330","9624330","1990","4752","1990","4752"
"2026-06-19","4.22","13825490","13825490","2100","6491","2100","6491"
"2026-06-18","2.81","23768350","23768350","2015","12000","2015","12000"
"2026-06-17","3.16","5156480","5156480","1960","2621","1960","2621"
"2026-06-16","1.06","12405505","12405505","1900","6418","1900","6418"
"2026-06-15","0","9830855","9830855","1880","5230","1880","5230"
"2026-06-12","0","5587580","5587580","1880","2933","1880","2933"
"2026-06-11","7.43","4688520","4688520","1880","2584","1880","2584"
"2026-06-10","7.36","7788030","7788030","1750","4468","1750","4468"
"2026-06-09","-2.69","2081940","2081940","1630","1289","1630","1289"
"2026-06-08","1.52","1198995","1198995","1675","739","1675","739"
"2026-06-05","0","8217535","8217535","1650","4875","1650","4875"
"2026-06-04","-2.94","912355","912355","1650","558","1650","558"
"2026-06-03","0","8939755","8939755","1700","5421","1700","5421"
"2026-06-02","0","8300625","8300625","1700","4868","1700","4868"
"2026-06-01","7.26","9567100","9567100","1700","5633","1700","5633"
"2026-05-29","0","1297115","1297115","1585","815","1585","815"
"2026-05-28","6.02","2702270","2702270","1585","1714","1585","1714"
"2026-05-26","-0.33","670350","670350","1495","447","1495","447"
"2026-05-22","-1.64","2172185","2172185","1500","1423","1500","1423"
"2026-05-21","-1.61","1022200","1022200","1525","669","1525","669"
"2026-05-20","3.33","1834300","1834300","1550","1219","1550","1219"
"2026-05-19","-2.91","1703205","1703205","1500","1073","1500","1073"
"2026-05-18","0","2078975","2078975","1545","1312","1545","1312"
"2026-05-15","-2.83","6108185","6108185","1545","3859","1545","3859"
"2026-05-13","6.35","5249680","5249680","1590","3439","1590","3439"
"2026-05-12","7.17","11638415","11638415","1495","7896","1495","7896"
"2026-05-11","7.31","1191685","1191685","1395","895","1395","895"
"2026-05-08","-2.62","11466305","11466305","1300","8921","1300","8921"
"2026-05-07","-1.11","1927460","1927460","1335","1454","1335","1454"
"2026-05-06","0.37","3149345","3149345","1350","2376","1350","2376"
"2026-05-05","-7.24","2664445","2664445","1345","1981","1345","1981"
"2026-05-04","-7.35","1583400","1583400","1450","1092","1450","1092"
"2026-04-30","0","338015","338015","1565","216","1565","216"
"2026-04-29","-1.26","556340","556340","1565","355","1565","355"
"2026-04-28","-0.31","3614230","3614230","1585","2298","1585","2298"
"2026-04-27","-0.63","557230","557230","1590","349","1590","349"
"2026-04-24","0","1964485","1964485","1600","1304","1600","1304"
"2026-04-23","-1.84","2046190","2046190","1600","1291","1600","1291"
"2026-04-22","4.15","2306130","2306130","1630","1415","1630","1415"
"2026-04-21","0.32","3645885","3645885","1565","2329","1565","2329"
"2026-04-20","3.65","361400","361400","1560","235","1560","235"
"2026-04-17","-3.83","657460","657460","1505","422","1505","422"
"2026-04-16","-0.32","1301055","1301055","1565","839","1565","839"
"2026-04-15","0.32","1730290","1730290","1570","1111","1570","1111"
"2026-04-14","0.97","879975","879975","1565","564","1565","564"
"2026-04-13","-1.9","1319720","1319720","1550","837","1550","837"
"2026-04-10","0","1490850","1490850","1580","945","1580","945"
"2026-04-09","-0.32","2180685","2180685","1580","1381","1580","1381"
"2026-04-08","-0.63","899355","899355","1585","565","1585","565"
"2026-04-07","5.28","1036375","1036375","1595","663","1595","663"
"2026-04-03","-4.72","1196730","1196730","1515","782","1515","782"
"2026-04-02","0","1327295","1327295","1590","852","1590","852"
"2026-04-01","0","1969400","1969400","1590","1238","1590","1238"
"2026-03-31","0.32","627905","627905","1590","394","1590","394"
"2026-03-30","-1.55","758825","758825","1585","474","1585","474"
"2026-03-27","0","3381730","3381730","1610","2102","1610","2102"
"2026-03-26","0.63","1085285","1085285","1610","677","1610","677"
"2026-03-25","1.27","1070500","1070500","1600","671","1600","671"
"2026-03-24","-1.56","3895455","3895455","1580","2430","1580","2430"
"2026-03-23","0.31","1804075","1804075","1605","1125","1605","1125"
"2026-03-19","1.59","518690","518690","1600","328","1600","328"
"2026-03-18","-2.17","3062925","3062925","1575","1911","1575","1911"
"2026-03-17","-0.92","2605850","2605850","1610","1624","1610","1624"
"2026-03-13","1.56","1992140","1992140","1625","1247","1625","1247"
"2026-03-12","-1.84","5392740","5392740","1600","3361","1600","3361"
"2026-03-11","1.88","2722665","2722665","1630","1693","1630","1693"
"2026-03-10","0","8694820","8694820","1600","5695","1600","5695"
"2026-03-09","0","1650110","1650110","1600","1040","1600","1040"
"2026-03-06","-0.62","5279030","5279030","1600","3339","1600","3339"
"2026-03-05","1.26","2286470","2286470","1610","1438","1610","1438"
"2026-03-04","-0.63","2541810","2541810","1590","1617","1590","1617"
"2026-03-03","-1.84","4086350","4086350","1600","2553","1600","2553"
"2026-03-02","0.31","4490990","4490990","1630","2785","1630","2785"
"2026-02-27","3.17","3175730","3175730","1625","1998","1625","1998"
"2026-02-26","0.64","10445845","10445845","1575","6575","1575","6575"
"2026-02-25","-0.95","9969485","9969485","1565","6309","1565","6309"
"2026-02-24","0.32","4758185","4758185","1580","3031","1580","3031"
"2026-02-23","1.29","4116540","4116540","1575","2614","1575","2614"
"2026-02-20","-1.58","3250385","3250385","1555","2097","1555","2097"
"2026-02-19","0.32","3045205","3045205","1580","1931","1580","1931"
"2026-02-18","5","4205485","4205485","1575","2786","1575","2786"
"2026-02-17","-0.66","3251840","3251840","1500","2156","1500","2156"
"2026-02-16","-4.13","2666310","2666310","1510","1761","1510","1761"
"2026-02-13","-0.63","1745770","1745770","1575","1114","1575","1114"
"2026-02-12","-3.94","566505","566505","1585","350","1585","350"
"2026-02-11","-2.94","4807300","4807300","1650","2866","1650","2866"
"2026-02-10","6.25","6931565","6931565","1700","4101","1700","4101"
"2026-02-09","4.23","4582975","4582975","1600","2876","1600","2876"
"2026-02-06","3.02","996310","996310","1535","659","1535","659"
"2026-02-05","-3.25","1357755","1357755","1490","896","1490","896"
"2026-02-04","3.36","5351235","5351235","1540","3575","1540","3575"
"2026-02-03","-0.33","6526075","6526075","1490","4289","1490","4289"
"2026-02-02","6.79","2038475","2038475","1495","1364","1495","1364"
"2026-01-30","-3.45","6286715","6286715","1400","4482","1400","4482"
"2026-01-29","-3.33","3884360","3884360","1450","2679","1450","2679"
"2026-01-28","-2.6","3060060","3060060","1500","2131","1500","2131"
"2026-01-27","-7.23","3679135","3679135","1540","2381","1540","2381"
"2026-01-26","-1.48","1259230","1259230","1660","767","1660","767"
