"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0.55","13602610","13602610","34000","392","34000","392"
"2026-09-08","0.09","9010320","9010320","33815","261","33815","261"
"2026-09-07","2.36","7599745","7599745","33785","225","33785","225"
"2026-09-04","0.99","88729810","88729810","33005","2551","33005","2551"
"2026-09-03","7.5","19750480","19750480","32680","605","32680","605"
"2026-09-02","1.67","28855865","28855865","30400","955","30400","955"
"2026-09-01","0","16165625","16165625","29900","542","29900","542"
"2026-08-31","1.36","27326800","27326800","29900","924","29900","924"
"2026-08-28","-1.57","45343985","45343985","29500","1525","29500","1525"
"2026-08-27","2.99","18158510","18158510","29970","617","29970","617"
"2026-08-26","1.75","7235785","7235785","29100","250","29100","250"
"2026-08-24","-0.69","18614085","18614085","28600","652","28600","652"
"2026-08-21","-1.54","14621675","14621675","28800","501","28800","501"
"2026-08-20","0.17","6115100","6115100","29250","209","29250","209"
"2026-08-19","0.69","83232970","83232970","29200","2938","29200","2938"
"2026-08-18","0.02","20578140","20578140","29000","710","29000","710"
"2026-08-17","1.13","6212905","6212905","28995","215","28995","215"
"2026-08-14","-1.14","14721460","14721460","28670","509","28670","509"
"2026-08-13","0","17944620","17944620","29000","618","29000","618"
"2026-08-12","-0.68","8797150","8797150","29000","302","29000","302"
"2026-08-11","0.17","11316000","11316000","29200","389","29200","389"
"2026-08-10","0.17","13512790","13512790","29150","464","29150","464"
"2026-08-06","0.34","4304340","4304340","29100","148","29100","148"
"2026-08-05","0","20556660","20556660","29000","709","29000","709"
"2026-08-04","-0.05","26651295","26651295","29000","919","29000","919"
"2026-08-03","1.2","1651135","1651135","29015","57","29015","57"
"2026-07-31","-1.14","12759940","12759940","28670","439","28670","439"
"2026-07-30","0.42","17033530","17033530","29000","589","29000","589"
"2026-07-29","0","36761530","36761530","28880","1276","28880","1276"
"2026-07-28","0.63","11520750","11520750","28880","401","28880","401"
"2026-07-27","1.4","24156670","24156670","28700","845","28700","845"
"2026-07-24","2.91","33418375","33418375","28305","1187","28305","1187"
"2026-07-23","-1.94","20184920","20184920","27505","720","27505","720"
"2026-07-22","0.04","6357245","6357245","28050","227","28050","227"
"2026-07-21","0.14","8373190","8373190","28040","299","28040","299"
"2026-07-20","-0.36","19914000","19914000","28000","709","28000","709"
"2026-07-17","1.43","32552440","32552440","28100","1162","28100","1162"
"2026-07-16","-0.34","17414035","17414035","27705","629","27705","629"
"2026-07-15","-2.8","18132295","18132295","27800","645","27800","645"
"2026-07-14","-0.17","28346050","28346050","28600","996","28600","996"
"2026-07-13","-0.52","3203015","3203015","28650","112","28650","112"
"2026-07-10","1.59","27575395","27575395","28800","960","28800","960"
"2026-07-09","0.35","7229910","7229910","28350","255","28350","255"
"2026-07-08","0.18","11100350","11100350","28250","393","28250","393"
"2026-07-07","0.32","10568290","10568290","28200","374","28200","374"
"2026-07-06","-4.32","15799585","15799585","28110","562","28110","562"
"2026-07-03","0.44","9138130","9138130","29380","312","29380","312"
"2026-07-02","-0.81","34838775","34838775","29250","1255","29250","1255"
"2026-07-01","1.69","10613940","10613940","29490","363","29490","363"
"2026-06-30","0","9990250","9990250","29000","344","29000","344"
"2026-06-29","0","44307035","44307035","29000","1529","29000","1529"
"2026-06-26","0.35","10549400","10549400","29000","368","29000","368"
"2026-06-25","4.11","12967710","12967710","28900","456","28900","456"
"2026-06-24","-2.46","23625110","23625110","27760","833","27760","833"
"2026-06-23","-0.14","10138730","10138730","28460","356","28460","356"
"2026-06-22","0.28","8788220","8788220","28500","309","28500","309"
"2026-06-19","-0.09","10972150","10972150","28420","386","28420","386"
"2026-06-18","0.87","5348990","5348990","28445","189","28445","189"
"2026-06-17","1.62","12252625","12252625","28200","439","28200","439"
"2026-06-16","-1.93","23604105","23604105","27750","840","27750","840"
"2026-06-15","-0.7","13203045","13203045","28295","465","28295","465"
"2026-06-12","0.16","4844080","4844080","28495","170","28495","170"
"2026-06-11","-0.18","7857940","7857940","28450","276","28450","276"
"2026-06-10","-1.38","37140760","37140760","28500","1301","28500","1301"
"2026-06-09","-0.22","24847825","24847825","28900","860","28900","860"
"2026-06-08","-0.02","12960095","12960095","28965","448","28965","448"
