"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-3.25","181567940","181567940","10110","17846","10110","17846"
"2026-09-08","-3.15","127522855","127522855","10450","12166","10450","12166"
"2026-09-07","3.75","60304210","60304210","10790","5715","10790","5715"
"2026-09-04","2.87","64306770","64306770","10400","6011","10400","6011"
"2026-09-03","5.31","101417665","101417665","10110","10167","10110","10167"
"2026-09-02","2.67","72073905","72073905","9600","7363","9600","7363"
"2026-09-01","5.06","50819810","50819810","9350","5615","9350","5615"
"2026-08-31","4.71","110025005","110025005","8900","12743","8900","12743"
"2026-08-28","-0.12","299429305","299429305","8500","35229","8500","35229"
"2026-08-27","0.12","38894680","38894680","8510","4558","8510","4558"
"2026-08-26","0.06","44035420","44035420","8500","5164","8500","5164"
"2026-08-24","3.6","22521775","22521775","8495","2683","8495","2683"
"2026-08-21","-2.38","68725895","68725895","8200","8156","8200","8156"
"2026-08-20","-0.06","72081900","72081900","8400","8579","8400","8579"
"2026-08-19","1.33","1107209635","1107209635","8405","133418","8405","133418"
"2026-08-18","-2.35","417312555","417312555","8295","52947","8295","52947"
"2026-08-17","-0.06","121855365","121855365","8495","14329","8495","14329"
"2026-08-14","0.29","31997405","31997405","8500","3756","8500","3756"
"2026-08-13","4.69","499707745","499707745","8475","62268","8475","62268"
"2026-08-12","1.82","57537225","57537225","8095","7201","8095","7201"
"2026-08-11","3.65","29194305","29194305","7950","3706","7950","3706"
"2026-08-10","0.99","95026525","95026525","7670","12599","7670","12599"
"2026-08-06","1.27","9796145","9796145","7595","1303","7595","1303"
"2026-08-05","-2.47","43716085","43716085","7500","5754","7500","5754"
"2026-08-04","0","70837845","70837845","7690","9381","7690","9381"
"2026-08-03","1.38","168039160","168039160","7690","22443","7690","22443"
"2026-07-31","-0.2","86033510","86033510","7585","11408","7585","11408"
"2026-07-30","-1.3","114525395","114525395","7600","15134","7600","15134"
"2026-07-29","1.32","38955190","38955190","7700","5081","7700","5081"
"2026-07-28","-3.18","81494745","81494745","7600","10419","7600","10419"
"2026-07-27","3.09","156603275","156603275","7850","19484","7850","19484"
"2026-07-24","7.48","13486165","13486165","7615","1771","7615","1771"
"2026-07-23","7.43","27496715","27496715","7085","3881","7085","3881"
"2026-07-22","-0.08","21897690","21897690","6595","3307","6595","3307"
