"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0.45","46403075","46403075","8990","5170","8990","5170"
"2026-09-08","0.56","39824535","39824535","8950","4476","8950","4476"
"2026-09-07","0.23","22603700","22603700","8900","2539","8900","2539"
"2026-09-04","-0.78","26658015","26658015","8880","3001","8880","3001"
"2026-09-03","-0.44","76192010","76192010","8950","8608","8950","8608"
"2026-09-02","-0.11","35550320","35550320","8990","3948","8990","3948"
"2026-09-01","2.27","25259170","25259170","9000","2829","9000","2829"
"2026-08-31","-1.12","476677225","476677225","8800","54708","8800","54708"
"2026-08-28","-2.09","59739690","59739690","8900","6645","8900","6645"
"2026-08-27","5.7","127160025","127160025","9090","13901","9090","13901"
"2026-08-26","7.5","108775020","108775020","8600","12899","8600","12899"
"2026-08-24","5.26","80912700","80912700","8000","10184","8000","10184"
"2026-08-21","1.33","12461425","12461425","7600","1636","7600","1636"
"2026-08-20","2.74","148906925","148906925","7500","20341","7500","20341"
"2026-08-19","-0.68","44068960","44068960","7300","6006","7300","6006"
"2026-08-18","0.68","22750710","22750710","7350","3117","7350","3117"
"2026-08-17","2.82","77394950","77394950","7300","10704","7300","10704"
"2026-08-14","0","83547060","83547060","7100","11763","7100","11763"
"2026-08-13","0","21403305","21403305","7100","3002","7100","3002"
"2026-08-12","-3.4","61949040","61949040","7100","8538","7100","8538"
"2026-08-11","0.34","40440500","40440500","7350","5517","7350","5517"
"2026-08-10","1.31","81461670","81461670","7325","11199","7325","11199"
"2026-08-06","0.42","106860730","106860730","7230","14488","7230","14488"
"2026-08-05","0","34553160","34553160","7200","4831","7200","4831"
"2026-08-04","0","22656635","22656635","7200","3170","7200","3170"
"2026-08-03","1.41","28122710","28122710","7200","3920","7200","3920"
"2026-07-31","0","46181035","46181035","7100","6458","7100","6458"
"2026-07-30","0","25721260","25721260","7100","3635","7100","3635"
"2026-07-29","-0.63","17856050","17856050","7100","2516","7100","2516"
"2026-07-28","3.55","10067725","10067725","7145","1419","7145","1419"
"2026-07-27","-3.5","40186165","40186165","6900","5675","6900","5675"
"2026-07-24","0","53863205","53863205","7150","7557","7150","7557"
"2026-07-23","-0.69","19378780","19378780","7150","2690","7150","2690"
"2026-07-22","0","21915590","21915590","7200","3081","7200","3081"
"2026-07-21","3.6","70120230","70120230","7200","10015","7200","10015"
"2026-07-20","-3.47","13967635","13967635","6950","1991","6950","1991"
