"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-0.78","28315250","28315250","10200","2763","10200","2763"
"2026-09-08","0.39","42866680","42866680","10280","4157","10280","4157"
"2026-09-07","-0.58","42083405","42083405","10240","4105","10240","4105"
"2026-09-04","-0.48","26917715","26917715","10300","2616","10300","2616"
"2026-09-03","1.02","32740885","32740885","10350","3157","10350","3157"
"2026-09-02","0","43130740","43130740","10245","4212","10245","4212"
"2026-09-01","0.1","75359305","75359305","10245","7365","10245","7365"
"2026-08-31","0","23647230","23647230","10235","2307","10235","2307"
"2026-08-28","2.35","23361755","23361755","10235","2314","10235","2314"
"2026-08-27","-3.38","86027080","86027080","10000","8424","10000","8424"
"2026-08-26","3.6","48502080","48502080","10350","4763","10350","4763"
"2026-08-24","0.05","91249980","91249980","9990","9260","9990","9260"
"2026-08-21","5.11","14099865","14099865","9985","1454","9985","1454"
"2026-08-20","4.4","152326435","152326435","9500","16527","9500","16527"
"2026-08-19","-3.19","101658055","101658055","9100","11085","9100","11085"
"2026-08-18","6.82","73390810","73390810","9400","7848","9400","7848"
"2026-08-17","1.15","138384960","138384960","8800","15823","8800","15823"
"2026-08-14","0.12","40850550","40850550","8700","4697","8700","4697"
"2026-08-13","0.4","19533215","19533215","8690","2251","8690","2251"
"2026-08-12","0","117689115","117689115","8655","13556","8655","13556"
"2026-08-11","0.06","67291520","67291520","8655","7745","8655","7745"
"2026-08-10","-0.69","46096090","46096090","8650","5300","8650","5300"
"2026-08-06","0.11","42556815","42556815","8710","4887","8710","4887"
"2026-08-05","-0.23","40522895","40522895","8700","4658","8700","4658"
"2026-08-04","0.29","39918290","39918290","8720","4589","8720","4589"
"2026-08-03","-0.06","76149340","76149340","8695","8777","8695","8777"
"2026-07-31","0","23837340","23837340","8700","2740","8700","2740"
"2026-07-30","0.06","26611985","26611985","8700","3066","8700","3066"
"2026-07-29","2.05","37019825","37019825","8695","4302","8695","4302"
"2026-07-28","-0.29","81761515","81761515","8520","9616","8520","9616"
"2026-07-27","-0.64","22350350","22350350","8545","2605","8545","2605"
"2026-07-24","-1.09","42198730","42198730","8600","4923","8600","4923"
"2026-07-23","-0.06","35102420","35102420","8695","4046","8695","4046"
"2026-07-22","1.4","5205215","5205215","8700","601","8700","601"
"2026-07-21","-0.23","22290045","22290045","8580","2589","8580","2589"
"2026-07-20","-1.15","33029570","33029570","8600","3817","8600","3817"
"2026-07-17","-0.91","25023405","25023405","8700","2874","8700","2874"
"2026-07-16","0.17","32200660","32200660","8780","3674","8780","3674"
"2026-07-15","-0.85","35362770","35362770","8765","4019","8765","4019"
"2026-07-14","0.45","30300400","30300400","8840","3437","8840","3437"
"2026-07-13","0.57","16899390","16899390","8800","1932","8800","1932"
"2026-07-10","-0.57","47170050","47170050","8750","5416","8750","5416"
"2026-07-09","-0.79","95985450","95985450","8800","11158","8800","11158"
"2026-07-08","-1.99","83546790","83546790","8870","9420","8870","9420"
"2026-07-07","-0.55","40774375","40774375","9050","4544","9050","4544"
"2026-07-06","0","12834905","12834905","9100","1413","9100","1413"
"2026-07-03","-1.09","70773540","70773540","9100","8139","9100","8139"
"2026-07-02","1.94","25321770","25321770","9200","2837","9200","2837"
"2026-07-01","0","173874235","173874235","9025","19914","9025","19914"
"2026-06-30","-0.82","25247510","25247510","9025","2801","9025","2801"
"2026-06-29","0.83","9798050","9798050","9100","1085","9100","1085"
"2026-06-26","0.84","82447250","82447250","9025","9221","9025","9221"
"2026-06-25","0","34596215","34596215","8950","3870","8950","3870"
"2026-06-24","0.34","46668025","46668025","8950","5231","8950","5231"
"2026-06-23","-0.34","58616515","58616515","8920","6583","8920","6583"
"2026-06-22","1.13","30822035","30822035","8950","3452","8950","3452"
"2026-06-19","-1.06","53100745","53100745","8850","5974","8850","5974"
"2026-06-18","0.51","29351040","29351040","8945","3290","8945","3290"
"2026-06-17","2.3","149182400","149182400","8900","16978","8900","16978"
"2026-06-16","-0.57","60889085","60889085","8700","6970","8700","6970"
"2026-06-15","-0.34","12216395","12216395","8750","1392","8750","1392"
"2026-06-12","0.34","62497735","62497735","8780","7122","8780","7122"
"2026-06-11","1.74","18828925","18828925","8750","2159","8750","2159"
"2026-06-10","-1.66","23528465","23528465","8600","2705","8600","2705"
"2026-06-09","0.52","97148490","97148490","8745","11185","8745","11185"
"2026-06-08","-0.91","37439545","37439545","8700","4279","8700","4279"
"2026-06-05","-0.17","9245850","9245850","8780","1054","8780","1054"
"2026-06-04","0","16676015","16676015","8795","1902","8795","1902"
"2026-06-03","0.98","39200915","39200915","8795","4495","8795","4495"
"2026-06-02","-1.02","46378410","46378410","8710","5274","8710","5274"
"2026-06-01","-1.12","30972445","30972445","8800","3519","8800","3519"
