"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-0.04","207801555","207801555","12495","16695","12495","16695"
"2026-09-08","0.04","203933940","203933940","12500","16313","12500","16313"
"2026-09-07","-0.04","139219220","139219220","12495","11137","12495","11137"
"2026-09-04","0","124242075","124242075","12500","9941","12500","9941"
"2026-09-03","0.04","76758190","76758190","12500","6147","12500","6147"
"2026-09-02","0","101793075","101793075","12495","8195","12495","8195"
"2026-09-01","1.63","237487135","237487135","12495","19191","12495","19191"
"2026-08-31","-0.85","170563200","170563200","12295","13882","12295","13882"
"2026-08-28","-2.36","87661115","87661115","12400","7006","12400","7006"
"2026-08-27","-1.24","88708925","88708925","12700","7034","12700","7034"
"2026-08-26","-0.96","79574025","79574025","12860","6151","12860","6151"
"2026-08-24","0","139793125","139793125","12985","10825","12985","10825"
"2026-08-21","-2.37","123768410","123768410","12985","9474","12985","9474"
"2026-08-20","0","416662965","416662965","13300","32196","13300","32196"
"2026-08-19","-1.12","142404625","142404625","13300","10649","13300","10649"
"2026-08-18","0.37","157019100","157019100","13450","11767","13450","11767"
"2026-08-17","3.88","97543145","97543145","13400","7370","13400","7370"
"2026-08-14","3.2","59868805","59868805","12900","4724","12900","4724"
"2026-08-13","0.16","153145415","153145415","12500","12379","12500","12379"
"2026-08-12","4.83","113010335","113010335","12480","9155","12480","9155"
"2026-08-11","2.63","87603840","87603840","11905","7384","11905","7384"
"2026-08-10","0","72220855","72220855","11600","6227","11600","6227"
"2026-08-06","0","43575350","43575350","11600","3757","11600","3757"
"2026-08-05","0","87082100","87082100","11600","7512","11600","7512"
"2026-08-04","2.2","95151315","95151315","11600","8263","11600","8263"
"2026-08-03","4.95","62137310","62137310","11350","5608","11350","5608"
"2026-07-31","0.14","55834080","55834080","10815","5074","10815","5074"
"2026-07-30","-3.53","146837985","146837985","10800","13384","10800","13384"
"2026-07-29","2.75","84578640","84578640","11195","7716","11195","7716"
"2026-07-28","0.93","49597855","49597855","10895","4563","10895","4563"
"2026-07-27","5.83","77165210","77165210","10795","7319","10795","7319"
"2026-07-24","2","150147940","150147940","10200","14838","10200","14838"
"2026-07-23","1.27","82718720","82718720","10000","8274","10000","8274"
"2026-07-22","-0.1","54011345","54011345","9875","5471","9875","5471"
"2026-07-21","0.97","77998585","77998585","9885","7961","9885","7961"
"2026-07-20","0.46","33169845","33169845","9790","3398","9790","3398"
"2026-07-17","0.26","16070010","16070010","9745","1647","9745","1647"
"2026-07-16","0.73","29755935","29755935","9720","3057","9720","3057"
"2026-07-15","-1.03","102410140","102410140","9650","10538","9650","10538"
"2026-07-14","1.35","155748485","155748485","9750","16287","9750","16287"
"2026-07-13","1.26","47872135","47872135","9620","5009","9620","5009"
"2026-07-10","0.8","100392055","100392055","9500","10587","9500","10587"
"2026-07-09","-0.68","74514525","74514525","9425","7878","9425","7878"
"2026-07-08","2.59","85507450","85507450","9490","9123","9490","9123"
"2026-07-07","0.54","46644005","46644005","9250","5047","9250","5047"
"2026-07-06","0","58531535","58531535","9200","6366","9200","6366"
"2026-07-03","-1.08","59514945","59514945","9200","6435","9200","6435"
"2026-07-02","-1.01","230568345","230568345","9300","25493","9300","25493"
"2026-07-01","-0.58","203542370","203542370","9395","22017","9395","22017"
"2026-06-30","0.59","185007965","185007965","9450","19595","9450","19595"
"2026-06-29","3.24","344605375","344605375","9395","37061","9395","37061"
"2026-06-26","0","199459380","199459380","9100","22017","9100","22017"
"2026-06-25","0","150876135","150876135","9100","16671","9100","16671"
"2026-06-24","-1.62","44319215","44319215","9100","4823","9100","4823"
"2026-06-23","0.54","138324550","138324550","9250","15167","9250","15167"
"2026-06-22","-1.6","377968890","377968890","9200","41181","9200","41181"
"2026-06-19","3.26","48221695","48221695","9350","5157","9350","5157"
"2026-06-18","-0.39","81349935","81349935","9055","8989","9055","8989"
"2026-06-17","1.34","85257170","85257170","9090","9473","9090","9473"
"2026-06-16","0.62","68132000","68132000","8970","7589","8970","7589"
"2026-06-15","-0.39","29228710","29228710","8915","3258","8915","3258"
"2026-06-12","0.56","92224925","92224925","8950","10358","8950","10358"
"2026-06-11","1.08","68379215","68379215","8900","7708","8900","7708"
"2026-06-10","-0.96","116694865","116694865","8805","13171","8805","13171"
"2026-06-09","-0.11","113574525","113574525","8890","12844","8890","12844"
"2026-06-08","0.23","64396085","64396085","8900","7247","8900","7247"
"2026-06-05","0.45","88137420","88137420","8880","9964","8880","9964"
"2026-06-04","-0.62","86625100","86625100","8840","9814","8840","9814"
"2026-06-03","1.08","69819725","69819725","8895","7894","8895","7894"
"2026-06-02","-2.17","167467630","167467630","8800","19062","8800","19062"
"2026-06-01","1.7","162423985","162423985","8995","18231","8995","18231"
"2026-05-29","0","168459750","168459750","8845","19047","8845","19047"
"2026-05-28","0.23","80197450","80197450","8845","9075","8845","9075"
"2026-05-26","-0.51","44042655","44042655","8825","4991","8825","4991"
"2026-05-22","-0.11","39928685","39928685","8870","4515","8870","4515"
"2026-05-21","0.91","48338500","48338500","8880","5467","8880","5467"
"2026-05-20","0.06","79229600","79229600","8800","8942","8800","8942"
"2026-05-19","1.62","32139435","32139435","8795","3685","8795","3685"
"2026-05-18","0.29","97877100","97877100","8655","11322","8655","11322"
"2026-05-15","0.35","122626515","122626515","8630","14244","8630","14244"
"2026-05-13","0.17","100824610","100824610","8600","11731","8600","11731"
"2026-05-12","-0.75","63520075","63520075","8585","7396","8585","7396"
"2026-05-11","-0.63","80395785","80395785","8650","9311","8650","9311"
"2026-05-08","0.64","74622980","74622980","8705","8623","8705","8623"
"2026-05-07","-1.54","61610640","61610640","8650","7105","8650","7105"
"2026-05-06","-0.73","102974165","102974165","8785","12058","8785","12058"
"2026-05-05","-6.2","207572855","207572855","8850","23204","8850","23204"
"2026-05-04","2.67","87269790","87269790","9435","9437","9435","9437"
"2026-04-30","-0.05","71251420","71251420","9190","7759","9190","7759"
"2026-04-29","2.57","113574840","113574840","9195","12549","9195","12549"
"2026-04-28","2.46","62718630","62718630","8965","7090","8965","7090"
"2026-04-27","1.74","68531775","68531775","8750","7906","8750","7906"
"2026-04-24","1.18","20726555","20726555","8600","2418","8600","2418"
"2026-04-23","0","117951285","117951285","8500","13975","8500","13975"
"2026-04-22","0.06","189046400","189046400","8500","22152","8500","22152"
"2026-04-21","-2.3","206032740","206032740","8495","24306","8495","24306"
"2026-04-20","1.1","491022845","491022845","8695","58194","8695","58194"
"2026-04-17","2.38","99672090","99672090","8600","11645","8600","11645"
"2026-04-16","0","239302970","239302970","8400","28381","8400","28381"
"2026-04-15","-1.18","84815230","84815230","8400","10078","8400","10078"
"2026-04-14","0","270045900","270045900","8500","31865","8500","31865"
"2026-04-13","0.18","112236575","112236575","8500","13208","8500","13208"
"2026-04-10","0.06","63597980","63597980","8485","7493","8485","7493"
