"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","1.97","51219030","51219030","7005","7259","7005","7259"
"2026-09-08","0","37351165","37351165","6870","5363","6870","5363"
"2026-09-07","7.34","50040170","50040170","6870","7336","6870","7336"
"2026-09-04","-1.39","33471300","33471300","6400","5200","6400","5200"
"2026-09-03","0","28476565","28476565","6490","4392","6490","4392"
"2026-09-02","0.15","19339140","19339140","6490","2986","6490","2986"
"2026-09-01","0","34370230","34370230","6480","5332","6480","5332"
"2026-08-31","-0.23","12077535","12077535","6480","1869","6480","1869"
"2026-08-28","-2.33","36453315","36453315","6495","5522","6495","5522"
"2026-08-27","-0.75","79253945","79253945","6650","11908","6650","11908"
"2026-08-26","2.29","27526510","27526510","6700","4176","6700","4176"
"2026-08-24","0.92","41225610","41225610","6550","6391","6550","6391"
"2026-08-21","3.84","68123605","68123605","6490","10805","6490","10805"
"2026-08-20","-0.64","88813970","88813970","6250","14470","6250","14470"
"2026-08-19","1.86","48257730","48257730","6290","7791","6290","7791"
"2026-08-18","-0.16","36176160","36176160","6175","5874","6175","5874"
"2026-08-17","0.57","22075895","22075895","6185","3584","6185","3584"
"2026-08-14","0.16","29848555","29848555","6150","4869","6150","4869"
"2026-08-13","1.49","19416370","19416370","6140","3177","6140","3177"
"2026-08-12","3.42","36357620","36357620","6050","6087","6050","6087"
"2026-08-11","2.63","25989935","25989935","5850","4486","5850","4486"
"2026-08-10","1.97","36634885","36634885","5700","6483","5700","6483"
"2026-08-06","0.09","4741040","4741040","5590","849","5590","849"
"2026-08-05","-0.09","15556145","15556145","5585","2790","5585","2790"
"2026-08-04","-0.62","16110965","16110965","5590","2883","5590","2883"
"2026-08-03","-0.71","17804605","17804605","5625","3155","5625","3155"
"2026-07-31","0.09","30031805","30031805","5665","5309","5665","5309"
"2026-07-30","-0.26","22817280","22817280","5660","4027","5660","4027"
"2026-07-29","0.8","69299990","69299990","5675","12275","5675","12275"
"2026-07-28","5.23","44623150","44623150","5630","8125","5630","8125"
"2026-07-27","-4.46","39410425","39410425","5350","7257","5350","7257"
"2026-07-24","-0.27","27001995","27001995","5600","4824","5600","4824"
"2026-07-23","-0.27","20587590","20587590","5615","3670","5615","3670"
"2026-07-22","-0.62","22129530","22129530","5630","3931","5630","3931"
"2026-07-21","-0.61","12523780","12523780","5665","2211","5665","2211"
"2026-07-20","-0.96","31418230","31418230","5700","5498","5700","5498"
"2026-07-17","-0.26","28373195","28373195","5755","4932","5755","4932"
"2026-07-16","1.58","27595935","27595935","5770","4848","5770","4848"
"2026-07-15","-0.09","27723115","27723115","5680","4872","5680","4872"
"2026-07-14","1.61","16707245","16707245","5685","2961","5685","2961"
"2026-07-13","2.66","24478470","24478470","5595","4423","5595","4423"
"2026-07-10","0.46","33790895","33790895","5450","6237","5450","6237"
"2026-07-09","0.56","49250330","49250330","5425","9120","5425","9120"
"2026-07-08","5.78","62502005","62502005","5395","11802","5395","11802"
"2026-07-07","3.45","132301250","132301250","5100","26476","5100","26476"
"2026-07-06","-0.8","47552680","47552680","4930","9650","4930","9650"
"2026-07-03","0.1","16949425","16949425","4970","3413","4970","3413"
"2026-07-02","-0.1","19953700","19953700","4965","4008","4965","4008"
"2026-07-01","-0.2","20046500","20046500","4970","4022","4970","4022"
"2026-06-30","-0.4","75333565","75333565","4980","15079","4980","15079"
"2026-06-29","2.99","40577070","40577070","5000","8047","5000","8047"
"2026-06-26","-4.99","106865970","106865970","4855","21107","4855","21107"
"2026-06-25","7.47","52224185","52224185","5110","10230","5110","10230"
"2026-06-24","7.46","38795620","38795620","4755","8164","4755","8164"
"2026-06-23","-0.56","18836200","18836200","4425","4247","4425","4247"
"2026-06-22","-2.31","39806925","39806925","4450","8879","4450","8879"
"2026-06-19","1.11","14990205","14990205","4555","3310","4555","3310"
"2026-06-18","1.24","29383415","29383415","4505","6559","4505","6559"
"2026-06-17","0.34","48228825","48228825","4450","10860","4450","10860"
"2026-06-16","-1.55","37288155","37288155","4435","8367","4435","8367"
"2026-06-15","-2.7","53795565","53795565","4505","12011","4505","12011"
"2026-06-12","0","21966480","21966480","4630","4744","4630","4744"
"2026-06-11","-0.11","18070090","18070090","4630","3901","4630","3901"
"2026-06-10","0.11","26943155","26943155","4635","5810","4635","5810"
"2026-06-09","-0.75","13934570","13934570","4630","2993","4630","2993"
"2026-06-08","-0.21","28243615","28243615","4665","6058","4665","6058"
"2026-06-05","-0.32","26494615","26494615","4675","5664","4675","5664"
"2026-06-04","-4.09","37882325","37882325","4690","8068","4690","8068"
"2026-06-03","-1.81","17442335","17442335","4890","3590","4890","3590"
"2026-06-02","-5.05","28880230","28880230","4980","5787","4980","5787"
"2026-06-01","0.87","37523225","37523225","5245","7144","5245","7144"
"2026-05-29","2.16","40647720","40647720","5200","7833","5200","7833"
"2026-05-28","1.8","19018165","19018165","5090","3765","5090","3765"
"2026-05-26","0.2","37174035","37174035","5000","7441","5000","7441"
"2026-05-22","1.01","18374290","18374290","4990","3684","4990","3684"
"2026-05-21","0.82","10894310","10894310","4940","2209","4940","2209"
"2026-05-20","0","24834695","24834695","4900","5088","4900","5088"
"2026-05-19","4.48","23173865","23173865","4900","4871","4900","4871"
"2026-05-18","0","35302200","35302200","4690","7503","4690","7503"
"2026-05-15","0.32","46881625","46881625","4690","9992","4690","9992"
"2026-05-13","-0.11","14135970","14135970","4675","3021","4675","3021"
"2026-05-12","-0.11","19491500","19491500","4680","4155","4680","4155"
"2026-05-11","-0.32","20936915","20936915","4685","4465","4685","4465"
"2026-05-08","0.21","14929910","14929910","4700","3183","4700","3183"
"2026-05-07","0.21","5335370","5335370","4690","1139","4690","1139"
"2026-05-06","-0.43","21188910","21188910","4680","4529","4680","4529"
"2026-05-05","0","23076185","23076185","4700","4930","4700","4930"
"2026-05-04","0.64","65525505","65525505","4700","14009","4700","14009"
"2026-04-30","0","14544545","14544545","4670","3114","4670","3114"
"2026-04-29","0","12476440","12476440","4670","2671","4670","2671"
"2026-04-28","0","41867565","41867565","4670","8964","4670","8964"
"2026-04-27","0","48206425","48206425","4670","10322","4670","10322"
"2026-04-24","-0.32","42366115","42366115","4670","9068","4670","9068"
"2026-04-23","0.21","13011345","13011345","4685","2774","4685","2774"
"2026-04-22","-0.43","13535980","13535980","4675","2892","4675","2892"
"2026-04-21","-0.11","31768635","31768635","4695","6853","4695","6853"
"2026-04-20","0","18957720","18957720","4700","4060","4700","4060"
"2026-04-17","1.08","16532750","16532750","4700","3562","4700","3562"
"2026-04-16","1.31","44414705","44414705","4650","9730","4650","9730"
"2026-04-15","0","18870810","18870810","4590","4106","4590","4106"
"2026-04-14","0.22","33085235","33085235","4590","7197","4590","7197"
"2026-04-13","-1.08","19550255","19550255","4580","4235","4580","4235"
"2026-04-10","-0.32","5300555","5300555","4630","1144","4630","1144"
"2026-04-09","-0.11","6440020","6440020","4645","1392","4645","1392"
"2026-04-08","1.2","20237455","20237455","4650","4432","4650","4432"
"2026-04-07","-1.92","27666415","27666415","4595","5991","4595","5991"
"2026-04-03","1.85","1960290","1960290","4685","418","4685","418"
"2026-04-02","-1.71","18975185","18975185","4600","4117","4600","4117"
"2026-04-01","0","17709955","17709955","4680","3775","4680","3775"
"2026-03-31","1.85","43839315","43839315","4680","9490","4680","9490"
"2026-03-30","-2.13","30735830","30735830","4595","6634","4595","6634"
"2026-03-27","0","47880310","47880310","4695","10090","4695","10090"
"2026-03-26","-1.37","19697230","19697230","4695","4167","4695","4167"
"2026-03-25","0","112888915","112888915","4760","23706","4760","23706"
"2026-03-24","-0.63","41524500","41524500","4760","8710","4760","8710"
"2026-03-23","0.63","67596250","67596250","4790","14163","4790","14163"
"2026-03-19","-0.52","33399185","33399185","4760","7006","4760","7006"
"2026-03-18","0.31","22718275","22718275","4785","4765","4785","4765"
"2026-03-17","0.32","35093395","35093395","4770","7359","4770","7359"
"2026-03-13","0.11","27513875","27513875","4755","5790","4755","5790"
