"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-0.36","19870160","19870160","5470","3630","5470","3630"
"2026-09-08","0.83","14865575","14865575","5490","2720","5490","2720"
"2026-09-07","-0.09","23850700","23850700","5445","4420","5445","4420"
"2026-09-04","0.28","29718080","29718080","5450","5505","5450","5505"
"2026-09-03","0.74","23164620","23164620","5435","4288","5435","4288"
"2026-09-02","-1.1","44498935","44498935","5395","8224","5395","8224"
"2026-09-01","-0.46","22503245","22503245","5455","4134","5455","4134"
"2026-08-31","-0.36","36042095","36042095","5480","6677","5480","6677"
"2026-08-28","-2.57","30048390","30048390","5500","5401","5500","5401"
"2026-08-27","5.42","47600875","47600875","5645","8584","5645","8584"
"2026-08-26","0.19","16666555","16666555","5355","3103","5355","3103"
"2026-08-24","1.23","22628145","22628145","5345","4272","5345","4272"
"2026-08-21","0.57","104075165","104075165","5280","20169","5280","20169"
"2026-08-20","1.94","50148155","50148155","5250","9671","5250","9671"
"2026-08-19","0","53966385","53966385","5150","10419","5150","10419"
"2026-08-18","0","12405950","12405950","5150","2411","5150","2411"
"2026-08-17","0.59","25168005","25168005","5150","4951","5150","4951"
"2026-08-14","0.39","6473275","6473275","5120","1271","5120","1271"
"2026-08-13","0","58645870","58645870","5100","11481","5100","11481"
"2026-08-12","0","37701875","37701875","5100","7379","5100","7379"
"2026-08-11","-1.92","16170490","16170490","5100","3171","5100","3171"
"2026-08-10","0","40257935","40257935","5200","7924","5200","7924"
"2026-08-06","2.46","22758980","22758980","5200","4425","5200","4425"
"2026-08-05","-0.49","15928695","15928695","5075","3151","5075","3151"
"2026-08-04","-1.92","12736460","12736460","5100","2490","5100","2490"
"2026-08-03","-1.7","5408265","5408265","5200","1036","5200","1036"
"2026-07-31","0","30609840","30609840","5290","5875","5290","5875"
"2026-07-30","0","15382915","15382915","5290","2912","5290","2912"
"2026-07-29","-2.04","35789115","35789115","5290","6667","5290","6667"
"2026-07-28","2.86","58874720","58874720","5400","11322","5400","11322"
"2026-07-27","-0.94","37323685","37323685","5250","7161","5250","7161"
"2026-07-24","-0.84","13070915","13070915","5300","2462","5300","2462"
"2026-07-23","2.79","39249510","39249510","5345","7542","5345","7542"
"2026-07-22","0.1","80732975","80732975","5200","15890","5200","15890"
"2026-07-21","-3.53","42212045","42212045","5195","8089","5195","8089"
"2026-07-20","0.65","34477955","34477955","5385","6468","5385","6468"
"2026-07-17","-0.83","35250915","35250915","5350","6615","5350","6615"
"2026-07-16","5.58","78200725","78200725","5395","14858","5395","14858"
"2026-07-15","7.47","71632610","71632610","5110","14419","5110","14419"
"2026-07-14","0.96","57492575","57492575","4755","12072","4755","12072"
"2026-07-13","-1.67","28087535","28087535","4710","5976","4710","5976"
"2026-07-10","6.44","50347810","50347810","4790","11023","4790","11023"
"2026-07-09","3.69","31227285","31227285","4500","7001","4500","7001"
"2026-07-08","5.34","44164675","44164675","4340","10454","4340","10454"
"2026-07-07","-3.06","233848430","233848430","4120","57617","4120","57617"
"2026-07-06","0.24","44407695","44407695","4250","10520","4250","10520"
"2026-07-03","0.95","75262080","75262080","4240","18123","4240","18123"
"2026-07-02","0.24","45607025","45607025","4200","10864","4200","10864"
"2026-07-01","-0.12","21497825","21497825","4190","5161","4190","5161"
"2026-06-30","0.24","32034250","32034250","4195","7661","4195","7661"
"2026-06-29","1.7","33241090","33241090","4185","7983","4185","7983"
"2026-06-26","1.73","20177870","20177870","4115","4944","4115","4944"
"2026-06-25","-3.23","37328125","37328125","4045","9079","4045","9079"
"2026-06-24","4.89","29695325","29695325","4180","7334","4180","7334"
"2026-06-23","3.51","102200690","102200690","3985","26431","3985","26431"
"2026-06-22","2.39","14082670","14082670","3850","3728","3850","3728"
"2026-06-19","1.48","34446825","34446825","3760","9156","3760","9156"
"2026-06-18","-1.46","22107210","22107210","3705","5930","3705","5930"
"2026-06-17","1.48","48920225","48920225","3760","13176","3760","13176"
"2026-06-16","0","29305095","29305095","3705","7893","3705","7893"
"2026-06-15","0.14","21777515","21777515","3705","5867","3705","5867"
"2026-06-12","0","22341870","22341870","3700","6030","3700","6030"
"2026-06-11","-0.94","26339010","26339010","3700","7083","3700","7083"
"2026-06-10","-0.13","83551045","83551045","3735","22523","3735","22523"
"2026-06-09","1.08","11020605","11020605","3740","2941","3740","2941"
"2026-06-08","-0.13","103074425","103074425","3700","27802","3700","27802"
"2026-06-05","-0.94","90351755","90351755","3705","24317","3705","24317"
"2026-06-04","0","49078210","49078210","3740","13144","3740","13144"
"2026-06-03","1.22","67005190","67005190","3740","18073","3740","18073"
"2026-06-02","-0.14","16894660","16894660","3695","4551","3695","4551"
"2026-06-01","-0.8","24533540","24533540","3700","6604","3700","6604"
"2026-05-29","0","15178090","15178090","3730","4089","3730","4089"
"2026-05-28","-0.27","13279125","13279125","3730","3568","3730","3568"
"2026-05-26","0.27","10030000","10030000","3740","2678","3740","2678"
"2026-05-22","0.81","22981015","22981015","3730","6204","3730","6204"
"2026-05-21","0.27","42598115","42598115","3700","11543","3700","11543"
"2026-05-20","6.34","102689410","102689410","3690","29157","3690","29157"
"2026-05-19","-0.57","14033990","14033990","3470","4031","3470","4031"
"2026-05-18","1.31","21789630","21789630","3490","6300","3490","6300"
"2026-05-15","1.47","33398465","33398465","3445","9702","3445","9702"
"2026-05-13","-1.31","25203800","25203800","3395","7385","3395","7385"
"2026-05-12","-0.29","19710885","19710885","3440","5724","3440","5724"
"2026-05-11","-1","36424995","36424995","3450","10497","3450","10497"
"2026-05-08","-0.43","36450690","36450690","3485","10423","3485","10423"
"2026-05-07","0","31981120","31981120","3500","9120","3500","9120"
"2026-05-06","0","18829865","18829865","3500","5287","3500","5287"
"2026-05-05","-3.58","20105100","20105100","3500","5746","3500","5746"
