"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-0.91","136156990","136156990","8200","16541","8200","16541"
"2026-09-08","0.12","73604265","73604265","8275","8912","8275","8912"
"2026-09-07","0.3","75322700","75322700","8265","9149","8265","9149"
"2026-09-04","-0.72","129282215","129282215","8240","15705","8240","15705"
"2026-09-03","0.73","103634300","103634300","8300","12574","8300","12574"
"2026-09-02","-0.12","160705940","160705940","8240","19506","8240","19506"
"2026-09-01","-0.54","220562790","220562790","8250","26600","8250","26600"
"2026-08-31","-0.06","98460915","98460915","8295","11876","8295","11876"
"2026-08-28","-1.72","94332515","94332515","8300","11342","8300","11342"
"2026-08-27","-0.65","154148760","154148760","8445","18254","8445","18254"
"2026-08-26","0","61093430","61093430","8500","7081","8500","7081"
"2026-08-24","6.25","47000150","47000150","8500","5658","8500","5658"
"2026-08-21","0","182448270","182448270","8000","23281","8000","23281"
"2026-08-20","2.56","127447850","127447850","8000","16276","8000","16276"
"2026-08-19","0","204467570","204467570","7800","26316","7800","26316"
"2026-08-18","0","186035220","186035220","7800","24039","7800","24039"
"2026-08-17","1.3","142647595","142647595","7800","18443","7800","18443"
"2026-08-14","0.13","38325925","38325925","7700","4989","7700","4989"
"2026-08-13","0","90764465","90764465","7690","11833","7690","11833"
"2026-08-12","-0.13","147465285","147465285","7690","19422","7690","19422"
"2026-08-11","-0.65","84418470","84418470","7700","10967","7700","10967"
"2026-08-10","0.52","82136225","82136225","7750","10641","7750","10641"
"2026-08-06","1.45","8919070","8919070","7710","1166","7710","1166"
"2026-08-05","-1.3","55084290","55084290","7600","7230","7600","7230"
"2026-08-04","0.2","50766485","50766485","7700","6650","7700","6650"
"2026-08-03","-1.35","26158495","26158495","7685","3389","7685","3389"
"2026-07-31","1.17","28105750","28105750","7790","3612","7790","3612"
"2026-07-30","-3.33","61105950","61105950","7700","7928","7700","7928"
"2026-07-29","0.25","31690205","31690205","7965","3983","7965","3983"
"2026-07-28","0.57","14848285","14848285","7945","1869","7945","1869"
"2026-07-27","0.7","38255565","38255565","7900","4860","7900","4860"
"2026-07-24","3.5","62062650","62062650","7845","8145","7845","8145"
"2026-07-23","1.13","16071495","16071495","7580","2123","7580","2123"
"2026-07-22","0.13","21220240","21220240","7495","2831","7495","2831"
"2026-07-21","-0.86","16780050","16780050","7485","2239","7485","2239"
"2026-07-20","-1.95","30637800","30637800","7550","4016","7550","4016"
"2026-07-17","4.05","30927965","30927965","7700","4057","7700","4057"
"2026-07-16","1.09","140550240","140550240","7400","19109","7400","19109"
"2026-07-15","0.07","137408225","137408225","7320","18796","7320","18796"
"2026-07-14","0.21","113075030","113075030","7315","15479","7315","15479"
"2026-07-13","0","362331505","362331505","7300","49637","7300","49637"
"2026-07-10","0","135664280","135664280","7300","18585","7300","18585"
"2026-07-09","0.14","95560995","95560995","7300","13097","7300","13097"
"2026-07-08","0.41","65760745","65760745","7290","9012","7290","9012"
"2026-07-07","-0.55","51705910","51705910","7260","7095","7260","7095"
"2026-07-06","-0.68","64871475","64871475","7300","8926","7300","8926"
"2026-07-03","0.62","79112655","79112655","7350","10809","7350","10809"
"2026-07-02","-1.81","55477145","55477145","7305","7563","7305","7563"
"2026-07-01","0","38924815","38924815","7440","5262","7440","5262"
"2026-06-30","1.22","20449075","20449075","7440","2766","7440","2766"
"2026-06-29","0.75","45528420","45528420","7350","6224","7350","6224"
"2026-06-26","-0.68","39609765","39609765","7295","5419","7295","5419"
"2026-06-25","0.62","53656565","53656565","7345","7347","7345","7347"
"2026-06-24","-0.07","86088330","86088330","7300","11789","7300","11789"
"2026-06-23","-1.22","87263555","87263555","7305","11842","7305","11842"
"2026-06-22","-0.67","43580260","43580260","7395","5871","7395","5871"
"2026-06-19","0.61","63127625","63127625","7445","8517","7445","8517"
"2026-06-18","0.68","126362580","126362580","7400","17075","7400","17075"
"2026-06-17","0.89","273804110","273804110","7350","37276","7350","37276"
"2026-06-16","0","33108945","33108945","7285","4543","7285","4543"
"2026-06-15","-0.55","47392410","47392410","7285","6490","7285","6490"
"2026-06-12","-0.2","143045460","143045460","7325","19592","7325","19592"
"2026-06-11","-0.14","77203315","77203315","7340","10552","7340","10552"
"2026-06-10","-0.68","72996050","72996050","7350","9896","7350","9896"
"2026-06-09","-0.67","74642180","74642180","7400","10052","7400","10052"
"2026-06-08","0.4","46125175","46125175","7450","6181","7450","6181"
"2026-06-05","-0.4","32593145","32593145","7420","4398","7420","4398"
"2026-06-04","-0.67","32255935","32255935","7450","4331","7450","4331"
"2026-06-03","2.88","50786230","50786230","7500","6838","7500","6838"
"2026-06-02","-3.64","149531365","149531365","7290","19999","7290","19999"
"2026-06-01","0.27","49026890","49026890","7565","6425","7565","6425"
"2026-05-29","-2.01","46061820","46061820","7545","6128","7545","6128"
"2026-05-28","-0.58","105069185","105069185","7700","13650","7700","13650"
"2026-05-26","-3.07","199453160","199453160","7745","25990","7745","25990"
"2026-05-22","-0.13","32478595","32478595","7990","4065","7990","4065"
"2026-05-21","-0.62","32086665","32086665","8000","3977","8000","3977"
"2026-05-20","1.9","24125590","24125590","8050","3024","8050","3024"
"2026-05-19","2.6","39259625","39259625","7900","5012","7900","5012"
"2026-05-18","1.38","130113125","130113125","7700","17111","7700","17111"
"2026-05-15","0.53","75524555","75524555","7595","10007","7595","10007"
"2026-05-13","0.73","87348770","87348770","7555","11661","7555","11661"
"2026-05-12","0.67","66160735","66160735","7500","8857","7500","8857"
"2026-05-11","0.81","69820775","69820775","7450","9390","7450","9390"
"2026-05-08","1.72","31748100","31748100","7390","4296","7390","4296"
"2026-05-07","0.55","30232060","30232060","7265","4142","7265","4142"
"2026-05-06","0","25379155","25379155","7225","3508","7225","3508"
"2026-05-05","1.76","86672890","86672890","7225","12057","7225","12057"
"2026-05-04","0.78","50844800","50844800","7100","7204","7100","7204"
"2026-04-30","0.64","47569610","47569610","7045","6792","7045","6792"
"2026-04-29","0.86","122658470","122658470","7000","17603","7000","17603"
"2026-04-28","-0.14","10243965","10243965","6940","1475","6940","1475"
"2026-04-27","0.72","29579420","29579420","6950","4311","6950","4311"
"2026-04-24","1.47","19671870","19671870","6900","2852","6900","2852"
"2026-04-23","0.97","22982955","22982955","6800","3346","6800","3346"
"2026-04-22","-0.81","62782325","62782325","6735","9256","6735","9256"
"2026-04-21","0.59","13639195","13639195","6790","2017","6790","2017"
"2026-04-20","-0.66","51162055","51162055","6750","7563","6750","7563"
"2026-04-17","0.67","38275360","38275360","6795","5682","6795","5682"
"2026-04-16","0","48873150","48873150","6750","7225","6750","7225"
