"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-2.03","8321605","8321605","1690","4887","1690","4887"
"2026-09-08","-0.86","4946495","4946495","1725","2889","1725","2889"
"2026-09-07","-0.29","5029155","5029155","1740","2896","1740","2896"
"2026-09-04","-0.57","7050510","7050510","1745","4078","1745","4078"
"2026-09-03","0","1858710","1858710","1755","1063","1755","1063"
"2026-09-02","4.46","4917375","4917375","1755","2802","1755","2802"
"2026-09-01","-3.45","10149485","10149485","1680","5891","1680","5891"
"2026-08-31","0","11798495","11798495","1740","6778","1740","6778"
"2026-08-28","-0.29","10023365","10023365","1740","5896","1740","5896"
"2026-08-27","-0.29","4361510","4361510","1745","2545","1745","2545"
"2026-08-26","-0.85","5886665","5886665","1750","3349","1750","3349"
"2026-08-24","1.44","7867430","7867430","1765","4499","1765","4499"
"2026-08-21","3.57","7771050","7771050","1740","4497","1740","4497"
"2026-08-20","3.07","5985965","5985965","1680","3629","1680","3629"
"2026-08-19","1.88","3247640","3247640","1630","1989","1630","1989"
"2026-08-18","-3.9","7950985","7950985","1600","4878","1600","4878"
"2026-08-17","0","4665145","4665145","1665","2855","1665","2855"
"2026-08-14","4.06","1638175","1638175","1665","985","1665","985"
"2026-08-13","-5.6","7730420","7730420","1600","4738","1600","4738"
"2026-08-12","0","4779950","4779950","1695","2847","1695","2847"
"2026-08-11","0","3258925","3258925","1695","1920","1695","1920"
"2026-08-10","-0.29","7651535","7651535","1695","4531","1695","4531"
"2026-08-06","0.59","849950","849950","1700","502","1700","502"
"2026-08-05","0","6022130","6022130","1690","3668","1690","3668"
"2026-08-04","-0.29","5253495","5253495","1690","3139","1690","3139"
"2026-08-03","1.8","4504105","4504105","1695","2656","1695","2656"
"2026-07-31","0.3","4863825","4863825","1665","2926","1665","2926"
"2026-07-30","3.11","1567620","1567620","1660","947","1660","947"
"2026-07-29","-3.01","4878855","4878855","1610","2941","1610","2941"
"2026-07-28","-0.6","1613625","1613625","1660","968","1660","968"
"2026-07-27","-0.6","4643380","4643380","1670","2763","1670","2763"
"2026-07-24","-0.88","3477500","3477500","1680","2056","1680","2056"
"2026-07-23","0","1750505","1750505","1695","1038","1695","1038"
"2026-07-22","5.61","4312035","4312035","1695","2615","1695","2615"
"2026-07-21","-5.59","8394990","8394990","1605","5164","1605","5164"
"2026-07-20","6.25","16878150","16878150","1700","10079","1700","10079"
"2026-07-17","1.27","6934085","6934085","1600","4335","1600","4335"
"2026-07-16","1.28","4531560","4531560","1580","2884","1580","2884"
"2026-07-15","-2.8","9271975","9271975","1560","5912","1560","5912"
"2026-07-14","3.55","17603305","17603305","1605","10990","1605","10990"
"2026-07-13","-1.59","9408880","9408880","1550","6142","1550","6142"
"2026-07-10","0","6064390","6064390","1575","3819","1575","3819"
"2026-07-09","-2.78","4216825","4216825","1575","2620","1575","2620"
"2026-07-08","1.25","9837425","9837425","1620","5978","1620","5978"
"2026-07-07","-7.25","7081525","7081525","1600","4303","1600","4303"
"2026-07-06","-2.27","17733410","17733410","1725","10498","1725","10498"
"2026-07-03","-0.84","1891580","1891580","1765","1071","1765","1071"
"2026-07-02","0.85","13950610","13950610","1780","7824","1780","7824"
"2026-07-01","0.28","2805875","2805875","1765","1590","1765","1590"
"2026-06-30","0.57","4339160","4339160","1760","2476","1760","2476"
"2026-06-29","-1.41","15372935","15372935","1750","8797","1750","8797"
"2026-06-26","6.61","10789455","10789455","1775","6056","1775","6056"
"2026-06-25","7.42","2253835","2253835","1665","1408","1665","1408"
"2026-06-24","-7.46","9726560","9726560","1550","6154","1550","6154"
"2026-06-23","-1.18","7515280","7515280","1675","4477","1675","4477"
"2026-06-22","-7.12","12994930","12994930","1695","7477","1695","7477"
"2026-06-19","3.4","6262520","6262520","1825","3458","1825","3458"
"2026-06-18","0","15463200","15463200","1765","8527","1765","8527"
"2026-06-17","7.29","4412410","4412410","1765","2533","1765","2533"
"2026-06-16","2.17","6477620","6477620","1645","4017","1645","4017"
"2026-06-15","0.63","7146215","7146215","1610","4455","1610","4455"
"2026-06-12","0","5738495","5738495","1600","3584","1600","3584"
"2026-06-11","1.27","12123125","12123125","1600","7616","1600","7616"
"2026-06-10","0.32","5342215","5342215","1580","3388","1580","3388"
"2026-06-09","0.32","3564235","3564235","1575","2273","1575","2273"
"2026-06-08","-0.63","3355600","3355600","1570","2137","1570","2137"
"2026-06-05","0.64","4247640","4247640","1580","2693","1580","2693"
"2026-06-04","1.62","2015750","2015750","1570","1287","1570","1287"
"2026-06-03","0.98","2508915","2508915","1545","1629","1545","1629"
"2026-06-02","1.66","2949090","2949090","1530","1931","1530","1931"
"2026-06-01","-0.33","4628920","4628920","1505","3042","1505","3042"
"2026-05-29","1.68","2197210","2197210","1510","1483","1510","1483"
"2026-05-28","0","5117100","5117100","1485","3438","1485","3438"
"2026-05-26","0","1075375","1075375","1485","725","1485","725"
"2026-05-22","0","5577350","5577350","1485","3776","1485","3776"
"2026-05-21","0.34","3086725","3086725","1485","2089","1485","2089"
"2026-05-20","-1.33","2760260","2760260","1480","1858","1480","1858"
"2026-05-19","0","2417645","2417645","1500","1615","1500","1615"
"2026-05-18","-3.54","4489975","4489975","1500","2975","1500","2975"
"2026-05-15","5.07","4842135","4842135","1555","3145","1555","3145"
"2026-05-13","7.25","8348030","8348030","1480","5983","1480","5983"
"2026-05-12","0","2753120","2753120","1380","1999","1380","1999"
"2026-05-11","-0.36","2129680","2129680","1380","1550","1380","1550"
"2026-05-08","-1.07","3440290","3440290","1385","2459","1385","2459"
"2026-05-07","0","5313620","5313620","1400","3848","1400","3848"
"2026-05-06","5.66","5349120","5349120","1400","3910","1400","3910"
"2026-05-05","-7.34","13586790","13586790","1325","10165","1325","10165"
"2026-05-04","0","6889415","6889415","1430","4899","1430","4899"
"2026-04-30","-6.54","1484150","1484150","1430","1026","1430","1026"
"2026-04-29","-3.16","2700295","2700295","1530","1725","1530","1725"
"2026-04-28","-0.63","6797445","6797445","1580","4479","1580","4479"
"2026-04-27","-0.31","3490900","3490900","1590","2218","1590","2218"
"2026-04-24","2.9","2892555","2892555","1595","1888","1595","1888"
"2026-04-23","-3.13","5212750","5212750","1550","3364","1550","3364"
"2026-04-22","0.63","2434550","2434550","1600","1489","1600","1489"
"2026-04-21","2.58","1830225","1830225","1590","1160","1590","1160"
"2026-04-20","0.32","9003040","9003040","1550","5813","1550","5813"
"2026-04-17","-0.32","5143310","5143310","1545","3325","1545","3325"
"2026-04-16","3.33","3638460","3638460","1550","2386","1550","2386"
"2026-04-15","-6.25","7468500","7468500","1500","4917","1500","4917"
"2026-04-14","-1.84","2940985","2940985","1600","1814","1600","1814"
"2026-04-13","-0.61","2574305","2574305","1630","1571","1630","1571"
"2026-04-10","-3.24","826350","826350","1640","491","1640","491"
"2026-04-09","-0.29","8208535","8208535","1695","4907","1695","4907"
"2026-04-08","3.98","10946640","10946640","1700","6545","1700","6545"
"2026-04-07","0.93","11497450","11497450","1635","7104","1635","7104"
"2026-04-03","0.93","1664045","1664045","1620","1032","1620","1032"
"2026-04-02","-0.93","1752405","1752405","1605","1090","1605","1090"
"2026-04-01","0","2026355","2026355","1620","1249","1620","1249"
"2026-03-31","0.62","2792910","2792910","1620","1727","1620","1727"
"2026-03-30","-1.23","9452010","9452010","1610","5855","1610","5855"
"2026-03-27","-0.61","3644430","3644430","1630","2239","1630","2239"
"2026-03-26","0.61","2760855","2760855","1640","1685","1640","1685"
"2026-03-25","-2.69","3305010","3305010","1630","2007","1630","2007"
"2026-03-24","-4.29","3724530","3724530","1675","2272","1675","2272"
"2026-03-23","-2.51","5913825","5913825","1750","3368","1750","3368"
"2026-03-19","1.99","13219770","13219770","1795","7594","1795","7594"
"2026-03-18","0.86","6384190","6384190","1760","3644","1760","3644"
"2026-03-17","5.76","16378935","16378935","1745","9897","1745","9897"
"2026-03-13","-2.65","4364855","4364855","1650","2678","1650","2678"
"2026-03-12","-4.51","12326925","12326925","1695","7224","1695","7224"
"2026-03-11","0","3543945","3543945","1775","2003","1775","2003"
"2026-03-10","4.41","27571160","27571160","1775","15446","1775","15446"
"2026-03-09","-2.86","14628190","14628190","1700","8559","1700","8559"
"2026-03-06","-2.78","11372270","11372270","1750","6586","1750","6586"
"2026-03-05","0.84","10189905","10189905","1800","5758","1800","5758"
"2026-03-04","0.28","22039655","22039655","1785","12352","1785","12352"
"2026-03-03","4.71","11789265","11789265","1780","6741","1780","6741"
"2026-03-02","-5.03","8332590","8332590","1700","4769","1700","4769"
"2026-02-27","0","38088315","38088315","1790","21570","1790","21570"
"2026-02-26","2.29","11963040","11963040","1790","6785","1790","6785"
"2026-02-25","3.24","13052530","13052530","1750","7539","1750","7539"
"2026-02-24","1.19","21354725","21354725","1695","12862","1695","12862"
"2026-02-23","2.76","26333120","26333120","1675","16133","1675","16133"
"2026-02-20","2.52","6880050","6880050","1630","4163","1630","4163"
"2026-02-19","-0.31","36708625","36708625","1590","22828","1590","22828"
"2026-02-18","1.92","16317675","16317675","1595","10269","1595","10269"
"2026-02-17","0.32","7681660","7681660","1565","4854","1565","4854"
"2026-02-16","-0.64","26168135","26168135","1560","16913","1560","16913"
"2026-02-13","-1.57","8315760","8315760","1570","5273","1570","5273"
"2026-02-12","-0.31","6738740","6738740","1595","4201","1595","4201"
"2026-02-11","-2.14","8083680","8083680","1600","5006","1600","5006"
"2026-02-10","3.48","9573340","9573340","1635","5991","1635","5991"
"2026-02-09","-0.63","9691640","9691640","1580","6110","1580","6110"
"2026-02-06","6","4046675","4046675","1590","2601","1590","2601"
"2026-02-05","0","6180670","6180670","1500","4125","1500","4125"
"2026-02-04","0.67","5316600","5316600","1500","3547","1500","3547"
"2026-02-03","-0.33","3472745","3472745","1490","2319","1490","2319"
"2026-02-02","-0.33","8679170","8679170","1495","5816","1495","5816"
"2026-01-30","-1.64","4415485","4415485","1500","2935","1500","2935"
