"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","1.44","83371150","83371150","7400","11202","7400","11202"
"2026-09-08","3.04","84225725","84225725","7295","11349","7295","11349"
"2026-09-07","5.67","41195765","41195765","7080","5960","7080","5960"
"2026-09-04","0","27740645","27740645","6700","4114","6700","4114"
"2026-09-03","3.08","69348880","69348880","6700","10540","6700","10540"
"2026-09-02","-1.52","69560725","69560725","6500","10590","6500","10590"
"2026-09-01","-1.35","31696615","31696615","6600","4756","6600","4756"
"2026-08-31","-0.15","41275960","41275960","6690","6193","6690","6193"
"2026-08-28","0.3","30398365","30398365","6700","4528","6700","4528"
"2026-08-27","-4.16","35237600","35237600","6680","5178","6680","5178"
"2026-08-26","0","55887260","55887260","6970","8023","6970","8023"
"2026-08-24","1.01","61246355","61246355","6970","8790","6970","8790"
"2026-08-21","-4.03","57231120","57231120","6900","8175","6900","8175"
"2026-08-20","5.19","64670520","64670520","7190","9091","7190","9091"
"2026-08-19","7.47","22155130","22155130","6835","3246","6835","3246"
"2026-08-18","7.43","20029865","20029865","6360","3259","6360","3259"
"2026-08-17","7.34","23506980","23506980","5920","4023","5920","4023"
"2026-08-14","1.19","9043535","9043535","5515","1628","5515","1628"
"2026-08-13","0","24892950","24892950","5450","4466","5450","4466"
"2026-08-12","2.64","19651035","19651035","5450","3653","5450","3653"
"2026-08-11","3.11","18392160","18392160","5310","3526","5310","3526"
"2026-08-10","2.59","15993215","15993215","5150","3137","5150","3137"
"2026-08-06","0.4","11002295","11002295","5020","2192","5020","2192"
"2026-08-05","0.1","10248675","10248675","5000","2045","5000","2045"
"2026-08-04","-0.1","26441585","26441585","4995","5299","4995","5299"
"2026-08-03","0","32421490","32421490","5000","6428","5000","6428"
"2026-07-31","0","29968225","29968225","5000","5873","5000","5873"
"2026-07-30","-3.85","47107570","47107570","5000","9344","5000","9344"
"2026-07-29","-3.26","33911605","33911605","5200","6487","5200","6487"
"2026-07-28","3.37","19292510","19292510","5375","3683","5375","3683"
"2026-07-27","-1.89","20268245","20268245","5200","3835","5200","3835"
"2026-07-24","-1.67","14056295","14056295","5300","2616","5300","2616"
"2026-07-23","3.65","14612000","14612000","5390","2779","5390","2779"
"2026-07-22","0.19","36100000","36100000","5200","6946","5200","6946"
"2026-07-21","0","8372480","8372480","5190","1624","5190","1624"
"2026-07-20","-0.1","15286420","15286420","5190","2966","5190","2966"
"2026-07-17","5.91","13110580","13110580","5195","2614","5195","2614"
"2026-07-16","-5.49","18406150","18406150","4905","3681","4905","3681"
"2026-07-15","-0.19","21032365","21032365","5190","4123","5190","4123"
"2026-07-14","-2.35","35073695","35073695","5200","6728","5200","6728"
"2026-07-13","-0.28","22294920","22294920","5325","4181","5325","4181"
"2026-07-10","0.28","17904755","17904755","5340","3361","5340","3361"
"2026-07-09","0.47","21405115","21405115","5325","4051","5325","4051"
"2026-07-08","-3.37","30953350","30953350","5300","5695","5300","5695"
"2026-07-07","0","24094575","24094575","5485","4385","5485","4385"
"2026-07-06","3.49","22609885","22609885","5485","4205","5485","4205"
"2026-07-03","0","26098270","26098270","5300","4872","5300","4872"
"2026-07-02","0","35687280","35687280","5300","6747","5300","6747"
"2026-07-01","-0.28","42923840","42923840","5300","7945","5300","7945"
"2026-06-30","0.28","17547580","17547580","5315","3311","5315","3311"
"2026-06-29","1.92","31402360","31402360","5300","6018","5300","6018"
"2026-06-26","0.19","10624460","10624460","5200","2043","5200","2043"
"2026-06-25","1.76","27346850","27346850","5190","5366","5190","5366"
"2026-06-24","2.1","18086305","18086305","5100","3599","5100","3599"
"2026-06-23","0","19613060","19613060","4995","3924","4995","3924"
"2026-06-22","0","23514105","23514105","4995","4709","4995","4709"
"2026-06-19","0","13335840","13335840","4995","2672","4995","2672"
"2026-06-18","5.05","57128665","57128665","4995","11545","4995","11545"
"2026-06-17","-4.8","53659690","53659690","4755","11099","4755","11099"
"2026-06-16","0","56174820","56174820","4995","11408","4995","11408"
"2026-06-15","0","22044310","22044310","4995","4417","4995","4417"
"2026-06-12","-0.1","33479090","33479090","4995","6701","4995","6701"
"2026-06-11","1.01","38753340","38753340","5000","7862","5000","7862"
"2026-06-10","-1.98","42247870","42247870","4950","8510","4950","8510"
"2026-06-09","-0.88","62706925","62706925","5050","12402","5050","12402"
"2026-06-08","-4.23","85002175","85002175","5095","16722","5095","16722"
"2026-06-05","7.47","32674690","32674690","5320","6263","5320","6263"
"2026-06-04","3.13","68877690","68877690","4950","14034","4950","14034"
"2026-06-03","6.31","48786895","48786895","4800","10070","4800","10070"
"2026-06-02","7.5","42292345","42292345","4515","9555","4515","9555"
"2026-06-01","1.2","23220395","23220395","4200","5588","4200","5588"
"2026-05-29","2.34","32213920","32213920","4150","7849","4150","7849"
"2026-05-28","1.12","80979390","80979390","4055","20238","4055","20238"
"2026-05-26","-0.74","49510740","49510740","4010","12278","4010","12278"
"2026-05-22","7.45","116951840","116951840","4040","28967","4040","28967"
"2026-05-21","7.43","43610400","43610400","3760","11638","3760","11638"
"2026-05-20","4.32","12362360","12362360","3500","3627","3500","3627"
"2026-05-19","0.75","11263820","11263820","3355","3344","3355","3344"
"2026-05-18","1.22","33714015","33714015","3330","10180","3330","10180"
"2026-05-15","-0.3","14774465","14774465","3290","4480","3290","4480"
"2026-05-13","0.15","14082095","14082095","3300","4285","3300","4285"
"2026-05-12","2.97","14584590","14584590","3295","4424","3295","4424"
"2026-05-11","-3.9","8517090","8517090","3200","2648","3200","2648"
"2026-05-08","-0.45","21741355","21741355","3330","6545","3330","6545"
"2026-05-07","4.53","7228920","7228920","3345","2258","3345","2258"
"2026-05-06","6.31","74917615","74917615","3200","24862","3200","24862"
"2026-05-05","-5.49","40505300","40505300","3010","13197","3010","13197"
"2026-05-04","-2","77948145","77948145","3185","24243","3185","24243"
"2026-04-30","0","7759760","7759760","3250","2349","3250","2349"
"2026-04-29","2.2","13737170","13737170","3250","4228","3250","4228"
"2026-04-28","6","13734495","13734495","3180","4326","3180","4326"
"2026-04-27","0","8487050","8487050","3000","2792","3000","2792"
"2026-04-24","-5.21","24147550","24147550","3000","7978","3000","7978"
"2026-04-23","2.1","6063095","6063095","3165","1955","3165","1955"
"2026-04-22","1.47","12616750","12616750","3100","4151","3100","4151"
"2026-04-21","0.16","8607720","8607720","3055","2779","3055","2779"
"2026-04-20","-1.61","6609775","6609775","3050","2117","3050","2117"
"2026-04-17","0","8849070","8849070","3100","2843","3100","2843"
"2026-04-16","-1.27","2418575","2418575","3100","775","3100","775"
"2026-04-15","0.16","5475120","5475120","3140","1757","3140","1757"
"2026-04-14","-0.48","14842175","14842175","3135","4873","3135","4873"
"2026-04-13","-1.41","11249360","11249360","3150","3550","3150","3550"
"2026-04-10","-1.54","4706895","4706895","3195","1468","3195","1468"
"2026-04-09","-3.13","13522585","13522585","3245","4132","3245","4132"
"2026-04-08","0","5241525","5241525","3350","1565","3350","1565"
"2026-04-07","-1.47","8312370","8312370","3350","2469","3350","2469"
"2026-04-03","0","2164480","2164480","3400","637","3400","637"
"2026-04-02","0","4735805","4735805","3400","1403","3400","1403"
"2026-04-01","0","4132205","4132205","3400","1219","3400","1219"
"2026-03-31","3.03","15288070","15288070","3400","4494","3400","4494"
"2026-03-30","0.3","19292325","19292325","3300","5865","3300","5865"
"2026-03-27","0","2670120","2670120","3290","816","3290","816"
"2026-03-26","2.81","8705195","8705195","3290","2715","3290","2715"
"2026-03-25","-4.33","14387280","14387280","3200","4398","3200","4398"
"2026-03-24","0.15","33482820","33482820","3345","10021","3345","10021"
"2026-03-23","1.21","118321125","118321125","3340","35503","3340","35503"
"2026-03-19","3.13","17510405","17510405","3300","5328","3300","5328"
"2026-03-18","-3.03","8593430","8593430","3200","2661","3200","2661"
"2026-03-17","0","16950295","16950295","3300","5236","3300","5236"
"2026-03-13","-1.2","20163550","20163550","3300","6196","3300","6196"
"2026-03-12","2.77","46751870","46751870","3340","14161","3340","14161"
"2026-03-11","-1.52","39194085","39194085","3250","12005","3250","12005"
"2026-03-10","-0.75","13684905","13684905","3300","4167","3300","4167"
"2026-03-09","-0.45","23944815","23944815","3325","7241","3325","7241"
"2026-03-06","-0.89","24113670","24113670","3340","7250","3340","7250"
"2026-03-05","-0.59","16642870","16642870","3370","4958","3370","4958"
"2026-03-04","-0.73","19499745","19499745","3390","5771","3390","5771"
"2026-03-03","-0.44","34039520","34039520","3415","9923","3415","9923"
"2026-03-02","7.36","17634930","17634930","3430","5326","3430","5326"
"2026-02-27","3.06","9753595","9753595","3195","3097","3195","3097"
"2026-02-26","5.08","17972745","17972745","3100","5973","3100","5973"
"2026-02-25","0.34","84420415","84420415","2950","28696","2950","28696"
"2026-02-24","-0.34","15930540","15930540","2940","5519","2940","5519"
"2026-02-23","0.34","23883485","23883485","2950","8102","2950","8102"
"2026-02-20","3.34","17139300","17139300","2940","5829","2940","5829"
"2026-02-19","1.61","21588680","21588680","2845","7563","2845","7563"
"2026-02-18","1.08","8509180","8509180","2800","3055","2800","3055"
"2026-02-17","2.59","7767795","7767795","2770","2857","2770","2857"
"2026-02-16","0.37","11790475","11790475","2700","4375","2700","4375"
"2026-02-13","1.51","15458410","15458410","2690","5765","2690","5765"
"2026-02-12","-1.85","94491020","94491020","2650","35488","2650","35488"
"2026-02-11","0.37","21877140","21877140","2700","8144","2700","8144"
"2026-02-10","0","27280870","27280870","2690","10256","2690","10256"
"2026-02-09","0","20726390","20726390","2690","7698","2690","7698"
"2026-02-06","1.51","41129015","41129015","2690","15471","2690","15471"
"2026-02-05","0.38","8549105","8549105","2650","3171","2650","3171"
"2026-02-04","-1.86","25287415","25287415","2640","9539","2640","9539"
"2026-02-03","0.56","10284690","10284690","2690","3830","2690","3830"
"2026-02-02","-0.37","10368245","10368245","2675","3861","2675","3861"
"2026-01-30","1.32","6838620","6838620","2685","2548","2685","2548"
"2026-01-29","-1.67","15456700","15456700","2650","5777","2650","5777"
"2026-01-28","1.7","9767375","9767375","2695","3666","2695","3666"
"2026-01-27","-1.85","9673235","9673235","2650","3623","2650","3623"
"2026-01-26","-0.18","20537040","20537040","2700","7670","2700","7670"
"2026-01-23","-0.55","15871125","15871125","2705","5857","2705","5857"
"2026-01-22","0.74","13735435","13735435","2720","5074","2720","5074"
"2026-01-21","1.5","16571080","16571080","2700","6068","2700","6068"
"2026-01-20","1.33","6571545","6571545","2660","2477","2660","2477"
"2026-01-19","1.35","8439875","8439875","2625","3239","2625","3239"
"2026-01-16","0","25159320","25159320","2590","9684","2590","9684"
"2026-01-15","1.57","8057635","8057635","2590","3123","2590","3123"
"2026-01-14","2","9582245","9582245","2550","3756","2550","3756"
"2026-01-13","0.4","17319535","17319535","2500","6935","2500","6935"
"2026-01-12","3.75","31067615","31067615","2490","12674","2490","12674"
"2026-01-09","-0.41","5347995","5347995","2400","2217","2400","2217"
"2026-01-08","0.21","6579200","6579200","2410","2734","2410","2734"
"2026-01-07","1.26","14070215","14070215","2405","5891","2405","5891"
"2026-01-06","0","7713960","7713960","2375","3279","2375","3279"
"2026-01-05","-1.04","8135410","8135410","2375","3426","2375","3426"
"2026-01-02","1.69","14154730","14154730","2400","5847","2400","5847"
"2025-12-31","4.66","64925375","64925375","2360","29489","2360","29489"
"2025-12-30","-1.96","142799470","142799470","2255","62809","2255","62809"
"2025-12-29","0","51965410","51965410","2300","22632","2300","22632"
"2025-12-26","0","68856885","68856885","2300","29933","2300","29933"
"2025-12-24","-1.92","62150725","62150725","2300","27021","2300","27021"
"2025-12-23","-4.09","18660505","18660505","2345","7820","2345","7820"
"2025-12-22","-1.41","39940870","39940870","2445","17081","2445","17081"
"2025-12-19","-0.8","5972455","5972455","2480","2400","2480","2400"
"2025-12-18","1.21","4517505","4517505","2500","1820","2500","1820"
"2025-12-17","-1","6182590","6182590","2470","2497","2470","2497"
"2025-12-16","0","13740000","13740000","2495","5748","2495","5748"
"2025-12-15","-0.2","44847775","44847775","2495","18947","2495","18947"
"2025-12-12","0","21518905","21518905","2500","8608","2500","8608"
"2025-12-11","0","34024960","34024960","2500","13610","2500","13610"
"2025-12-10","0","28105725","28105725","2500","11244","2500","11244"
"2025-12-09","0","3376620","3376620","2500","1353","2500","1353"
