"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","1.52","41713545","41713545","33500","1254","33500","1254"
"2026-09-08","-0.9","42997280","42997280","33000","1290","33000","1290"
"2026-09-07","-0.45","47518000","47518000","33300","1431","33300","1431"
"2026-09-04","1.06","20861645","20861645","33450","619","33450","619"
"2026-09-03","1.85","67088645","67088645","33100","2019","33100","2019"
"2026-09-02","6.19","70788125","70788125","32500","2191","32500","2191"
"2026-09-01","3.29","144165700","144165700","30605","4607","30605","4607"
"2026-08-31","0.1","64257690","64257690","29630","2151","29630","2151"
"2026-08-28","0.71","30181335","30181335","29600","1022","29600","1022"
"2026-08-27","0","39041910","39041910","29390","1308","29390","1308"
"2026-08-26","1.34","17394390","17394390","29390","591","29390","591"
"2026-08-24","-3.33","29320305","29320305","29000","991","29000","991"
"2026-08-21","3.45","52320190","52320190","30000","1803","30000","1803"
"2026-08-20","1.05","163621350","163621350","29000","5967","29000","5967"
"2026-08-19","1.31","58476760","58476760","28700","2065","28700","2065"
"2026-08-18","0.05","46989640","46989640","28330","1658","28330","1658"
"2026-08-17","-1.34","64174155","64174155","28315","2258","28315","2258"
"2026-08-14","0","12828900","12828900","28700","447","28700","447"
"2026-08-13","0","27530280","27530280","28700","959","28700","959"
"2026-08-12","-1.03","12249165","12249165","28700","423","28700","423"
"2026-08-11","1.93","23916825","23916825","29000","839","29000","839"
"2026-08-10","0.51","31661720","31661720","28450","1112","28450","1112"
"2026-08-06","0.02","14823270","14823270","28305","523","28305","523"
"2026-08-05","0","24691680","24691680","28300","874","28300","874"
"2026-08-04","-0.67","13967205","13967205","28300","495","28300","495"
"2026-08-03","1.75","31206840","31206840","28490","1113","28490","1113"
"2026-07-31","1.08","36194750","36194750","28000","1293","28000","1293"
"2026-07-30","-1.05","21323995","21323995","27700","768","27700","768"
"2026-07-29","2.92","37844190","37844190","27995","1386","27995","1386"
"2026-07-28","0.44","27789470","27789470","27200","1022","27200","1022"
"2026-07-27","0.3","8361850","8361850","27080","308","27080","308"
"2026-07-24","2.08","24045130","24045130","27000","904","27000","904"
"2026-07-23","0","38946745","38946745","26450","1472","26450","1472"
"2026-07-22","0.76","104652075","104652075","26450","3955","26450","3955"
"2026-07-21","-4.55","43697300","43697300","26250","1649","26250","1649"
"2026-07-20","-3.47","16613585","16613585","27500","598","27500","598"
"2026-07-17","-5.03","21508735","21508735","28490","744","28490","744"
"2026-07-16","-0.02","66792045","66792045","30000","2225","30000","2225"
"2026-07-15","0.02","67810820","67810820","30005","2256","30005","2256"
"2026-07-14","-0.02","84571960","84571960","30000","2806","30000","2806"
"2026-07-13","1.33","73185135","73185135","30005","2355","30005","2355"
"2026-07-10","7.5","34181670","34181670","29610","1181","29610","1181"
"2026-07-09","-0.29","50252370","50252370","27545","1770","27545","1770"
"2026-07-08","7.49","14848625","14848625","27625","548","27625","548"
"2026-07-07","2.8","14990270","14990270","25700","588","25700","588"
"2026-07-06","4.56","34017185","34017185","25000","1409","25000","1409"
"2026-07-03","-0.38","27908550","27908550","23910","1163","23910","1163"
"2026-07-02","0","35867120","35867120","24000","1490","24000","1490"
"2026-07-01","2.13","34841865","34841865","24000","1464","24000","1464"
"2026-06-30","5.88","44483195","44483195","23500","1983","23500","1983"
"2026-06-29","0.89","12097785","12097785","22195","548","22195","548"
"2026-06-26","0.02","30688015","30688015","22000","1382","22000","1382"
"2026-06-25","0.96","19563740","19563740","21995","891","21995","891"
"2026-06-24","0","25629175","25629175","21785","1176","21785","1176"
"2026-06-23","-0.98","24132025","24132025","21785","1106","21785","1106"
"2026-06-22","2.33","25573230","25573230","22000","1178","22000","1178"
