"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","4.33","23050145","23050145","1565","15254","1565","15254"
"2026-09-08","-4.15","7911275","7911275","1500","5167","1500","5167"
"2026-09-07","-0.95","11654410","11654410","1565","7384","1565","7384"
"2026-09-04","5.33","10357525","10357525","1580","6759","1580","6759"
"2026-09-03","-0.99","11939480","11939480","1500","7948","1500","7948"
"2026-09-02","-3.5","16711295","16711295","1515","11011","1515","11011"
"2026-09-01","1.29","2156350","2156350","1570","1376","1570","1376"
"2026-08-31","3.33","4292160","4292160","1550","2796","1550","2796"
"2026-08-28","3.45","30378030","30378030","1500","20746","1500","20746"
"2026-08-27","-3.33","11843195","11843195","1450","8009","1450","8009"
"2026-08-26","-3.23","7937350","7937350","1500","5232","1500","5232"
"2026-08-24","0","5980950","5980950","1550","3802","1550","3802"
"2026-08-21","-2.52","25114700","25114700","1550","16584","1550","16584"
"2026-08-20","-0.63","7330210","7330210","1590","4585","1590","4585"
"2026-08-19","0.63","37883645","37883645","1600","23638","1600","23638"
"2026-08-18","7.43","41157865","41157865","1590","26683","1590","26683"
"2026-08-17","-0.67","7135870","7135870","1480","4920","1480","4920"
"2026-08-14","-0.33","4034510","4034510","1490","2828","1490","2828"
"2026-08-13","-0.33","12234010","12234010","1495","8404","1495","8404"
"2026-08-12","0.33","7781650","7781650","1500","5254","1500","5254"
"2026-08-11","-0.33","8556180","8556180","1495","5802","1495","5802"
"2026-08-10","3.81","6445820","6445820","1500","4368","1500","4368"
"2026-08-06","-0.34","1482255","1482255","1445","1026","1445","1026"
"2026-08-05","-2.03","6429910","6429910","1450","4433","1450","4433"
"2026-08-04","0","3251380","3251380","1480","2188","1480","2188"
"2026-08-03","-0.34","3411715","3411715","1480","2293","1480","2293"
"2026-07-31","-1","3520580","3520580","1485","2355","1485","2355"
"2026-07-30","5.26","5053345","5053345","1500","3398","1500","3398"
"2026-07-29","-5","8542590","8542590","1425","5915","1425","5915"
"2026-07-28","-1.32","8351275","8351275","1500","5656","1500","5656"
"2026-07-27","0.33","3658440","3658440","1520","2429","1520","2429"
"2026-07-24","-0.33","12322410","12322410","1515","8449","1515","8449"
"2026-07-23","6.29","12024670","12024670","1520","8238","1520","8238"
"2026-07-22","0","3674680","3674680","1430","2546","1430","2546"
"2026-07-21","1.42","6247980","6247980","1430","4428","1430","4428"
"2026-07-20","-6","6048330","6048330","1410","4303","1410","4303"
"2026-07-17","0","4331230","4331230","1500","2888","1500","2888"
"2026-07-16","-2.28","3958265","3958265","1500","2608","1500","2608"
"2026-07-15","2.68","8197390","8197390","1535","5388","1535","5388"
"2026-07-14","1.7","5078950","5078950","1495","3407","1495","3407"
"2026-07-13","1.03","5003575","5003575","1470","3411","1470","3411"
"2026-07-10","5.05","4600030","4600030","1455","3212","1455","3212"
"2026-07-09","2.59","8851670","8851670","1385","6501","1385","6501"
"2026-07-08","-6.57","11765605","11765605","1350","8669","1350","8669"
"2026-07-07","-1.03","3988195","3988195","1445","2748","1445","2748"
