"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","1.11","82297565","82297565","17695","4740","17695","4740"
"2026-09-08","0","54830065","54830065","17500","3119","17500","3119"
"2026-09-07","-1.27","36236950","36236950","17500","2073","17500","2073"
"2026-09-04","1.29","13008745","13008745","17725","733","17725","733"
"2026-09-03","1.74","60643395","60643395","17500","3510","17500","3510"
"2026-09-02","1.18","39856250","39856250","17200","2340","17200","2340"
"2026-09-01","2.97","88952515","88952515","17000","5405","17000","5405"
"2026-08-31","-1.99","35492835","35492835","16510","2114","16510","2114"
"2026-08-28","0","18990845","18990845","16845","1128","16845","1128"
"2026-08-27","0.87","54751250","54751250","16845","3252","16845","3252"
"2026-08-26","-0.77","105852245","105852245","16700","6471","16700","6471"
"2026-08-24","0.21","110922220","110922220","16830","6688","16830","6688"
"2026-08-21","-0.36","88915065","88915065","16795","5479","16795","5479"
"2026-08-20","2.15","22237835","22237835","16855","1320","16855","1320"
"2026-08-19","-2.28","52041360","52041360","16500","3162","16500","3162"
"2026-08-18","5.5","117930835","117930835","16885","7359","16885","7359"
"2026-08-17","0.03","189652570","189652570","16005","11812","16005","11812"
"2026-08-14","0","181542800","181542800","16000","11343","16000","11343"
"2026-08-13","0","120114655","120114655","16000","7517","16000","7517"
"2026-08-12","0","54532785","54532785","16000","3380","16000","3380"
"2026-08-11","-1.23","97046150","97046150","16000","6065","16000","6065"
"2026-08-10","0","90896705","90896705","16200","5607","16200","5607"
"2026-08-06","1.25","9077265","9077265","16200","562","16200","562"
"2026-08-05","-1.23","25632505","25632505","16000","1590","16000","1590"
"2026-08-04","0.62","103654760","103654760","16200","6408","16200","6408"
"2026-08-03","-0.8","24239195","24239195","16100","1507","16100","1507"
"2026-07-31","-0.03","30978325","30978325","16230","1910","16230","1910"
"2026-07-30","0","26010690","26010690","16235","1602","16235","1602"
"2026-07-29","-0.06","41826660","41826660","16235","2573","16235","2573"
"2026-07-28","0.03","71217825","71217825","16245","4385","16245","4385"
"2026-07-27","-0.03","30677580","30677580","16240","1894","16240","1894"
"2026-07-24","2.17","111993495","111993495","16245","6990","16245","6990"
"2026-07-23","1.18","11156345","11156345","15900","705","15900","705"
"2026-07-22","0","23763360","23763360","15715","1512","15715","1512"
"2026-07-21","0","35711050","35711050","15715","2300","15715","2300"
"2026-07-20","-1.78","69173820","69173820","15715","4603","15715","4603"
"2026-07-17","0","22296515","22296515","16000","1404","16000","1404"
"2026-07-16","0.63","89157255","89157255","16000","5655","16000","5655"
"2026-07-15","-2.87","102629015","102629015","15900","6512","15900","6512"
"2026-07-14","-1.98","15715940","15715940","16370","954","16370","954"
"2026-07-13","-0.57","35080305","35080305","16700","2116","16700","2116"
"2026-07-10","0.57","7782175","7782175","16795","465","16795","465"
"2026-07-09","-1.76","10823440","10823440","16700","639","16700","639"
"2026-07-08","2.16","28403745","28403745","17000","1701","17000","1701"
"2026-07-07","0.85","1590670700","1590670700","16640","102038","16640","102038"
"2026-07-06","-4.46","88386105","88386105","16500","5176","16500","5176"
"2026-07-03","4.67","23828100","23828100","17270","1411","17270","1411"
"2026-07-02","1.54","25687560","25687560","16500","1537","16500","1537"
"2026-07-01","-2.11","52032335","52032335","16250","3155","16250","3155"
"2026-06-30","-3.43","20531655","20531655","16600","1217","16600","1217"
"2026-06-29","0.23","17047540","17047540","17190","1006","17190","1006"
"2026-06-26","2.08","5857650","5857650","17150","341","17150","341"
"2026-06-25","1.82","3896440","3896440","16800","234","16800","234"
"2026-06-24","0","108551575","108551575","16500","6518","16500","6518"
"2026-06-23","-2.94","194913145","194913145","16500","11571","16500","11571"
"2026-06-22","1.52","95990800","95990800","17000","5651","17000","5651"
"2026-06-19","1.48","6678520","6678520","16745","404","16745","404"
"2026-06-18","0.61","64087510","64087510","16500","3884","16500","3884"
"2026-06-17","-0.61","40184710","40184710","16400","2443","16400","2443"
"2026-06-16","-1.61","109319620","109319620","16500","6616","16500","6616"
"2026-06-15","-0.15","62359790","62359790","16770","3712","16770","3712"
"2026-06-12","-0.03","7358335","7358335","16795","438","16795","438"
"2026-06-11","0.6","18011730","18011730","16800","1069","16800","1069"
"2026-06-10","-0.6","16487395","16487395","16700","977","16700","977"
"2026-06-09","2.44","102712600","102712600","16800","6278","16800","6278"
"2026-06-08","0","15919710","15919710","16400","971","16400","971"
"2026-06-05","0.34","55623480","55623480","16400","3403","16400","3403"
"2026-06-04","0","31439240","31439240","16345","1924","16345","1924"
"2026-06-03","0","60064240","60064240","16345","3676","16345","3676"
"2026-06-02","0.58","48284370","48284370","16345","2962","16345","2962"
"2026-06-01","-0.25","12841905","12841905","16250","790","16250","790"
"2026-05-29","-0.06","14465820","14465820","16290","884","16290","884"
"2026-05-28","0","29307635","29307635","16300","1799","16300","1799"
"2026-05-26","0","2411585","2411585","16300","148","16300","148"
"2026-05-22","0","25728100","25728100","16300","1593","16300","1593"
"2026-05-21","0","60814635","60814635","16300","3727","16300","3727"
"2026-05-20","0","11492600","11492600","16300","704","16300","704"
"2026-05-19","0","19999125","19999125","16300","1234","16300","1234"
"2026-05-18","0","34053270","34053270","16300","2107","16300","2107"
"2026-05-15","0","22975250","22975250","16300","1413","16300","1413"
"2026-05-13","0.62","18028440","18028440","16300","1114","16300","1114"
"2026-05-12","0","78174125","78174125","16200","4831","16200","4831"
"2026-05-11","-3.57","33226920","33226920","16200","2038","16200","2038"
"2026-05-08","3.07","15510345","15510345","16800","900","16800","900"
"2026-05-07","1.24","10594600","10594600","16300","659","16300","659"
"2026-05-06","0.63","22400485","22400485","16100","1400","16100","1400"
"2026-05-05","-0.62","11965860","11965860","16000","747","16000","747"
"2026-05-04","-1.23","9591940","9591940","16100","594","16100","594"
"2026-04-30","1.56","71981280","71981280","16300","4420","16300","4420"
"2026-04-29","-1.53","176518315","176518315","16050","10142","16050","10142"
"2026-04-28","1.75","6494885","6494885","16300","402","16300","402"
"2026-04-27","-1.72","11833350","11833350","16020","738","16020","738"
"2026-04-24","1.88","13813750","13813750","16300","863","16300","863"
"2026-04-23","0","39028150","39028150","16000","2399","16000","2399"
"2026-04-22","1.2","11485320","11485320","16000","722","16000","722"
"2026-04-21","0","23365010","23365010","15810","1430","15810","1430"
"2026-04-20","-2.71","15812205","15812205","15810","999","15810","999"
"2026-04-17","3.44","8582145","8582145","16250","526","16250","526"
"2026-04-16","0.06","37009015","37009015","15710","2257","15710","2257"
"2026-04-15","0.51","26352050","26352050","15700","1649","15700","1649"
"2026-04-14","0.03","30610790","30610790","15620","1959","15620","1959"
"2026-04-13","-3.67","40384210","40384210","15615","2516","15615","2516"
"2026-04-10","0.06","12628915","12628915","16210","776","16210","776"
"2026-04-09","-1.82","19710780","19710780","16200","1201","16200","1201"
"2026-04-08","0.92","9403500","9403500","16500","573","16500","573"
"2026-04-07","0","20404080","20404080","16350","1250","16350","1250"
"2026-04-03","0","11304350","11304350","16350","692","16350","692"
"2026-04-02","-0.91","13394150","13394150","16350","817","16350","817"
"2026-04-01","0","204220815","204220815","16500","12191","16500","12191"
"2026-03-31","0","48678010","48678010","16500","2932","16500","2932"
"2026-03-30","0","14601135","14601135","16500","888","16500","888"
"2026-03-27","1.23","42929660","42929660","16500","2610","16500","2610"
"2026-03-26","0","38597565","38597565","16300","2368","16300","2368"
"2026-03-25","0","50343760","50343760","16300","3083","16300","3083"
"2026-03-24","-2.4","13101640","13101640","16300","790","16300","790"
"2026-03-23","-1.21","13324030","13324030","16700","790","16700","790"
"2026-03-19","0.65","6377040","6377040","16905","379","16905","379"
"2026-03-18","3.16","47984315","47984315","16795","2940","16795","2940"
"2026-03-17","0.4","28756235","28756235","16280","1751","16280","1751"
"2026-03-13","-2.32","62738145","62738145","16215","3819","16215","3819"
"2026-03-12","1.19","14615680","14615680","16600","876","16600","876"
"2026-03-11","0.03","11676505","11676505","16405","706","16405","706"
"2026-03-10","-2.38","5782950","5782950","16400","352","16400","352"
"2026-03-09","1.97","79279455","79279455","16800","4817","16800","4817"
"2026-03-06","0","56366925","56366925","16475","3439","16475","3439"
"2026-03-05","0","38172770","38172770","16475","2355","16475","2355"
"2026-03-04","1.7","19162005","19162005","16475","1176","16475","1176"
"2026-03-03","-4.62","33530250","33530250","16200","1988","16200","1988"
"2026-03-02","-0.09","49723420","49723420","16985","2927","16985","2927"
"2026-02-27","0.09","121666315","121666315","17000","7184","17000","7184"
"2026-02-26","1.71","6915960","6915960","16985","408","16985","408"
"2026-02-25","0","653806380","653806380","16700","39415","16700","39415"
"2026-02-24","0","19727050","19727050","16700","1182","16700","1182"
"2026-02-23","-1.18","18035345","18035345","16700","1078","16700","1078"
"2026-02-20","4","29394205","29394205","16900","1758","16900","1758"
"2026-02-19","-4.41","11643490","11643490","16250","691","16250","691"
"2026-02-18","4.94","56061550","56061550","17000","3325","17000","3325"
"2026-02-17","1.25","29827720","29827720","16200","1836","16200","1836"
"2026-02-16","-5.33","42283875","42283875","16000","2635","16000","2635"
"2026-02-13","0.6","13022330","13022330","16900","774","16900","774"
"2026-02-12","1.79","48097720","48097720","16800","2882","16800","2882"
"2026-02-11","-2.91","90505650","90505650","16505","5424","16505","5424"
"2026-02-10","-2.86","36071170","36071170","17000","2095","17000","2095"
"2026-02-09","0","23242625","23242625","17500","1328","17500","1328"
"2026-02-06","-1.69","71748995","71748995","17500","4050","17500","4050"
"2026-02-05","3.7","3343615","3343615","17800","190","17800","190"
"2026-02-04","0","26552015","26552015","17165","1537","17165","1537"
"2026-02-03","0","9986725","9986725","17165","580","17165","580"
"2026-02-02","0.94","37498670","37498670","17165","2175","17165","2175"
"2026-01-30","0.06","48641610","48641610","17005","2856","17005","2856"
"2026-01-29","1.19","12683060","12683060","16995","750","16995","750"
"2026-01-28","0.6","18009195","18009195","16795","1079","16795","1079"
"2026-01-27","0","6514000","6514000","16695","392","16695","392"
"2026-01-26","1.15","28175500","28175500","16695","1706","16695","1706"
"2026-01-23","0","25486680","25486680","16505","1542","16505","1542"
"2026-01-22","-0.57","7288770","7288770","16505","438","16505","438"
"2026-01-21","0.61","9629260","9629260","16600","582","16600","582"
"2026-01-20","0","8327845","8327845","16500","498","16500","498"
"2026-01-19","0","6813090","6813090","16500","413","16500","413"
"2026-01-16","0","9486970","9486970","16500","575","16500","575"
"2026-01-15","0.06","12609065","12609065","16500","765","16500","765"
"2026-01-14","-0.06","28872940","28872940","16490","1750","16490","1750"
"2026-01-13","0","11632680","11632680","16500","729","16500","729"
"2026-01-12","0.03","5443450","5443450","16500","330","16500","330"
"2026-01-09","1.82","5227500","5227500","16495","320","16495","320"
"2026-01-08","0","20101680","20101680","16200","1223","16200","1223"
"2026-01-07","0","26684145","26684145","16200","1626","16200","1626"
"2026-01-06","2.56","17687585","17687585","16200","1101","16200","1101"
"2026-01-05","-1.28","3452560","3452560","15795","215","15795","215"
"2026-01-02","0","306156145","306156145","16000","19750","16000","19750"
"2025-12-31","1.3","9407150","9407150","16000","589","16000","589"
"2025-12-30","1.31","1247400535","1247400535","15795","80571","15795","80571"
"2025-12-29","-0.06","8353415","8353415","15590","560","15590","560"
"2025-12-26","4","944474510","944474510","15600","61029","15600","61029"
"2025-12-24","0","1470225","1470225","15000","98","15000","98"
"2025-12-23","-0.03","10906145","10906145","15000","727","15000","727"
"2025-12-22","-3.19","28738860","28738860","15005","1919","15005","1919"
"2025-12-19","2.89","91538395","91538395","15500","6098","15500","6098"
"2025-12-18","0.43","1438878220","1438878220","15065","95566","15065","95566"
"2025-12-17","-0.33","98284545","98284545","15000","6585","15000","6585"
"2025-12-16","-1.12","85782305","85782305","15050","5742","15050","5742"
"2025-12-15","0.07","19157140","19157140","15220","1258","15220","1258"
"2025-12-12","-3.73","27853915","27853915","15210","1785","15210","1785"
"2025-12-11","1.94","13472240","13472240","15800","837","15800","837"
"2025-12-10","-1.9","32665375","32665375","15500","2062","15500","2062"
"2025-12-09","-4.24","9142740","9142740","15800","562","15800","562"
"2025-12-08","3.13","5833630","5833630","16500","367","16500","367"
