"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0","47686289","47686289","70","684673","70","684673"
"2026-09-08","-1.41","51385388","51385388","70","730288","70","730288"
"2026-09-07","0","148903654","148903654","71","2154266","71","2154266"
"2026-09-04","2.9","53058978","53058978","71","757620","71","757620"
"2026-09-03","4.55","112125954","112125954","69","1643443","69","1643443"
"2026-09-02","-2.94","53717285","53717285","66","797682","66","797682"
"2026-09-01","1.49","88879498","88879498","68","1309060","68","1309060"
"2026-08-31","3.08","73352413","73352413","67","1099122","67","1099122"
"2026-08-28","-2.99","31558576","31558576","65","473721","65","473721"
"2026-08-27","3.08","59412018","59412018","67","888856","67","888856"
"2026-08-26","-2.99","163407508","163407508","65","2456632","65","2456632"
"2026-08-24","1.52","112500814","112500814","67","1710674","67","1710674"
"2026-08-21","0","78064569","78064569","66","1185056","66","1185056"
"2026-08-20","-2.94","70846517","70846517","66","1074613","66","1074613"
"2026-08-19","1.49","147389565","147389565","68","2199479","68","2199479"
"2026-08-18","3.08","60408635","60408635","67","913572","67","913572"
"2026-08-17","-4.41","149209792","149209792","65","2275729","65","2275729"
"2026-08-14","0","81765935","81765935","68","1246051","68","1246051"
"2026-08-13","4.62","105595885","105595885","68","1615028","68","1615028"
"2026-08-12","-5.8","135210520","135210520","65","2073745","65","2073745"
"2026-08-11","2.99","105776689","105776689","69","1587896","69","1587896"
"2026-08-10","3.08","158896302","158896302","67","2420394","67","2420394"
"2026-08-06","1.56","27534381","27534381","65","428618","65","428618"
"2026-08-05","0","85667076","85667076","64","1365222","64","1365222"
"2026-08-04","-7.25","178229112","178229112","64","2726990","64","2726990"
"2026-08-03","4.55","57872695","57872695","69","836211","69","836211"
"2026-07-31","-2.94","194453823","194453823","66","2817309","66","2817309"
"2026-07-30","6.25","96149671","96149671","68","1520546","68","1520546"
"2026-07-29","-7.25","170200267","170200267","64","2659250","64","2659250"
"2026-07-28","-6.76","128746149","128746149","69","1813321","69","1813321"
"2026-07-27","1.37","58940763","58940763","74","802471","74","802471"
"2026-07-24","-2.67","156211586","156211586","73","2162532","73","2162532"
"2026-07-23","7.14","270204834","270204834","75","3805473","75","3805473"
"2026-07-22","6.06","72904064","72904064","70","1042412","70","1042412"
"2026-07-21","4.76","466369609","466369609","66","7577297","66","7577297"
"2026-07-20","-7.35","130468562","130468562","63","2070178","63","2070178"
"2026-07-17","-6.85","113073294","113073294","68","1662045","68","1662045"
"2026-07-16","-6.41","606108234","606108234","73","7610825","73","7610825"
"2026-07-15","6.85","145963892","145963892","78","1871864","78","1871864"
"2026-07-14","7.35","146885052","146885052","73","2012124","73","2012124"
