"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-1.28","3120565","3120565","2305","1342","2305","1342"
"2026-09-08","-2.51","3283540","3283540","2335","1393","2335","1393"
"2026-09-07","2.79","29380690","29380690","2395","12721","2395","12721"
"2026-09-04","-2.92","12040840","12040840","2330","5112","2330","5112"
"2026-09-03","-1.03","39397165","39397165","2400","16264","2400","16264"
"2026-09-02","1.68","9371555","9371555","2425","3891","2425","3891"
"2026-09-01","2.36","10627690","10627690","2385","4502","2385","4502"
"2026-08-31","0.87","6152780","6152780","2330","2649","2330","2649"
"2026-08-28","-2.33","2105110","2105110","2310","906","2310","906"
"2026-08-27","0","20482885","20482885","2365","8795","2365","8795"
"2026-08-26","-0.63","5852185","5852185","2365","2475","2365","2475"
"2026-08-24","0.42","9099015","9099015","2380","3837","2380","3837"
"2026-08-21","-0.42","2642860","2642860","2370","1122","2370","1122"
"2026-08-20","1.28","6597715","6597715","2380","2800","2380","2800"
"2026-08-19","-1.67","2717420","2717420","2350","1185","2350","1185"
"2026-08-18","-0.83","3758275","3758275","2390","1573","2390","1573"
"2026-08-17","-0.82","7619085","7619085","2410","3162","2410","3162"
"2026-08-14","0.83","2211580","2211580","2430","910","2430","910"
"2026-08-13","0.42","7074775","7074775","2410","2912","2410","2912"
"2026-08-12","-1.23","4151120","4151120","2400","1713","2400","1713"
"2026-08-11","6.58","14802700","14802700","2430","6068","2430","6068"
"2026-08-10","7.29","18613950","18613950","2280","8372","2280","8372"
"2026-08-06","2.41","9901720","9901720","2125","4737","2125","4737"
"2026-08-05","-3.49","10266275","10266275","2075","4894","2075","4894"
"2026-08-04","-2.27","4906135","4906135","2150","2266","2150","2266"
"2026-08-03","0","7454930","7454930","2200","3414","2200","3414"
"2026-07-31","0.23","12989650","12989650","2200","5877","2200","5877"
"2026-07-30","-0.23","3843985","3843985","2195","1750","2195","1750"
"2026-07-29","0.69","11036520","11036520","2200","5018","2200","5018"
"2026-07-28","-2.46","5734250","5734250","2185","2614","2185","2614"
"2026-07-27","-0.44","5200130","5200130","2240","2348","2240","2348"
"2026-07-24","0","9937720","9937720","2250","4484","2250","4484"
"2026-07-23","0","5387860","5387860","2250","2394","2250","2394"
"2026-07-22","4.17","3031535","3031535","2250","1340","2250","1340"
"2026-07-21","-6.09","26056750","26056750","2160","11976","2160","11976"
"2026-07-20","-4.17","6683785","6683785","2300","2943","2300","2943"
"2026-07-17","2.35","38084730","38084730","2400","16842","2400","16842"
"2026-07-16","-7.31","15078320","15078320","2345","6261","2345","6261"
"2026-07-15","6.53","26802100","26802100","2530","10595","2530","10595"
"2026-07-14","7.47","31077995","31077995","2375","13087","2375","13087"
"2026-07-13","7.28","5997940","5997940","2210","2714","2210","2714"
"2026-07-10","7.29","29625445","29625445","2060","15169","2060","15169"
"2026-07-09","-4","43039440","43039440","1920","22833","1920","22833"
"2026-07-08","-7.41","12021920","12021920","2000","6010","2000","6010"
"2026-07-07","-7.49","25288315","25288315","2160","11552","2160","11552"
"2026-07-06","-0.85","22911690","22911690","2335","9970","2335","9970"
"2026-07-03","-3.09","11618645","11618645","2355","4866","2355","4866"
"2026-07-02","-1.02","16889485","16889485","2430","6980","2430","6980"
"2026-07-01","-1.8","14956965","14956965","2455","6010","2455","6010"
"2026-06-30","-2.91","17064360","17064360","2500","6817","2500","6817"
"2026-06-29","-1.9","21045080","21045080","2575","8096","2575","8096"
"2026-06-26","-0.94","6078420","6078420","2625","2305","2625","2305"
"2026-06-25","-2.93","15513500","15513500","2650","5894","2650","5894"
"2026-06-24","4","11044665","11044665","2730","4008","2730","4008"
