"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0","5537695","5537695","2100","2644","2100","2644"
"2026-09-08","-1.41","6694805","6694805","2100","3188","2100","3188"
"2026-09-07","-0.93","7625735","7625735","2130","3565","2130","3565"
"2026-09-04","-0.23","5417845","5417845","2150","2531","2150","2531"
"2026-09-03","-1.15","7000515","7000515","2155","3242","2155","3242"
"2026-09-02","4.31","4100135","4100135","2180","1934","2180","1934"
"2026-09-01","-3.02","9453990","9453990","2090","4481","2090","4481"
"2026-08-31","-0.23","3996055","3996055","2155","1864","2155","1864"
"2026-08-28","0.23","2240915","2240915","2160","1038","2160","1038"
"2026-08-27","0.23","16215795","16215795","2155","7448","2155","7448"
"2026-08-26","0","9173050","9173050","2150","4228","2150","4228"
"2026-08-24","-1.38","6576895","6576895","2150","3024","2150","3024"
"2026-08-21","0","6306135","6306135","2180","2890","2180","2890"
"2026-08-20","1.4","3702050","3702050","2180","1713","2180","1713"
"2026-08-19","1.42","9057200","9057200","2150","4375","2150","4375"
"2026-08-18","-1.4","2982560","2982560","2120","1395","2120","1395"
"2026-08-17","-1.83","3981805","3981805","2150","1826","2150","1826"
"2026-08-14","0","1528595","1528595","2190","698","2190","698"
"2026-08-13","0","10996450","10996450","2190","5011","2190","5011"
"2026-08-12","0.23","19267470","19267470","2190","8724","2190","8724"
"2026-08-11","2.34","6990470","6990470","2185","3214","2185","3214"
"2026-08-10","6.75","11703090","11703090","2135","5553","2135","5553"
"2026-08-06","0.5","21705525","21705525","2000","10905","2000","10905"
"2026-08-05","1.02","11885960","11885960","1990","6025","1990","6025"
"2026-08-04","3.14","6471595","6471595","1970","3316","1970","3316"
"2026-08-03","-3.05","5902905","5902905","1910","3008","1910","3008"
"2026-07-31","3.14","1685685","1685685","1970","861","1970","861"
"2026-07-30","-3.05","7555175","7555175","1910","3898","1910","3898"
"2026-07-29","1.03","4279545","4279545","1970","2169","1970","2169"
"2026-07-28","-1.27","8858360","8858360","1950","4613","1950","4613"
"2026-07-27","-0.5","13110055","13110055","1975","6628","1975","6628"
"2026-07-24","0.76","8312255","8312255","1985","4188","1985","4188"
"2026-07-23","-0.76","4487345","4487345","1970","2259","1970","2259"
"2026-07-22","-0.25","3138600","3138600","1985","1583","1985","1583"
"2026-07-21","0.25","3173900","3173900","1990","1606","1990","1606"
"2026-07-20","-0.25","7553425","7553425","1985","3810","1985","3810"
"2026-07-17","-0.25","14521750","14521750","1990","7223","1990","7223"
"2026-07-16","1.01","9680095","9680095","1995","4858","1995","4858"
"2026-07-15","-0.75","8288035","8288035","1975","4183","1975","4183"
"2026-07-14","0","7908455","7908455","1990","3986","1990","3986"
"2026-07-13","0.76","11096975","11096975","1990","5597","1990","5597"
"2026-07-10","-1.25","10157960","10157960","1975","5115","1975","5115"
"2026-07-09","0.5","7120840","7120840","2000","3581","2000","3581"
"2026-07-08","0.25","5091170","5091170","1990","2554","1990","2554"
"2026-07-07","0","9714970","9714970","1985","4877","1985","4877"
"2026-07-06","-1.73","10002025","10002025","1985","5008","1985","5008"
"2026-07-03","-1.46","6669670","6669670","2020","3246","2020","3246"
"2026-07-02","2.5","8741625","8741625","2050","4211","2050","4211"
"2026-07-01","0","7862170","7862170","2000","3930","2000","3930"
"2026-06-30","1.52","21901385","21901385","2000","11281","2000","11281"
"2026-06-29","0.25","17676755","17676755","1970","8950","1970","8950"
"2026-06-26","0.51","18652055","18652055","1965","9459","1965","9459"
"2026-06-25","0","17667780","17667780","1955","9086","1955","9086"
"2026-06-24","-6.01","24671870","24671870","1955","12530","1955","12530"
"2026-06-23","-3.26","39402995","39402995","2080","18815","2080","18815"
"2026-06-22","-0.46","7661010","7661010","2150","3573","2150","3573"
"2026-06-19","2.86","8434125","8434125","2160","3957","2160","3957"
"2026-06-18","-3.45","28194725","28194725","2100","13292","2100","13292"
"2026-06-17","-0.68","12211160","12211160","2175","5592","2175","5592"
"2026-06-16","-1.13","11249865","11249865","2190","5118","2190","5118"
"2026-06-15","-0.67","11183205","11183205","2215","5040","2215","5040"
"2026-06-12","0.45","13183705","13183705","2230","5948","2230","5948"
"2026-06-11","-3.06","18127850","18127850","2220","8198","2220","8198"
"2026-06-10","0.66","6026715","6026715","2290","2636","2290","2636"
