"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-1.22","5611920","5611920","4050","1386","4050","1386"
"2026-09-08","5.13","19916480","19916480","4100","5060","4100","5060"
"2026-09-07","-3.7","27985765","27985765","3900","7120","3900","7120"
"2026-09-04","0","45839090","45839090","4050","11453","4050","11453"
"2026-09-03","1.25","29533190","29533190","4050","7353","4050","7353"
"2026-09-02","-0.12","22271015","22271015","4000","5568","4000","5568"
"2026-09-01","0.13","122321405","122321405","4005","30375","4005","30375"
"2026-08-31","0","13684720","13684720","4000","3377","4000","3377"
"2026-08-28","-0.12","72703870","72703870","4000","18125","4000","18125"
"2026-08-27","-2.2","30004940","30004940","4005","7491","4005","7491"
"2026-08-26","0.49","27234480","27234480","4095","6744","4095","6744"
"2026-08-24","-0.49","21127900","21127900","4075","5228","4075","5228"
"2026-08-21","-0.12","60477215","60477215","4095","15058","4095","15058"
"2026-08-20","-1.91","9703705","9703705","4100","2337","4100","2337"
"2026-08-19","1.09","24509755","24509755","4180","5926","4180","5926"
"2026-08-18","1.97","40177845","40177845","4135","9960","4135","9960"
"2026-08-17","-1.1","5706430","5706430","4055","1397","4055","1397"
"2026-08-14","2.5","8230505","8230505","4100","2006","4100","2006"
"2026-08-13","-5.77","28188920","28188920","4000","7009","4000","7009"
"2026-08-12","0","59675125","59675125","4245","14809","4245","14809"
"2026-08-11","-1.16","12346560","12346560","4245","2956","4245","2956"
"2026-08-10","-0.12","70300250","70300250","4295","16471","4295","16471"
"2026-08-06","0","17460870","17460870","4300","4261","4300","4261"
"2026-08-05","-2.27","7934655","7934655","4300","1866","4300","1866"
"2026-08-04","-3.51","18966770","18966770","4400","4270","4400","4270"
"2026-08-03","1.33","43179810","43179810","4560","9055","4560","9055"
"2026-07-31","3.45","4782700","4782700","4500","1094","4500","1094"
"2026-07-30","0","27271410","27271410","4350","6266","4350","6266"
"2026-07-29","0","5680705","5680705","4350","1306","4350","1306"
"2026-07-28","3.2","10716560","10716560","4350","2488","4350","2488"
"2026-07-27","-2.09","1814480","1814480","4215","424","4215","424"
"2026-07-24","-0.35","4220195","4220195","4305","1012","4305","1012"
"2026-07-23","0.23","5948090","5948090","4320","1378","4320","1378"
"2026-07-22","5.12","6262840","6262840","4310","1497","4310","1497"
"2026-07-21","0","831285","831285","4100","200","4100","200"
"2026-07-20","-4.65","13877155","13877155","4100","3335","4100","3335"
"2026-07-17","-0.46","2049640","2049640","4300","487","4300","487"
"2026-07-16","0","7126535","7126535","4320","1682","4320","1682"
"2026-07-15","-0.46","6461760","6461760","4320","1507","4320","1507"
"2026-07-14","-0.12","1771000","1771000","4340","420","4340","420"
"2026-07-13","-1.59","43785230","43785230","4345","10613","4345","10613"
"2026-07-10","7.42","57561390","57561390","4415","13261","4415","13261"
"2026-07-09","1.23","2037425","2037425","4110","492","4110","492"
"2026-07-08","-6.45","2974560","2974560","4060","727","4060","727"
"2026-07-07","0","10022690","10022690","4340","2440","4340","2440"
"2026-07-06","-0.23","3300290","3300290","4340","760","4340","760"
"2026-07-03","-0.68","1797710","1797710","4350","432","4350","432"
"2026-07-02","1.86","17087930","17087930","4380","4112","4380","4112"
"2026-07-01","-3.15","3557170","3557170","4300","820","4300","820"
"2026-06-30","0.91","12438780","12438780","4440","2840","4440","2840"
"2026-06-29","7.32","16663665","16663665","4400","3961","4400","3961"
"2026-06-26","-2.38","10415685","10415685","4100","2515","4100","2515"
"2026-06-25","5","47170940","47170940","4200","11508","4200","11508"
"2026-06-24","0","5260320","5260320","4000","1307","4000","1307"
"2026-06-23","0","7423450","7423450","4000","1856","4000","1856"
"2026-06-22","-2.44","7958115","7958115","4000","1972","4000","1972"
"2026-06-19","0","8020070","8020070","4100","2005","4100","2005"
"2026-06-18","2.89","16900265","16900265","4100","4195","4100","4195"
"2026-06-17","2.18","9096850","9096850","3985","2264","3985","2264"
"2026-06-16","1.3","56793240","56793240","3900","14755","3900","14755"
"2026-06-15","0.39","14385050","14385050","3850","3759","3850","3759"
"2026-06-12","0","5156850","5156850","3835","1344","3835","1344"
"2026-06-11","0.13","13177895","13177895","3835","3440","3835","3440"
"2026-06-10","-0.13","27575845","27575845","3830","7191","3830","7191"
"2026-06-09","0","13709270","13709270","3835","3576","3835","3576"
"2026-06-08","0.13","12060335","12060335","3835","3147","3835","3147"
"2026-06-05","-0.13","10525545","10525545","3830","2745","3830","2745"
"2026-06-04","0","9180325","9180325","3835","2394","3835","2394"
"2026-06-03","-0.26","15499815","15499815","3835","4029","3835","4029"
"2026-06-02","-0.13","45479860","45479860","3845","11813","3845","11813"
"2026-06-01","0.13","8206450","8206450","3850","2136","3850","2136"
"2026-05-29","0.52","9660065","9660065","3845","2532","3845","2532"
"2026-05-28","-4.14","4417080","4417080","3825","1155","3825","1155"
"2026-05-26","3.37","1194960","1194960","3990","306","3990","306"
"2026-05-22","0","598700","598700","3860","155","3860","155"
"2026-05-21","-3.26","3327280","3327280","3860","846","3860","846"
"2026-05-20","0","14878205","14878205","3990","3805","3990","3805"
"2026-05-19","2.57","4848170","4848170","3990","1236","3990","1236"
"2026-05-18","-0.26","339270","339270","3890","87","3890","87"
"2026-05-15","0","11478245","11478245","3900","2881","3900","2881"
