"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-11.74","6780570","6780570","2630","2551","2630","2551"
"2026-09-08","0","5564565","5564565","2980","1864","2980","1864"
"2026-09-07","-0.67","7430970","7430970","2980","2497","2980","2497"
"2026-09-04","0","6671665","6671665","3000","2204","3000","2204"
"2026-09-03","0","11488910","11488910","3000","3826","3000","3826"
"2026-09-02","0","11550920","11550920","3000","3814","3000","3814"
"2026-09-01","0.33","11588600","11588600","3000","3839","3000","3839"
"2026-08-31","-0.33","9288885","9288885","2990","3109","2990","3109"
"2026-08-28","7.14","12134450","12134450","3000","4044","3000","4044"
"2026-08-27","4.48","13341990","13341990","2800","4927","2800","4927"
"2026-08-26","7.2","5895025","5895025","2680","2228","2680","2228"
"2026-08-24","4.17","10525760","10525760","2500","4196","2500","4196"
"2026-08-21","2.13","3458200","3458200","2400","1450","2400","1450"
"2026-08-20","7.06","2835495","2835495","2350","1263","2350","1263"
"2026-08-19","0.69","1990615","1990615","2195","909","2195","909"
"2026-08-18","0.23","2767780","2767780","2180","1269","2180","1269"
"2026-08-17","-1.14","2084405","2084405","2175","958","2175","958"
"2026-08-14","0","3046875","3046875","2200","1364","2200","1364"
"2026-08-13","-2.65","4170175","4170175","2200","1850","2200","1850"
"2026-08-12","0","4024695","4024695","2260","1782","2260","1782"
"2026-08-11","-0.22","2452095","2452095","2260","1085","2260","1085"
"2026-08-10","7.09","3862690","3862690","2265","1702","2265","1702"
"2026-08-06","-6.42","1858420","1858420","2115","878","2115","878"
"2026-08-05","0","4473695","4473695","2260","1983","2260","1983"
"2026-08-04","-0.88","1990065","1990065","2260","891","2260","891"
"2026-08-03","0","1430370","1430370","2280","643","2280","643"
"2026-07-31","-0.87","2875905","2875905","2280","1257","2280","1257"
"2026-07-30","0.44","6750980","6750980","2300","2960","2300","2960"
"2026-07-29","0.44","1590090","1590090","2290","696","2290","696"
"2026-07-28","0","3116195","3116195","2280","1396","2280","1396"
"2026-07-27","1.33","2846075","2846075","2280","1271","2280","1271"
"2026-07-24","2.74","3532535","3532535","2250","1596","2250","1596"
"2026-07-23","-0.45","3780280","3780280","2190","1729","2190","1729"
"2026-07-22","0","2374090","2374090","2200","1081","2200","1081"
"2026-07-21","0.46","3804835","3804835","2200","1725","2200","1725"
"2026-07-20","-4.58","1619455","1619455","2190","751","2190","751"
"2026-07-17","6.74","4245415","4245415","2295","2011","2295","2011"
"2026-07-16","-6.93","2050715","2050715","2150","911","2150","911"
"2026-07-15","0","13661430","13661430","2310","5865","2310","5865"
"2026-07-14","7.44","4336835","4336835","2310","1880","2310","1880"
"2026-07-13","7.5","7022120","7022120","2150","3348","2150","3348"
"2026-07-10","-4.53","7320080","7320080","2000","3530","2000","3530"
"2026-07-09","-1.18","6070840","6070840","2095","2979","2095","2979"
"2026-07-08","-2.53","3290475","3290475","2120","1526","2120","1526"
"2026-07-07","-0.46","10539495","10539495","2175","5012","2175","5012"
"2026-07-06","-3.74","3572615","3572615","2185","1633","2185","1633"
"2026-07-03","0","1921505","1921505","2270","851","2270","851"
"2026-07-02","-0.22","3692625","3692625","2270","1636","2270","1636"
"2026-07-01","-2.36","4891800","4891800","2275","2178","2275","2178"
"2026-06-30","-0.85","1220945","1220945","2330","522","2330","522"
"2026-06-29","-2.08","4316095","4316095","2350","1834","2350","1834"
"2026-06-26","5.03","976405","976405","2400","414","2400","414"
"2026-06-25","-0.65","14852175","14852175","2285","6286","2285","6286"
"2026-06-24","-1.71","2131800","2131800","2300","921","2300","921"
"2026-06-23","-0.43","701540","701540","2340","300","2340","300"
"2026-06-22","-1.05","3069300","3069300","2350","1301","2350","1301"
"2026-06-19","3.26","4755810","4755810","2375","2053","2375","2053"
"2026-06-18","-3.56","10838960","10838960","2300","4708","2300","4708"
"2026-06-17","1.71","4733225","4733225","2385","1998","2385","1998"
"2026-06-16","5.16","5028490","5028490","2345","2212","2345","2212"
"2026-06-15","5.44","8695380","8695380","2230","3898","2230","3898"
"2026-06-12","4.44","8132680","8132680","2115","3956","2115","3956"
"2026-06-11","1.76","11124310","11124310","2025","5553","2025","5553"
"2026-06-10","1.53","4383000","4383000","1990","2212","1990","2212"
"2026-06-09","-1.75","2679450","2679450","1960","1349","1960","1349"
"2026-06-08","0","6263925","6263925","1995","3145","1995","3145"
"2026-06-05","0.25","11015190","11015190","1995","5535","1995","5535"
"2026-06-04","0","2516995","2516995","1990","1265","1990","1265"
"2026-06-03","-0.25","6833780","6833780","1990","3430","1990","3430"
"2026-06-02","0.25","8899080","8899080","1995","4482","1995","4482"
"2026-06-01","2.05","3305225","3305225","1990","1661","1990","1661"
"2026-05-29","2.63","2445220","2445220","1950","1247","1950","1247"
"2026-05-28","0","1010890","1010890","1900","527","1900","527"
"2026-05-26","-4.52","3417690","3417690","1900","1725","1900","1725"
"2026-05-22","2.84","7987855","7987855","1990","4147","1990","4147"
"2026-05-21","1.84","5769185","5769185","1935","3049","1935","3049"
"2026-05-20","-2.06","3490315","3490315","1900","1805","1900","1805"
"2026-05-19","0","9974035","9974035","1940","5138","1940","5138"
"2026-05-18","1.04","2638870","2638870","1940","1369","1940","1369"
"2026-05-15","-3.52","4672610","4672610","1920","2448","1920","2448"
"2026-05-13","5.29","21608240","21608240","1990","11437","1990","11437"
"2026-05-12","2.16","22963125","22963125","1890","12358","1890","12358"
"2026-05-11","6.02","9059745","9059745","1850","5054","1850","5054"
"2026-05-08","0","10293865","10293865","1745","5933","1745","5933"
