"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-0.06","57066735","57066735","16890","3374","16890","3374"
"2026-09-08","-6.11","38175915","38175915","16900","2235","16900","2235"
"2026-09-07","6.51","39978905","39978905","18000","2286","18000","2286"
"2026-09-04","0","84847730","84847730","16900","5096","16900","5096"
"2026-09-03","1.2","27680815","27680815","16900","1642","16900","1642"
"2026-09-02","3.09","14984645","14984645","16700","896","16700","896"
"2026-09-01","-3.28","13019155","13019155","16200","783","16200","783"
"2026-08-31","5.35","23329210","23329210","16750","1395","16750","1395"
"2026-08-28","-5.92","28230065","28230065","15900","1745","15900","1745"
"2026-08-27","0","41451865","41451865","16900","2463","16900","2463"
"2026-08-26","0","14337015","14337015","16900","850","16900","850"
"2026-08-24","-0.59","19236720","19236720","16900","1138","16900","1138"
"2026-08-21","0","6000760","6000760","17000","353","17000","353"
"2026-08-20","0","14274055","14274055","17000","838","17000","838"
"2026-08-19","-2.02","46047195","46047195","17000","2701","17000","2701"
"2026-08-18","-0.29","6222440","6222440","17350","360","17350","360"
"2026-08-17","-0.29","4585355","4585355","17400","263","17400","263"
"2026-08-14","0","4038510","4038510","17450","231","17450","231"
"2026-08-13","0","6809945","6809945","17450","390","17450","390"
"2026-08-12","3.25","7170660","7170660","17450","421","17450","421"
"2026-08-11","1.72","6477900","6477900","16900","384","16900","384"
"2026-08-10","0.12","5873215","5873215","16615","350","16615","350"
"2026-08-06","-0.93","6415130","6415130","16595","384","16595","384"
"2026-08-05","0.3","2435300","2435300","16750","146","16750","146"
"2026-08-04","0.91","15072410","15072410","16700","909","16700","909"
"2026-08-03","0.3","29199105","29199105","16550","1778","16550","1778"
"2026-07-31","-0.03","5881245","5881245","16500","356","16500","356"
"2026-07-30","0","2983500","2983500","16505","180","16505","180"
"2026-07-29","-0.27","7629240","7629240","16505","460","16505","460"
"2026-07-28","0.36","16034125","16034125","16550","979","16550","979"
"2026-07-27","0","8360310","8360310","16490","513","16490","513"
"2026-07-24","-0.03","6510905","6510905","16490","395","16490","395"
"2026-07-23","2.45","6906675","6906675","16495","423","16495","423"
"2026-07-22","0.72","34859215","34859215","16100","2184","16100","2184"
"2026-07-21","0","8849990","8849990","15985","554","15985","554"
"2026-07-20","1.17","3644585","3644585","15985","229","15985","229"
"2026-07-17","-1.25","7839925","7839925","15800","494","15800","494"
"2026-07-16","0.44","12841460","12841460","16000","808","16000","808"
"2026-07-15","-0.44","6135485","6135485","15930","384","15930","384"
"2026-07-14","0","22914710","22914710","16000","1441","16000","1441"
"2026-07-13","-1.54","16709775","16709775","16000","1066","16000","1066"
"2026-07-10","-0.88","3114830","3114830","16250","192","16250","192"
"2026-07-09","-0.33","24266130","24266130","16395","1479","16395","1479"
"2026-07-08","0.43","26601400","26601400","16450","1621","16450","1621"
