"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-0.2","33855850","33855850","24450","1392","24450","1392"
"2026-09-08","-1.55","83934910","83934910","24500","3358","24500","3358"
"2026-09-07","7.49","126604790","126604790","24885","5151","24885","5151"
"2026-09-04","0.65","234658115","234658115","23150","10119","23150","10119"
"2026-09-03","0.2","200035355","200035355","23000","8698","23000","8698"
"2026-09-02","-0.2","187802075","187802075","22955","8174","22955","8174"
"2026-09-01","0.02","74461465","74461465","23000","3241","23000","3241"
"2026-08-31","2.2","191299740","191299740","22995","8332","22995","8332"
"2026-08-28","0","66133895","66133895","22500","2920","22500","2920"
"2026-08-27","-0.88","65678470","65678470","22500","2914","22500","2914"
"2026-08-26","-0.44","82874395","82874395","22700","3656","22700","3656"
"2026-08-24","-0.44","68413615","68413615","22800","2995","22800","2995"
"2026-08-21","0","33050815","33050815","22900","1444","22900","1444"
"2026-08-20","-0.43","108746620","108746620","22900","4741","22900","4741"
"2026-08-19","-0.9","112832020","112832020","23000","4898","23000","4898"
"2026-08-18","0.69","42936280","42936280","23210","1854","23210","1854"
"2026-08-17","0.15","35470430","35470430","23050","1536","23050","1536"
"2026-08-14","0.07","23708740","23708740","23015","1013","23015","1013"
"2026-08-13","-2.5","121090780","121090780","23000","5208","23000","5208"
"2026-08-12","-0.25","72405535","72405535","23590","3077","23590","3077"
"2026-08-11","0","80611520","80611520","23650","3404","23650","3404"
"2026-08-10","0.42","63634320","63634320","23650","2698","23650","2698"
"2026-08-06","-1.26","7288905","7288905","23550","309","23550","309"
"2026-08-05","-0.42","16409830","16409830","23850","688","23850","688"
"2026-08-04","-0.29","15681330","15681330","23950","659","23950","659"
"2026-08-03","0.08","16657090","16657090","24020","688","24020","688"
"2026-07-31","3.43","18282490","18282490","24000","775","24000","775"
"2026-07-30","0.45","32366170","32366170","23205","1395","23205","1395"
"2026-07-29","-1.24","20677730","20677730","23100","890","23100","890"
"2026-07-28","0","9098855","9098855","23390","390","23390","390"
"2026-07-27","-0.04","19688560","19688560","23390","839","23390","839"
"2026-07-24","1.74","46504575","46504575","23400","2022","23400","2022"
"2026-07-23","0.44","35369715","35369715","23000","1512","23000","1512"
"2026-07-22","4.09","27923380","27923380","22900","1225","22900","1225"
"2026-07-21","-2.48","26384165","26384165","22000","1158","22000","1158"
"2026-07-20","-4.61","28133585","28133585","22560","1203","22560","1203"
"2026-07-17","7.5","30246630","30246630","23650","1303","23650","1303"
"2026-07-16","4.76","116715755","116715755","22000","5471","22000","5471"
"2026-07-15","-1.22","36774380","36774380","21000","1750","21000","1750"
"2026-07-14","-3.14","47167980","47167980","21260","2226","21260","2226"
"2026-07-13","1.18","36230645","36230645","21950","1674","21950","1674"
"2026-07-10","-0.02","10564095","10564095","21695","489","21695","489"
"2026-07-09","-1.14","30742775","30742775","21700","1439","21700","1439"
"2026-07-08","7.07","37192960","37192960","21950","1783","21950","1783"
"2026-07-07","0.56","10981415","10981415","20500","539","20500","539"
"2026-07-06","1.93","30757360","30757360","20385","1545","20385","1545"
"2026-07-03","0.05","9644920","9644920","20000","484","20000","484"
"2026-07-02","-0.03","13185775","13185775","19990","660","19990","660"
"2026-07-01","1.76","11463340","11463340","19995","578","19995","578"
"2026-06-30","0","27458535","27458535","19650","1403","19650","1403"
"2026-06-29","-0.51","10216760","10216760","19650","518","19650","518"
"2026-06-26","1.28","18418605","18418605","19750","940","19750","940"
"2026-06-25","0.52","13327800","13327800","19500","686","19500","686"
"2026-06-24","0","22897750","22897750","19400","1180","19400","1180"
"2026-06-23","0.52","18572905","18572905","19400","959","19400","959"
"2026-06-22","0.76","20997810","20997810","19300","1094","19300","1094"
"2026-06-19","0.6","22510335","22510335","19155","1179","19155","1179"
"2026-06-18","0.47","20844690","20844690","19040","1098","19040","1098"
"2026-06-17","-0.66","36569175","36569175","18950","1925","18950","1925"
"2026-06-16","-0.24","33592895","33592895","19075","1760","19075","1760"
"2026-06-15","-0.16","29124090","29124090","19120","1526","19120","1526"
"2026-06-12","-1.79","150239320","150239320","19150","7790","19150","7790"
"2026-06-11","2.63","38864660","38864660","19500","2008","19500","2008"
"2026-06-10","-1.3","47987365","47987365","19000","2514","19000","2514"
"2026-06-09","0","27811125","27811125","19250","1445","19250","1445"
"2026-06-08","0.52","23392740","23392740","19250","1219","19250","1219"
"2026-06-05","0.82","140625570","140625570","19150","7227","19150","7227"
"2026-06-04","1.88","30471915","30471915","18995","1613","18995","1613"
"2026-06-03","3.64","32128365","32128365","18645","1754","18645","1754"
"2026-06-02","-0.06","41290855","41290855","17990","2297","17990","2297"
"2026-06-01","0","41571140","41571140","18000","2310","18000","2310"
"2026-05-29","0.11","36981290","36981290","18000","2056","18000","2056"
"2026-05-28","-0.11","25138120","25138120","17980","1397","17980","1397"
"2026-05-26","0","30535945","30535945","18000","1697","18000","1697"
"2026-05-22","-5.09","54572940","54572940","18000","2934","18000","2934"
"2026-05-21","5.95","60324465","60324465","18965","3238","18965","3238"
"2026-05-20","7.19","62873020","62873020","17900","3567","17900","3567"
"2026-05-19","6.71","40467490","40467490","16700","2469","16700","2469"
"2026-05-18","4.33","74576125","74576125","15650","4875","15650","4875"
"2026-05-15","6.38","69360720","69360720","15000","4679","15000","4679"
"2026-05-13","2.1","35587090","35587090","14100","2554","14100","2554"
"2026-05-12","-0.29","27128620","27128620","13810","1964","13810","1964"
"2026-05-11","-1.14","47766600","47766600","13850","3440","13850","3440"
"2026-05-08","0.07","18555810","18555810","14010","1323","14010","1323"
"2026-05-07","-0.07","31033780","31033780","14000","2216","14000","2216"
"2026-05-06","0.07","27967825","27967825","14010","1993","14010","1993"
"2026-05-05","-6.29","43618385","43618385","14000","2991","14000","2991"
"2026-05-04","7.48","57005230","57005230","14940","3817","14940","3817"
"2026-04-30","0","3758820","3758820","13900","271","13900","271"
"2026-04-29","-0.68","9280935","9280935","13900","665","13900","665"
"2026-04-28","0.76","15904880","15904880","13995","1139","13995","1139"
"2026-04-27","-0.07","79346870","79346870","13890","6123","13890","6123"
"2026-04-24","0","11906235","11906235","13900","856","13900","856"
"2026-04-23","0","10457380","10457380","13900","760","13900","760"
"2026-04-22","-1.45","202876825","202876825","13900","15479","13900","15479"
"2026-04-21","0.04","7226120","7226120","14105","512","14105","512"
"2026-04-20","0.36","7948640","7948640","14100","564","14100","564"
"2026-04-17","-1.02","17358055","17358055","14050","1231","14050","1231"
"2026-04-16","0.18","6536880","6536880","14195","461","14195","461"
"2026-04-15","0.5","9364070","9364070","14170","665","14170","665"
"2026-04-14","-0.53","19386195","19386195","14100","1372","14100","1372"
"2026-04-13","-0.18","11574040","11574040","14175","816","14175","816"
"2026-04-10","-0.32","2631165","2631165","14200","185","14200","185"
"2026-04-09","0.32","12867595","12867595","14245","905","14245","905"
"2026-04-08","-0.66","5224765","5224765","14200","366","14200","366"
"2026-04-07","0.81","9062125","9062125","14295","638","14295","638"
"2026-04-03","0.18","2143920","2143920","14180","151","14180","151"
"2026-04-02","0.39","7779190","7779190","14155","549","14155","549"
"2026-04-01","0","17637110","17637110","14100","1258","14100","1258"
"2026-03-31","0.04","63147140","63147140","14100","4403","14100","4403"
"2026-03-30","-0.35","41827145","41827145","14095","2982","14095","2982"
"2026-03-27","0.35","13751800","13751800","14145","976","14145","976"
"2026-03-26","0.68","8743420","8743420","14095","626","14095","626"
"2026-03-25","0","45541960","45541960","14000","3266","14000","3266"
"2026-03-24","0","12747555","12747555","14000","911","14000","911"
"2026-03-23","-1.06","28249665","28249665","14000","2010","14000","2010"
"2026-03-19","1.07","9336425","9336425","14150","661","14150","661"
"2026-03-18","-1.41","10477605","10477605","14000","741","14000","741"
"2026-03-17","0","36667710","36667710","14200","2615","14200","2615"
"2026-03-13","2.16","25485435","25485435","14200","1829","14200","1829"
"2026-03-12","0","130809685","130809685","13900","9413","13900","9413"
"2026-03-11","-0.71","37379015","37379015","13900","2699","13900","2699"
"2026-03-10","0","67719095","67719095","14000","4843","14000","4843"
"2026-03-09","0.72","19767290","19767290","14000","1414","14000","1414"
"2026-03-06","-2.73","74871400","74871400","13900","5278","13900","5278"
"2026-03-05","-0.76","26705855","26705855","14290","1887","14290","1887"
"2026-03-04","-3.29","28785085","28785085","14400","1975","14400","1975"
"2026-03-03","1.05","42813005","42813005","14890","2887","14890","2887"
"2026-03-02","0.24","16356700","16356700","14735","1106","14735","1106"
"2026-02-27","-0.68","15807940","15807940","14700","1074","14700","1074"
"2026-02-26","0.68","11197505","11197505","14800","759","14800","759"
"2026-02-25","-0.64","21521090","21521090","14700","1462","14700","1462"
"2026-02-24","0","13128070","13128070","14795","890","14795","890"
"2026-02-23","5.68","31511235","31511235","14795","2178","14795","2178"
"2026-02-20","0.14","79293235","79293235","14000","5666","14000","5666"
"2026-02-19","-0.07","18285115","18285115","13980","1310","13980","1310"
"2026-02-18","0.07","7563750","7563750","13990","544","13990","544"
"2026-02-17","0","21590810","21590810","13980","1548","13980","1548"
"2026-02-16","0","14337615","14337615","13980","1055","13980","1055"
"2026-02-13","0.22","14011575","14011575","13980","1004","13980","1004"
"2026-02-12","1.12","14568875","14568875","13950","1045","13950","1045"
"2026-02-11","6.16","71712825","71712825","13795","5354","13795","5354"
"2026-02-10","-1.48","47876010","47876010","12995","3669","12995","3669"
"2026-02-09","2.57","21971785","21971785","13190","1691","13190","1691"
"2026-02-06","0.08","3655285","3655285","12860","284","12860","284"
"2026-02-05","0.43","13009680","13009680","12850","1015","12850","1015"
"2026-02-04","2.07","16579020","16579020","12795","1306","12795","1306"
"2026-02-03","0.32","16714735","16714735","12535","1337","12535","1337"
"2026-02-02","0.81","13622485","13622485","12495","1096","12495","1096"
"2026-01-30","1.6","4160740","4160740","12395","336","12395","336"
"2026-01-29","0.87","19654415","19654415","12200","1611","12200","1611"
"2026-01-28","0","10100615","10100615","12095","833","12095","833"
"2026-01-27","-0.04","9433020","9433020","12095","781","12095","781"
"2026-01-26","-0.12","8890945","8890945","12100","737","12100","737"
"2026-01-23","0.96","4090790","4090790","12115","337","12115","337"
"2026-01-22","0.21","20126845","20126845","12000","1677","12000","1677"
"2026-01-21","0.55","7025235","7025235","11975","587","11975","587"
"2026-01-20","-0.58","7627855","7627855","11910","650","11910","650"
"2026-01-19","5.04","21242610","21242610","11980","1854","11980","1854"
"2026-01-16","2.24","12533845","12533845","11405","1095","11405","1095"
"2026-01-15","-2.53","26934295","26934295","11155","2376","11155","2376"
"2026-01-14","0","8367025","8367025","11445","733","11445","733"
"2026-01-13","-0.04","22935685","22935685","11445","2022","11445","2022"
"2026-01-12","1.78","7060090","7060090","11450","617","11450","617"
"2026-01-09","0.45","10070440","10070440","11250","902","11250","902"
"2026-01-08","-0.88","14283420","14283420","11200","1271","11200","1271"
"2026-01-07","-0.88","12321565","12321565","11300","1091","11300","1091"
"2026-01-06","0","6525540","6525540","11400","576","11400","576"
"2026-01-05","-0.26","22851550","22851550","11400","2029","11400","2029"
"2026-01-02","-0.13","7121425","7121425","11430","642","11430","642"
"2025-12-31","0.84","33756245","33756245","11445","2978","11445","2978"
"2025-12-30","0","34101170","34101170","11350","3070","11350","3070"
"2025-12-29","-0.87","8953700","8953700","11350","785","11350","785"
"2025-12-26","4.09","22319465","22319465","11450","1970","11450","1970"
"2025-12-24","-3.51","21909300","21909300","11000","1985","11000","1985"
"2025-12-23","0","12768320","12768320","11400","1121","11400","1121"
"2025-12-22","-0.87","8652330","8652330","11400","757","11400","757"
"2025-12-19","0","10060710","10060710","11500","891","11500","891"
"2025-12-18","-3.48","21603300","21603300","11500","1850","11500","1850"
"2025-12-17","-0.17","9763730","9763730","11915","841","11915","841"
"2025-12-16","-0.04","8260430","8260430","11935","692","11935","692"
"2025-12-15","-0.33","6552125","6552125","11940","564","11940","564"
"2025-12-12","-0.08","8010775","8010775","11980","689","11980","689"
"2025-12-11","0.76","10695095","10695095","11990","901","11990","901"
"2025-12-10","-0.67","5134500","5134500","11900","440","11900","440"
"2025-12-09","0.67","8180280","8180280","11980","702","11980","702"
"2025-12-08","-0.71","3018275","3018275","11900","257","11900","257"
"2025-12-05","0","13025935","13025935","11985","1094","11985","1094"
"2025-12-04","-0.04","11698635","11698635","11985","989","11985","989"
"2025-12-03","0.76","11716980","11716980","11990","1012","11990","1012"
"2025-12-02","-0.75","7515265","7515265","11900","640","11900","640"
"2025-12-01","0","4814635","4814635","11990","406","11990","406"
"2025-11-28","0","10384350","10384350","11990","874","11990","874"
"2025-11-27","-0.04","20775645","20775645","11990","1738","11990","1738"
"2025-11-26","-0.04","7583945","7583945","11995","633","11995","633"
"2025-11-25","0.38","27809760","27809760","12000","2379","12000","2379"
"2025-11-24","-0.29","3126450","3126450","11955","261","11955","261"
"2025-11-21","-0.08","38206740","38206740","11990","3226","11990","3226"
"2025-11-20","0.88","11102165","11102165","12000","931","12000","931"
"2025-11-19","0.76","11723850","11723850","11895","988","11895","988"
"2025-11-18","-0.8","28803925","28803925","11805","2478","11805","2478"
"2025-11-17","0.68","8875340","8875340","11900","749","11900","749"
"2025-11-14","-0.25","39998540","39998540","11820","3465","11820","3465"
"2025-11-13","0.25","60114005","60114005","11850","5072","11850","5072"
"2025-11-12","0.17","40136700","40136700","11820","3479","11820","3479"
"2025-11-11","0","10665120","10665120","11800","918","11800","918"
"2025-11-10","0","25171240","25171240","11800","2159","11800","2159"
"2025-11-07","-1.63","7679160","7679160","11800","643","11800","643"
"2025-11-06","5.31","12161115","12161115","11995","1056","11995","1056"
"2025-11-05","-0.87","6727890","6727890","11390","592","11390","592"
"2025-11-04","1.68","35395820","35395820","11490","3164","11490","3164"
"2025-11-03","-5.83","21645055","21645055","11300","1907","11300","1907"
"2025-10-31","0.42","21264570","21264570","12000","1764","12000","1764"
"2025-10-30","-0.42","67977575","67977575","11950","5662","11950","5662"
"2025-10-29","1.69","40043115","40043115","12000","3371","12000","3371"
"2025-10-28","2.7","66115030","66115030","11800","5625","11800","5625"
"2025-10-27","2.64","65376685","65376685","11490","5827","11490","5827"
"2025-10-24","0.86","2606965","2606965","11195","233","11195","233"
"2025-10-23","0","6566950","6566950","11100","596","11100","596"
