"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-2.8","22698600","22698600","3300","6811","3300","6811"
"2026-09-08","-0.15","23965705","23965705","3395","7057","3395","7057"
"2026-09-07","1.95","17177625","17177625","3400","5075","3400","5075"
"2026-09-04","4.22","12314035","12314035","3335","3792","3335","3792"
"2026-09-03","0.47","11272945","11272945","3200","3532","3200","3532"
"2026-09-02","0","8481160","8481160","3185","2655","3185","2655"
"2026-09-01","0.63","17951475","17951475","3185","5633","3185","5633"
"2026-08-31","0.32","20866180","20866180","3165","6598","3165","6598"
"2026-08-28","-0.79","9890445","9890445","3155","3126","3155","3126"
"2026-08-27","-0.47","12898820","12898820","3180","4053","3180","4053"
"2026-08-26","0.16","11940205","11940205","3195","3771","3195","3771"
"2026-08-24","2.08","25451025","25451025","3190","8031","3190","8031"
"2026-08-21","-1.73","5422450","5422450","3125","1710","3125","1710"
"2026-08-20","2.91","11469915","11469915","3180","3679","3180","3679"
"2026-08-19","1.81","11166330","11166330","3090","3675","3090","3675"
"2026-08-18","-0.82","10073790","10073790","3035","3317","3035","3317"
"2026-08-17","0","15227660","15227660","3060","4950","3060","4950"
"2026-08-14","-0.16","3022325","3022325","3060","985","3060","985"
"2026-08-13","-1.45","8102445","8102445","3065","2611","3065","2611"
"2026-08-12","0","7149070","7149070","3110","2299","3110","2299"
"2026-08-11","0","6743730","6743730","3110","2157","3110","2157"
"2026-08-10","-0.48","14261465","14261465","3110","4561","3110","4561"
"2026-08-06","-0.48","3870660","3870660","3125","1235","3125","1235"
"2026-08-05","-0.32","11658465","11658465","3140","3696","3140","3696"
"2026-08-04","0.64","19159855","19159855","3150","6080","3150","6080"
"2026-08-03","-0.32","17408035","17408035","3130","5561","3130","5561"
"2026-07-31","4.67","19704635","19704635","3140","6342","3140","6342"
"2026-07-30","1.52","38288315","38288315","3000","12659","3000","12659"
"2026-07-29","7.45","24400350","24400350","2955","8261","2955","8261"
"2026-07-28","1.1","11627130","11627130","2750","4255","2750","4255"
"2026-07-27","0.74","16009210","16009210","2720","5909","2720","5909"
"2026-07-24","0.75","18328800","18328800","2700","6800","2700","6800"
"2026-07-23","0","6000370","6000370","2680","2237","2680","2237"
"2026-07-22","-1.47","5255975","5255975","2680","1942","2680","1942"
