"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","3.01","353753360","353753360","21900","16779","21900","16779"
"2026-09-08","-2.48","42698245","42698245","21260","1938","21260","1938"
"2026-09-07","3.76","60556930","60556930","21800","2842","21800","2842"
"2026-09-04","-0.69","106818475","106818475","21010","5070","21010","5070"
"2026-09-03","0.69","24868405","24868405","21155","1177","21155","1177"
"2026-09-02","-2.28","62641570","62641570","21010","2923","21010","2923"
"2026-09-01","2.36","126042820","126042820","21500","5847","21500","5847"
"2026-08-31","-1.85","59130540","59130540","21005","2792","21005","2792"
"2026-08-28","0.94","23223710","23223710","21400","1092","21400","1092"
"2026-08-27","1.95","114169970","114169970","21200","5436","21200","5436"
"2026-08-26","-1.91","40066970","40066970","20795","1907","20795","1907"
"2026-08-24","0.88","174452115","174452115","21200","8271","21200","8271"
"2026-08-21","4.01","31918380","31918380","21015","1539","21015","1539"
"2026-08-20","3.56","61879275","61879275","20205","3097","20205","3097"
"2026-08-19","2.68","90449715","90449715","19510","4709","19510","4709"
"2026-08-18","2.43","34757745","34757745","19000","1836","19000","1836"
"2026-08-17","3.06","71420790","71420790","18550","3927","18550","3927"
"2026-08-14","0","4697930","4697930","18000","261","18000","261"
"2026-08-13","4.32","15711900","15711900","18000","892","18000","892"
"2026-08-12","1.2","33873520","33873520","17255","1973","17255","1973"
"2026-08-11","0.29","30395895","30395895","17050","1784","17050","1784"
"2026-08-10","-1.02","28053275","28053275","17000","1635","17000","1635"
"2026-08-06","0","13195590","13195590","17175","773","17175","773"
"2026-08-05","1.03","22290920","22290920","17175","1307","17175","1307"
"2026-08-04","0","26599360","26599360","17000","1581","17000","1581"
"2026-08-03","0.03","19977320","19977320","17000","1175","17000","1175"
"2026-07-31","1.4","30126445","30126445","16995","1793","16995","1793"
"2026-07-30","0.06","15571660","15571660","16760","926","16760","926"
"2026-07-29","0.15","24822380","24822380","16750","1482","16750","1482"
"2026-07-28","0","26944970","26944970","16725","1615","16725","1615"
"2026-07-27","0","10285750","10285750","16725","616","16725","616"
"2026-07-24","2.61","11715760","11715760","16725","707","16725","707"
"2026-07-23","1.84","23386075","23386075","16300","1449","16300","1449"
"2026-07-22","0.03","23448265","23448265","16005","1456","16005","1456"
"2026-07-21","-0.93","38541530","38541530","16000","2423","16000","2423"
"2026-07-20","-0.06","6831520","6831520","16150","423","16150","423"
"2026-07-17","-0.03","17769300","17769300","16160","1103","16160","1103"
"2026-07-16","2.31","24233150","24233150","16165","1506","16165","1506"
"2026-07-15","-2.23","23480910","23480910","15800","1465","15800","1465"
"2026-07-14","1","787255145","787255145","16160","51700","16160","51700"
"2026-07-13","-3","14336165","14336165","16000","887","16000","887"
"2026-07-10","3.09","39066830","39066830","16495","2446","16495","2446"
"2026-07-09","-2.44","51583395","51583395","16000","3212","16000","3212"
"2026-07-08","2.5","92221515","92221515","16400","5645","16400","5645"
"2026-07-07","-1.84","107984890","107984890","16000","6704","16000","6704"
"2026-07-06","-3.55","117175550","117175550","16300","6971","16300","6971"
"2026-07-03","0.9","10904800","10904800","16900","649","16900","649"
"2026-07-02","0.3","6716190","6716190","16750","401","16750","401"
"2026-07-01","-0.3","153082875","153082875","16700","9546","16700","9546"
"2026-06-30","0.3","50160625","50160625","16750","3014","16750","3014"
"2026-06-29","0","5946600","5946600","16700","360","16700","360"
"2026-06-26","0.03","23232820","23232820","16700","1424","16700","1424"
"2026-06-25","3.41","21723325","21723325","16695","1309","16695","1309"
"2026-06-24","-3.29","21556900","21556900","16145","1330","16145","1330"
"2026-06-23","-0.03","14081385","14081385","16695","844","16695","844"
"2026-06-22","0.03","46654100","46654100","16700","2794","16700","2794"
"2026-06-19","5","34349315","34349315","16695","2105","16695","2105"
"2026-06-18","0.6","10758800","10758800","15900","679","15900","679"
"2026-06-17","-0.28","17115810","17115810","15805","1081","15805","1081"
"2026-06-16","0.32","52502315","52502315","15850","3321","15850","3321"
"2026-06-15","0.96","11133410","11133410","15800","707","15800","707"
"2026-06-12","0.61","29438775","29438775","15650","1897","15650","1897"
"2026-06-11","-2.17","26041450","26041450","15555","1661","15555","1661"
"2026-06-10","-0.31","46938230","46938230","15900","3048","15900","3048"
"2026-06-09","-0.31","15385360","15385360","15950","967","15950","967"
"2026-06-08","-3.64","45461590","45461590","16000","2807","16000","2807"
"2026-06-05","-2.18","23662310","23662310","16605","1408","16605","1408"
"2026-06-04","4.78","27858395","27858395","16975","1662","16975","1662"
"2026-06-03","3.15","39381615","39381615","16200","2455","16200","2455"
"2026-06-02","-1.84","35601265","35601265","15705","2233","15705","2233"
"2026-06-01","0","82306340","82306340","16000","5151","16000","5151"
"2026-05-29","0","83860920","83860920","16000","5331","16000","5331"
"2026-05-28","1.91","33081740","33081740","16000","2085","16000","2085"
"2026-05-26","0.96","5493580","5493580","15700","348","15700","348"
"2026-05-22","-0.64","84803270","84803270","15550","5614","15550","5614"
"2026-05-21","0.94","53702535","53702535","15650","3511","15650","3511"
"2026-05-20","-0.93","45176345","45176345","15505","2842","15505","2842"
"2026-05-19","0.32","47942415","47942415","15650","3056","15650","3056"
"2026-05-18","2.97","54401350","54401350","15600","3521","15600","3521"
"2026-05-15","1","9349870","9349870","15150","618","15150","618"
"2026-05-13","-0.33","20069970","20069970","15000","1336","15000","1336"
"2026-05-12","-0.33","7436600","7436600","15050","492","15050","492"
"2026-05-11","1.21","13488570","13488570","15100","899","15100","899"
"2026-05-08","0.13","5245480","5245480","14920","350","14920","350"
"2026-05-07","-1.97","3919950","3919950","14900","260","14900","260"
"2026-05-06","1.33","33757655","33757655","15200","2240","15200","2240"
"2026-05-05","0","6547735","6547735","15000","431","15000","431"
"2026-05-04","-1.32","18176240","18176240","15000","1192","15000","1192"
"2026-04-30","3.68","1272060","1272060","15200","85","15200","85"
"2026-04-29","-3.87","13904305","13904305","14660","928","14660","928"
"2026-04-28","4.1","11335575","11335575","15250","753","15250","753"
"2026-04-27","-1.68","21580580","21580580","14650","1458","14650","1458"
"2026-04-24","0","2342940","2342940","14900","157","14900","157"
"2026-04-23","-0.67","16377030","16377030","14900","1095","14900","1095"
"2026-04-22","0.64","15125525","15125525","15000","1010","15000","1010"
"2026-04-21","0.03","9639635","9639635","14905","644","14905","644"
"2026-04-20","1.36","2475025","2475025","14900","165","14900","165"
"2026-04-17","-2","29399920","29399920","14700","1951","14700","1951"
"2026-04-16","-1.09","25571600","25571600","15000","1688","15000","1688"
"2026-04-15","-0.03","16109360","16109360","15165","1062","15165","1062"
"2026-04-14","2.57","3310695","3310695","15170","219","15170","219"
"2026-04-13","-1.43","35371450","35371450","14790","2356","14790","2356"
"2026-04-10","-0.63","4519090","4519090","15005","299","15005","299"
"2026-04-09","0.67","8016650","8016650","15100","531","15100","531"
"2026-04-08","-1.32","9293230","9293230","15000","614","15000","614"
"2026-04-07","1.33","17449030","17449030","15200","1154","15200","1154"
"2026-04-03","-1.32","15605190","15605190","15000","1045","15000","1045"
"2026-04-02","0","14361975","14361975","15200","946","15200","946"
"2026-04-01","0","10751050","10751050","15200","708","15200","708"
"2026-03-31","3.75","7450100","7450100","15200","499","15200","499"
"2026-03-30","-4.25","9927650","9927650","14650","666","14650","666"
"2026-03-27","4.4","43459265","43459265","15300","2926","15300","2926"
"2026-03-26","1.07","6623855","6623855","14655","441","14655","441"
"2026-03-25","-0.68","17611480","17611480","14500","1208","14500","1208"
"2026-03-24","2.82","16485745","16485745","14600","1115","14600","1115"
"2026-03-23","-2.41","118230935","118230935","14200","8259","14200","8259"
"2026-03-19","-3.32","30298145","30298145","14550","2032","14550","2032"
"2026-03-18","0","7518185","7518185","15050","500","15050","500"
"2026-03-17","0.33","9673750","9673750","15050","642","15050","642"
