"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-0.59","35088970","35088970","8450","4181","8450","4181"
"2026-09-08","-3.19","34337655","34337655","8500","3935","8500","3935"
"2026-09-07","-2.44","39882710","39882710","8780","4525","8780","4525"
"2026-09-04","-2.17","76372945","76372945","9000","8553","9000","8553"
"2026-09-03","2.05","19501645","19501645","9200","2153","9200","2153"
"2026-09-02","-2.65","23327060","23327060","9015","2573","9015","2573"
"2026-09-01","-1.44","6210495","6210495","9260","661","9260","661"
"2026-08-31","-0.05","11084750","11084750","9395","1202","9395","1202"
"2026-08-28","3.3","15467410","15467410","9400","1702","9400","1702"
"2026-08-27","-1.52","10789425","10789425","9100","1191","9100","1191"
"2026-08-26","-2.74","34117940","34117940","9240","3715","9240","3715"
"2026-08-24","-1.35","33960750","33960750","9500","3567","9500","3567"
"2026-08-21","-0.1","10593355","10593355","9630","1107","9630","1107"
"2026-08-20","0.42","16819335","16819335","9640","1763","9640","1763"
"2026-08-19","2.13","24201715","24201715","9600","2555","9600","2555"
"2026-08-18","1.08","52693820","52693820","9400","5612","9400","5612"
"2026-08-17","2.03","28541670","28541670","9300","3097","9300","3097"
"2026-08-14","1.28","57173490","57173490","9115","6294","9115","6294"
"2026-08-13","-1.1","20590115","20590115","9000","2291","9000","2291"
"2026-08-12","1.34","34353420","34353420","9100","3846","9100","3846"
"2026-08-11","-1.32","11715435","11715435","8980","1300","8980","1300"
"2026-08-10","1.34","25273880","25273880","9100","2807","9100","2807"
"2026-08-06","0","7510695","7510695","8980","836","8980","836"
"2026-08-05","0","7539370","7539370","8980","840","8980","840"
"2026-08-04","-0.11","5265230","5265230","8980","586","8980","586"
"2026-08-03","-0.11","7478820","7478820","8990","831","8990","831"
"2026-07-31","4.65","23058930","23058930","9000","2606","9000","2606"
"2026-07-30","-4.66","22254490","22254490","8600","2532","8600","2532"
"2026-07-29","2.5","24858420","24858420","9020","2770","9020","2770"
"2026-07-28","1.62","17898465","17898465","8800","2041","8800","2041"
"2026-07-27","-0.46","13659520","13659520","8660","1571","8660","1571"
"2026-07-24","-1.69","21451205","21451205","8700","2431","8700","2431"
"2026-07-23","0.57","16372390","16372390","8850","1847","8850","1847"
"2026-07-22","0.57","53103225","53103225","8800","5986","8800","5986"
"2026-07-21","0.81","27190560","27190560","8750","3138","8750","3138"
"2026-07-20","-0.12","16515025","16515025","8680","1914","8680","1914"
"2026-07-17","0.29","5055265","5055265","8690","587","8690","587"
"2026-07-16","-0.4","18288185","18288185","8665","2120","8665","2120"
"2026-07-15","2.35","87726100","87726100","8700","10056","8700","10056"
"2026-07-14","-3.08","38696650","38696650","8500","4520","8500","4520"
"2026-07-13","-0.57","18016075","18016075","8770","2050","8770","2050"
"2026-07-10","0.23","150809780","150809780","8820","16881","8820","16881"
"2026-07-09","-0.45","25510435","25510435","8800","2951","8800","2951"
"2026-07-08","0","49335880","49335880","8840","5673","8840","5673"
"2026-07-07","-0.11","36571335","36571335","8840","4227","8840","4227"
"2026-07-06","0.17","34316020","34316020","8850","3942","8850","3942"
"2026-07-03","1.96","66396395","66396395","8835","7689","8835","7689"
"2026-07-02","-0.74","19291375","19291375","8665","2240","8665","2240"
"2026-07-01","0.34","68947865","68947865","8730","7989","8730","7989"
"2026-06-30","0","85421870","85421870","8700","9896","8700","9896"
"2026-06-29","-1.14","124483240","124483240","8700","14296","8700","14296"
"2026-06-26","0.69","5601010","5601010","8800","635","8800","635"
"2026-06-25","0","16690250","16690250","8740","1911","8740","1911"
"2026-06-24","0","42613885","42613885","8740","4895","8740","4895"
"2026-06-23","0.06","12132495","12132495","8740","1388","8740","1388"
"2026-06-22","0.63","16518875","16518875","8735","1900","8735","1900"
"2026-06-19","0.35","5518115","5518115","8680","636","8680","636"
"2026-06-18","0.29","7174030","7174030","8650","825","8650","825"
"2026-06-17","-1.71","9111855","9111855","8625","1051","8625","1051"
"2026-06-16","0","35821175","35821175","8775","4303","8775","4303"
"2026-06-15","-0.06","21169865","21169865","8775","2427","8775","2427"
"2026-06-12","1.09","33757710","33757710","8780","3880","8780","3880"
"2026-06-11","-0.06","20801640","20801640","8685","2406","8685","2406"
"2026-06-10","0.06","35015165","35015165","8690","4038","8690","4038"
"2026-06-09","2.24","58783775","58783775","8685","6964","8685","6964"
"2026-06-08","2.91","7484795","7484795","8495","890","8495","890"
"2026-06-05","7.49","398782415","398782415","8255","52326","8255","52326"
"2026-06-04","-7.47","58439660","58439660","7680","7327","7680","7327"
"2026-06-03","3.75","22507390","22507390","8300","2807","8300","2807"
"2026-06-02","0.31","126575810","126575810","8000","15731","8000","15731"
"2026-06-01","0","6649050","6649050","7975","833","7975","833"
"2026-05-29","-0.25","6121755","6121755","7975","776","7975","776"
"2026-05-28","2.5","20908695","20908695","7995","2720","7995","2720"
"2026-05-26","1.56","16318630","16318630","7800","2077","7800","2077"
"2026-05-22","-0.26","3256320","3256320","7680","423","7680","423"
"2026-05-21","0.13","12947380","12947380","7700","1690","7700","1690"
"2026-05-20","0","11678325","11678325","7690","1527","7690","1527"
"2026-05-19","-0.13","7333875","7333875","7690","953","7690","953"
"2026-05-18","0","12529740","12529740","7700","1652","7700","1652"
"2026-05-15","-1.28","15094475","15094475","7700","1940","7700","1940"
"2026-05-13","-0.64","5952945","5952945","7800","765","7800","765"
"2026-05-12","0.64","12644770","12644770","7850","1639","7850","1639"
"2026-05-11","0","28206525","28206525","7800","3623","7800","3623"
