"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-7.42","127152650","127152650","5180","24352","5180","24352"
"2026-09-08","-7.29","195382325","195382325","5595","33787","5595","33787"
"2026-09-07","-0.58","65443900","65443900","6035","10704","6035","10704"
"2026-09-04","4.66","239498805","239498805","6070","42420","6070","42420"
"2026-09-03","-3.41","96842440","96842440","5800","16622","5800","16622"
"2026-09-02","-3.15","58376680","58376680","6005","9933","6005","9933"
"2026-09-01","5.08","89341085","89341085","6200","15094","6200","15094"
"2026-08-31","0.6","17975930","17975930","5900","3067","5900","3067"
"2026-08-28","0.26","12494300","12494300","5865","2130","5865","2130"
"2026-08-27","-0.85","13522920","13522920","5850","2316","5850","2316"
"2026-08-26","1.72","27697415","27697415","5900","4765","5900","4765"
"2026-08-24","1.75","15014180","15014180","5800","2616","5800","2616"
"2026-08-21","0","22700670","22700670","5700","3985","5700","3985"
"2026-08-20","0","7968450","7968450","5700","1402","5700","1402"
"2026-08-19","1.6","15084105","15084105","5700","2641","5700","2641"
"2026-08-18","-2.09","23583200","23583200","5610","4195","5610","4195"
"2026-08-17","-1.88","24089835","24089835","5730","4161","5730","4161"
"2026-08-14","5.13","47655765","47655765","5840","8093","5840","8093"
"2026-08-13","7.45","64563450","64563450","5555","12062","5555","12062"
"2026-08-12","7.48","27406485","27406485","5170","5357","5170","5357"
"2026-08-11","-3.61","52593175","52593175","4810","10772","4810","10772"
"2026-08-10","-4.95","43262925","43262925","4990","8541","4990","8541"
"2026-08-06","5","18927890","18927890","5250","3742","5250","3742"
"2026-08-05","-1.96","24344655","24344655","5000","4879","5000","4879"
"2026-08-04","2","45095170","45095170","5100","8981","5100","8981"
"2026-08-03","-2.53","94460915","94460915","5000","18854","5000","18854"
"2026-07-31","-1.44","16178845","16178845","5130","3153","5130","3153"
"2026-07-30","-2.8","99055495","99055495","5205","19464","5205","19464"
"2026-07-29","7.42","65788995","65788995","5355","12625","5355","12625"
"2026-07-28","5.17","37930440","37930440","4985","7800","4985","7800"
"2026-07-27","-0.21","28532800","28532800","4740","6120","4740","6120"
"2026-07-24","4.4","11759965","11759965","4750","2518","4750","2518"
"2026-07-23","-0.66","12270025","12270025","4550","2692","4550","2692"
"2026-07-22","4.45","15019155","15019155","4580","3384","4580","3384"
"2026-07-21","4.4","12090540","12090540","4385","2822","4385","2822"
"2026-07-20","-2.21","5629310","5629310","4200","1322","4200","1322"
"2026-07-17","-2.39","5610950","5610950","4295","1293","4295","1293"
"2026-07-16","-3.08","31194465","31194465","4400","7080","4400","7080"
"2026-07-15","3.18","22098535","22098535","4540","4887","4540","4887"
"2026-07-14","-1.79","16551280","16551280","4400","3759","4400","3759"
"2026-07-13","4.92","17424945","17424945","4480","3946","4480","3946"
"2026-07-10","3.52","14012680","14012680","4270","3385","4270","3385"
"2026-07-09","-3.4","45087320","45087320","4125","11264","4125","11264"
"2026-07-08","-5.11","30413505","30413505","4270","7032","4270","7032"
"2026-07-07","-1.75","13136640","13136640","4500","2900","4500","2900"
"2026-07-06","0","7967715","7967715","4580","1731","4580","1731"
"2026-07-03","-1.51","10405130","10405130","4580","2269","4580","2269"
"2026-07-02","1.09","9726915","9726915","4650","2126","4650","2126"
"2026-07-01","-2.13","14574020","14574020","4600","3118","4600","3118"
"2026-06-30","0.21","16169325","16169325","4700","3428","4700","3428"
"2026-06-29","3.99","27698550","27698550","4690","5906","4690","5906"
"2026-06-26","0.67","11872910","11872910","4510","2637","4510","2637"
"2026-06-25","-4.68","33539820","33539820","4480","7452","4480","7452"
"2026-06-24","-2.19","39223025","39223025","4700","8183","4700","8183"
"2026-06-23","6.78","28564715","28564715","4805","6060","4805","6060"
"2026-06-22","2.27","32788490","32788490","4500","7311","4500","7311"
"2026-06-19","7.45","170104130","170104130","4400","42847","4400","42847"
"2026-06-18","3.93","7409240","7409240","4095","1837","4095","1837"
"2026-06-17","-0.13","23436480","23436480","3940","5964","3940","5964"
"2026-06-16","6.62","19170090","19170090","3945","4922","3945","4922"
"2026-06-15","0","43277840","43277840","3700","11696","3700","11696"
"2026-06-12","0","141171485","141171485","3700","37997","3700","37997"
"2026-06-11","0","81567745","81567745","3700","22045","3700","22045"
"2026-06-10","0","89654385","89654385","3700","24069","3700","24069"
"2026-06-09","-0.27","15544540","15544540","3700","4253","3700","4253"
"2026-06-08","0.27","20051875","20051875","3710","5422","3710","5422"
"2026-06-05","-2.63","65360925","65360925","3700","17656","3700","17656"
"2026-06-04","-2.31","33752860","33752860","3800","8802","3800","8802"
"2026-06-03","0.78","53718710","53718710","3890","13782","3890","13782"
"2026-06-02","7.37","28874260","28874260","3860","8007","3860","8007"
"2026-06-01","0","13574460","13574460","3595","3732","3595","3732"
"2026-05-29","-0.14","6816545","6816545","3595","1895","3595","1895"
"2026-05-28","0","5465525","5465525","3600","1527","3600","1527"
"2026-05-26","-2.7","7265670","7265670","3600","1988","3600","1988"
"2026-05-22","-2.37","19312415","19312415","3700","5455","3700","5455"
"2026-05-21","-0.26","9116425","9116425","3790","2415","3790","2415"
"2026-05-20","-4.76","5308325","5308325","3800","1357","3800","1357"
"2026-05-19","-0.25","4308235","4308235","3990","1077","3990","1077"
"2026-05-18","0.25","20123615","20123615","4000","5043","4000","5043"
"2026-05-15","-0.13","93240675","93240675","3990","23344","3990","23344"
"2026-05-13","6.68","145733555","145733555","3995","36914","3995","36914"
"2026-05-12","7.46","126830280","126830280","3745","33876","3745","33876"
"2026-05-11","-0.43","11037435","11037435","3485","3178","3485","3178"
"2026-05-08","0","27724320","27724320","3500","7960","3500","7960"
"2026-05-07","0","3942600","3942600","3500","1127","3500","1127"
"2026-05-06","0","19893015","19893015","3500","5796","3500","5796"
"2026-05-05","4.79","58927940","58927940","3500","17411","3500","17411"
"2026-05-04","-7.48","19421000","19421000","3340","5644","3340","5644"
"2026-04-30","-7.44","14274830","14274830","3610","3947","3610","3947"
"2026-04-29","-6.47","10378270","10378270","3900","2571","3900","2571"
"2026-04-28","0","24037900","24037900","4170","5765","4170","5765"
"2026-04-27","-0.12","18764050","18764050","4170","4496","4170","4496"
"2026-04-24","7.24","66786860","66786860","4175","15996","4175","15996"
"2026-04-23","-4.25","27181170","27181170","3893","6915","5505","4890"
"2026-04-22","-7.25","64947270","64947270","4066","15657","5750","11072"
"2026-04-21","6.33","18405900","18405900","4384","4177","6200","2954"
"2026-04-20","7.48","49863055","49863055","4123","12929","5830","9143"
