"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0","23058670","23058670","3995","5811","3995","5811"
"2026-09-08","0.5","20225845","20225845","3995","5090","3995","5090"
"2026-09-07","1.92","19558215","19558215","3975","4916","3975","4916"
"2026-09-04","-1.27","19282590","19282590","3900","4908","3900","4908"
"2026-09-03","4.22","24178985","24178985","3950","6205","3950","6205"
"2026-09-02","-1.43","29707545","29707545","3790","7958","3790","7958"
"2026-09-01","1.18","8456870","8456870","3845","2235","3845","2235"
"2026-08-31","2.98","12283365","12283365","3800","3312","3800","3312"
"2026-08-28","0","8937030","8937030","3690","2421","3690","2421"
"2026-08-27","1.1","10848180","10848180","3690","2940","3690","2940"
"2026-08-26","1.39","9372320","9372320","3650","2529","3650","2529"
"2026-08-24","7.46","20227165","20227165","3600","5768","3600","5768"
"2026-08-21","-1.47","14805835","14805835","3350","4381","3350","4381"
"2026-08-20","0.44","16983245","16983245","3400","5006","3400","5006"
"2026-08-19","0","9508785","9508785","3385","2807","3385","2807"
"2026-08-18","2.58","15460545","15460545","3385","4589","3385","4589"
"2026-08-17","4.1","19160195","19160195","3300","5731","3300","5731"
"2026-08-14","-0.63","1353450","1353450","3170","425","3170","425"
"2026-08-13","0.31","5550935","5550935","3190","1744","3190","1744"
"2026-08-12","1.27","4203845","4203845","3180","1330","3180","1330"
"2026-08-11","4.32","4297440","4297440","3140","1379","3140","1379"
"2026-08-10","0","15591180","15591180","3010","5155","3010","5155"
"2026-08-06","7.5","1500325","1500325","3010","499","3010","499"
"2026-08-05","-6.67","10201475","10201475","2800","3530","2800","3530"
"2026-08-04","0.33","6751995","6751995","3000","2257","3000","2257"
"2026-08-03","-0.33","8531950","8531950","2990","2842","2990","2842"
"2026-07-31","0","7608510","7608510","3000","2550","3000","2550"
"2026-07-30","-0.66","19079185","19079185","3000","6722","3000","6722"
"2026-07-29","-2.58","6642985","6642985","3020","2175","3020","2175"
"2026-07-28","-0.8","4055790","4055790","3100","1312","3100","1312"
"2026-07-27","-0.64","4765010","4765010","3125","1523","3125","1523"
"2026-07-24","-1.1","28764510","28764510","3145","9553","3145","9553"
"2026-07-23","0","6509805","6509805","3180","2037","3180","2037"
"2026-07-22","7.43","24257125","24257125","3180","7995","3180","7995"
"2026-07-21","0.34","5058470","5058470","2960","1695","2960","1695"
"2026-07-20","-1.34","8590035","8590035","2950","2880","2950","2880"
"2026-07-17","1.36","9055820","9055820","2990","3023","2990","3023"
"2026-07-16","-6.35","17453180","17453180","2950","5740","2950","5740"
"2026-07-15","0.8","3112255","3112255","3150","990","3150","990"
"2026-07-14","0","32028230","32028230","3125","10553","3125","10553"
"2026-07-13","-0.79","6382500","6382500","3125","2032","3125","2032"
"2026-07-10","0","3717965","3717965","3150","1166","3150","1166"
"2026-07-09","0.32","2283545","2283545","3150","722","3150","722"
