"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0","11746210","11746210","2500","4696","2500","4696"
"2026-09-08","-1.57","13210485","13210485","2500","5261","2500","5261"
"2026-09-07","-2.5","40458990","40458990","2540","16028","2540","16028"
"2026-09-04","-3.16","9280370","9280370","2605","3518","2605","3518"
"2026-09-03","-4.44","9162560","9162560","2690","3367","2690","3367"
"2026-09-02","-0.53","9358760","9358760","2815","3328","2815","3328"
"2026-09-01","3.28","7009370","7009370","2830","2472","2830","2472"
"2026-08-31","5.59","19198030","19198030","2740","7190","2740","7190"
"2026-08-28","-0.19","14447670","14447670","2595","5586","2595","5586"
"2026-08-27","1.96","9449710","9449710","2600","3625","2600","3625"
"2026-08-26","-1.73","17581350","17581350","2550","6831","2550","6831"
"2026-08-24","0","4500755","4500755","2595","1737","2595","1737"
"2026-08-21","1.76","8673750","8673750","2595","3387","2595","3387"
"2026-08-20","0.79","7329510","7329510","2550","2828","2550","2828"
"2026-08-19","0","6846705","6846705","2530","2712","2530","2712"
"2026-08-18","-0.59","19240685","19240685","2530","7676","2530","7676"
"2026-08-17","-3.42","12560975","12560975","2545","4795","2545","4795"
"2026-08-14","-0.75","5356580","5356580","2635","2023","2635","2023"
"2026-08-13","-0.19","6633855","6633855","2655","2478","2655","2478"
"2026-08-12","1.14","6600375","6600375","2660","2489","2660","2489"
"2026-08-11","0","9868105","9868105","2630","3766","2630","3766"
"2026-08-10","-1.68","16794415","16794415","2630","6339","2630","6339"
"2026-08-06","-0.56","11045530","11045530","2675","4162","2675","4162"
"2026-08-05","-3.93","11600095","11600095","2690","4287","2690","4287"
"2026-08-04","-0.71","3846060","3846060","2800","1382","2800","1382"
"2026-08-03","5.22","12942545","12942545","2820","4652","2820","4652"
"2026-07-31","-4.29","18083390","18083390","2680","6520","2680","6520"
"2026-07-30","-1.58","8286595","8286595","2800","2966","2800","2966"
"2026-07-29","-0.18","33137975","33137975","2845","11650","2845","11650"
"2026-07-28","5.95","13167185","13167185","2850","4634","2850","4634"
"2026-07-27","-7.4","15301305","15301305","2690","5480","2690","5480"
"2026-07-24","-3.17","13685290","13685290","2905","4611","2905","4611"
"2026-07-23","0.33","2515695","2515695","3000","834","3000","834"
"2026-07-22","-3.55","56219705","56219705","2990","18883","2990","18883"
"2026-07-21","-2.97","8340015","8340015","3100","2697","3100","2697"
"2026-07-20","0.31","17937460","17937460","3195","5692","3195","5692"
"2026-07-17","-0.31","18063315","18063315","3185","5823","3185","5823"
"2026-07-16","0","8264905","8264905","3195","2572","3195","2572"
"2026-07-15","3.06","19660560","19660560","3195","6217","3195","6217"
"2026-07-14","-2.36","9518745","9518745","3100","3084","3100","3084"
"2026-07-13","-0.78","2845455","2845455","3175","893","3175","893"
"2026-07-10","4.92","14787920","14787920","3200","4812","3200","4812"
"2026-07-09","-0.16","21440510","21440510","3050","7393","3050","7393"
"2026-07-08","-7.42","13564415","13564415","3055","4433","3055","4433"
"2026-07-07","-2.51","12237650","12237650","3300","3750","3300","3750"
"2026-07-06","-1.6","14825000","14825000","3385","4421","3385","4421"
"2026-07-03","-1.71","8511540","8511540","3440","2462","3440","2462"
"2026-07-02","1.45","12013395","12013395","3500","3476","3500","3476"
"2026-07-01","-2.82","6491595","6491595","3450","1873","3450","1873"
"2026-06-30","1.72","4641970","4641970","3550","1332","3550","1332"
"2026-06-29","-3.72","14301705","14301705","3490","4024","3490","4024"
"2026-06-26","-0.14","4368570","4368570","3625","1211","3625","1211"
"2026-06-25","-0.27","5745705","5745705","3630","1579","3630","1579"
"2026-06-24","4.3","28242910","28242910","3640","8028","3640","8028"
"2026-06-23","0.87","11619295","11619295","3490","3387","3490","3387"
"2026-06-22","-1.14","5290965","5290965","3460","1544","3460","1544"
"2026-06-19","0","12934395","12934395","3500","3706","3500","3706"
"2026-06-18","0","10685770","10685770","3500","3064","3500","3064"
"2026-06-17","0.14","48996425","48996425","3500","14171","3500","14171"
"2026-06-16","-0.14","10871495","10871495","3495","3111","3495","3111"
"2026-06-15","-1.41","37138515","37138515","3500","10750","3500","10750"
"2026-06-12","0","33266455","33266455","3550","9259","3550","9259"
"2026-06-11","6.29","30643745","30643745","3550","8908","3550","8908"
"2026-06-10","7.22","24269115","24269115","3340","7377","3340","7377"
"2026-06-09","7.41","25662180","25662180","3115","8502","3115","8502"
"2026-06-08","-2.03","13858805","13858805","2900","4828","2900","4828"
"2026-06-05","5.71","10748955","10748955","2960","3782","2960","3782"
"2026-06-04","0.9","289526300","289526300","2800","111344","2800","111344"
"2026-06-03","-7.5","33873495","33873495","2775","11680","2775","11680"
"2026-06-02","6.57","3881245","3881245","3000","1292","3000","1292"
"2026-06-01","-6.17","76253770","76253770","2815","26632","2815","26632"
"2026-05-29","3.99","45281340","45281340","3000","16155","3000","16155"
"2026-05-28","-7.38","63365940","63365940","2885","19572","2885","19572"
"2026-05-26","7.41","41432310","41432310","3115","13320","3115","13320"
"2026-05-22","2.11","7000980","7000980","2900","2501","2900","2501"
"2026-05-21","-4.7","10474110","10474110","2840","3646","2840","3646"
"2026-05-20","5.67","12723420","12723420","2980","4251","2980","4251"
"2026-05-19","5.22","456100","456100","2820","166","2820","166"
"2026-05-18","0.75","1589410","1589410","2680","595","2680","595"
"2026-05-15","-4.83","5051940","5051940","2660","1815","2660","1815"
"2026-05-13","7.5","9007225","9007225","2795","3322","2795","3322"
"2026-05-12","3.38","5969630","5969630","2600","2364","2600","2364"
"2026-05-11","-5.45","14821200","14821200","2515","5731","2515","5731"
"2026-05-08","-6.5","8925440","8925440","2660","3203","2660","3203"
"2026-05-07","-0.18","5542800","5542800","2845","2061","2845","2061"
"2026-05-06","-3.39","12759785","12759785","2850","4532","2850","4532"
"2026-05-05","-0.17","4421070","4421070","2950","1502","2950","1502"
"2026-05-04","-3.11","3518960","3518960","2955","1208","2955","1208"
"2026-04-30","0","745600","745600","3050","240","3050","240"
"2026-04-29","1.67","1482245","1482245","3050","485","3050","485"
"2026-04-28","0.33","2704755","2704755","3000","903","3000","903"
"2026-04-27","-0.33","2698885","2698885","2990","944","2990","944"
"2026-04-24","-4.91","10353405","10353405","3000","3519","3000","3519"
"2026-04-23","5.52","20170870","20170870","3155","6467","3155","6467"
"2026-04-22","4.91","13036380","13036380","2990","4421","2990","4421"
"2026-04-21","3.26","4814005","4814005","2850","1670","2850","1670"
"2026-04-20","0.18","15702610","15702610","2760","5773","2760","5773"
"2026-04-17","-6.61","12037075","12037075","2755","4278","2755","4278"
"2026-04-16","-1.67","30179855","30179855","2950","10435","2950","10435"
"2026-04-15","-7.41","4716000","4716000","3000","1572","3000","1572"
"2026-04-14","-7.43","20997955","20997955","3240","6473","3240","6473"
"2026-04-13","1.45","13668570","13668570","3500","3950","3500","3950"
"2026-04-10","-4.3","17031735","17031735","3450","4868","3450","4868"
"2026-04-09","-7.45","44161165","44161165","3605","11327","3605","11327"
"2026-04-08","7.45","16736430","16736430","3895","4363","3895","4363"
"2026-04-07","7.41","43791915","43791915","3625","12189","3625","12189"
"2026-04-03","7.48","6309050","6309050","3375","1912","3375","1912"
"2026-04-02","7.35","21781090","21781090","3140","7133","3140","7133"
"2026-04-01","7.34","16548705","16548705","2925","5824","2925","5824"
"2026-03-31","2.06","17027925","17027925","2725","6336","2725","6336"
"2026-03-30","5.74","14213505","14213505","2670","5434","2670","5434"
"2026-03-27","7.45","18562430","18562430","2525","7547","2525","7547"
"2026-03-26","1.73","3074820","3074820","2350","1308","2350","1308"
"2026-03-25","-2.12","3492830","3492830","2310","1504","2310","1504"
"2026-03-24","-3.67","1817870","1817870","2360","752","2360","752"
"2026-03-23","4.03","11824700","11824700","2450","4973","2450","4973"
"2026-03-19","3.06","8581940","8581940","2355","3780","2355","3780"
"2026-03-18","-7.3","14356800","14356800","2285","6264","2285","6264"
"2026-03-17","-7.33","14424635","14424635","2465","5644","2465","5644"
"2026-03-13","5.35","34273055","34273055","2660","12699","2660","12699"
"2026-03-12","7.45","62193435","62193435","2525","24752","2525","24752"
"2026-03-11","7.31","14859450","14859450","2350","6341","2350","6341"
"2026-03-10","7.35","3895415","3895415","2190","1798","2190","1798"
"2026-03-09","7.37","8636350","8636350","2040","4333","2040","4333"
"2026-03-06","1.6","5143755","5143755","1900","2741","1900","2741"
"2026-03-05","-2.6","5503900","5503900","1870","2921","1870","2921"
"2026-03-04","-1.03","7391730","7391730","1920","3869","1920","3869"
"2026-03-03","1.57","7962055","7962055","1940","4119","1940","4119"
"2026-03-02","-4.02","9970560","9970560","1910","5089","1910","5089"
"2026-02-27","-0.25","7816705","7816705","1990","3977","1990","3977"
"2026-02-26","-0.25","12832645","12832645","1995","6431","1995","6431"
"2026-02-25","0","13811310","13811310","2000","6917","2000","6917"
