"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0.27","134884915","134884915","9225","14533","9225","14533"
"2026-09-08","1.1","226720240","226720240","9200","24693","9200","24693"
"2026-09-07","-1.09","149742530","149742530","9100","16415","9100","16415"
"2026-09-04","-1.08","449495195","449495195","9200","49736","9200","49736"
"2026-09-03","0","49906270","49906270","9300","5367","9300","5367"
"2026-09-02","1.09","105612145","105612145","9300","11461","9300","11461"
"2026-09-01","2.22","396739025","396739025","9200","43584","9200","43584"
"2026-08-31","-2.17","232888720","232888720","9000","25581","9000","25581"
"2026-08-28","0","87525825","87525825","9200","9620","9200","9620"
"2026-08-27","0.55","22436090","22436090","9200","2436","9200","2436"
"2026-08-26","0.55","97285455","97285455","9150","10570","9150","10570"
"2026-08-24","1.11","156139535","156139535","9100","17227","9100","17227"
"2026-08-21","-1.1","79509525","79509525","9000","8779","9000","8779"
"2026-08-20","-1.09","175237925","175237925","9100","19390","9100","19390"
"2026-08-19","-0.92","139286580","139286580","9200","15052","9200","15052"
"2026-08-18","-0.16","98067075","98067075","9285","10604","9285","10604"
"2026-08-17","1.36","68337785","68337785","9300","7437","9300","7437"
"2026-08-14","0.82","24121690","24121690","9175","2638","9175","2638"
"2026-08-13","-0.22","131310795","131310795","9100","14361","9100","14361"
"2026-08-12","-4","123162315","123162315","9120","13236","9120","13236"
"2026-08-11","1.93","92309005","92309005","9500","9893","9500","9893"
"2026-08-10","0.22","59954395","59954395","9320","6439","9320","6439"
"2026-08-06","0.54","25006300","25006300","9300","2688","9300","2688"
"2026-08-05","-0.54","70067580","70067580","9250","7575","9250","7575"
"2026-08-04","5.68","122318590","122318590","9300","13314","9300","13314"
"2026-08-03","-2.22","40946365","40946365","8800","4617","8800","4617"
"2026-07-31","3.45","84390410","84390410","9000","9484","9000","9484"
"2026-07-30","-5.95","45517260","45517260","8700","5051","8700","5051"
"2026-07-29","1.65","29489980","29489980","9250","3226","9250","3226"
"2026-07-28","0","28655200","28655200","9100","3150","9100","3150"
"2026-07-27","2.25","46697210","46697210","9100","5201","9100","5201"
"2026-07-24","2.89","93383860","93383860","8900","10569","8900","10569"
"2026-07-23","-1.7","85389220","85389220","8650","9710","8650","9710"
"2026-07-22","-0.62","41228430","41228430","8800","4671","8800","4671"
"2026-07-21","0.57","113786550","113786550","8855","12924","8855","12924"
"2026-07-20","0.51","60437060","60437060","8805","6896","8805","6896"
"2026-07-17","0.69","201850150","201850150","8760","23204","8760","23204"
"2026-07-16","0","132344165","132344165","8700","15195","8700","15195"
"2026-07-15","-2.25","68036810","68036810","8700","7675","8700","7675"
"2026-07-14","-1","181142675","181142675","8900","20226","8900","20226"
"2026-07-13","0.45","160099250","160099250","8990","17916","8990","17916"
"2026-07-10","-0.56","49566075","49566075","8950","5513","8950","5513"
"2026-07-09","0.28","91667930","91667930","9000","10267","9000","10267"
"2026-07-08","-0.28","30130760","30130760","8975","3353","8975","3353"
"2026-07-07","0","100060235","100060235","9000","11143","9000","11143"
"2026-07-06","1.58","73550900","73550900","9000","8302","9000","8302"
"2026-07-03","-1.56","98361220","98361220","8860","10995","8860","10995"
"2026-07-02","-0.17","103841585","103841585","9000","11531","9000","11531"
"2026-07-01","1.41","31144025","31144025","9015","3484","9015","3484"
"2026-06-30","-0.06","73859950","73859950","8890","8326","8890","8326"
"2026-06-29","0.06","48551410","48551410","8895","5464","8895","5464"
"2026-06-26","0","34980220","34980220","8890","3940","8890","3940"
"2026-06-25","0.51","48051125","48051125","8890","5429","8890","5429"
"2026-06-24","0","144754590","144754590","8845","16346","8845","16346"
"2026-06-23","0.06","182734945","182734945","8845","20643","8845","20643"
"2026-06-22","-0.06","85262660","85262660","8840","9635","8840","9635"
"2026-06-19","2.25","93535920","93535920","8845","10633","8845","10633"
"2026-06-18","0","228220180","228220180","8650","26184","8650","26184"
"2026-06-17","0","278606010","278606010","8650","32068","8650","32068"
"2026-06-16","-1.7","63300710","63300710","8650","7217","8650","7217"
"2026-06-15","-0.23","42654055","42654055","8800","4834","8800","4834"
"2026-06-12","0.23","80328300","80328300","8820","9109","8820","9109"
"2026-06-11","1.5","87461815","87461815","8800","9985","8800","9985"
"2026-06-10","1.88","90700245","90700245","8670","10431","8670","10431"
"2026-06-09","-4.11","283519410","283519410","8510","33157","8510","33157"
"2026-06-08","-1.39","46881360","46881360","8875","5283","8875","5283"
"2026-06-05","0.9","86208160","86208160","9000","9533","9000","9533"
"2026-06-04","1.02","91142045","91142045","8920","10256","8920","10256"
"2026-06-03","0.68","96367535","96367535","8830","10954","8830","10954"
"2026-06-02","3.18","151512355","151512355","8770","17786","8770","17786"
"2026-06-01","3.72","38305440","38305440","8500","4556","8500","4556"
"2026-05-29","5","17559615","17559615","8195","2161","8195","2161"
"2026-05-28","1.36","69797500","69797500","7805","8923","7805","8923"
"2026-05-26","-5.64","39062745","39062745","7700","4940","7700","4940"
"2026-05-22","4.02","19713000","19713000","8160","2428","8160","2428"
"2026-05-21","0.64","21001210","21001210","7845","2631","7845","2631"
"2026-05-20","3.86","24214450","24214450","7795","3141","7795","3141"
"2026-05-19","0.07","25407790","25407790","7505","3375","7505","3375"
"2026-05-18","0","83448940","83448940","7500","11053","7500","11053"
"2026-05-15","2.74","38303420","38303420","7500","5141","7500","5141"
"2026-05-13","0.07","38889540","38889540","7300","5392","7300","5392"
"2026-05-12","2.17","33459370","33459370","7295","4674","7295","4674"
"2026-05-11","0.63","37155245","37155245","7140","5233","7140","5233"
"2026-05-08","-0.77","28800120","28800120","7095","4043","7095","4043"
"2026-05-07","1.42","36869950","36869950","7150","5191","7150","5191"
"2026-05-06","-0.7","28992300","28992300","7050","4086","7050","4086"
"2026-05-05","-2.47","33608730","33608730","7100","4772","7100","4772"
"2026-05-04","2.82","70904940","70904940","7280","10040","7280","10040"
"2026-04-30","-0.28","15660645","15660645","7080","2229","7080","2229"
"2026-04-29","1.43","65631915","65631915","7100","9430","7100","9430"
"2026-04-28","1.45","111487765","111487765","7000","15994","7000","15994"
"2026-04-27","-1.43","57256190","57256190","6900","8311","6900","8311"
"2026-04-24","2.87","42358905","42358905","7000","6078","7000","6078"
"2026-04-23","-1.38","56197980","56197980","6805","8080","6805","8080"
"2026-04-22","-1.57","104359265","104359265","6900","15323","6900","15323"
"2026-04-21","-0.07","26974600","26974600","7010","3851","7010","3851"
"2026-04-20","-0.07","35622855","35622855","7015","5082","7015","5082"
"2026-04-17","0.29","49245605","49245605","7020","7038","7020","7038"
"2026-04-16","0","45853930","45853930","7000","6562","7000","6562"
"2026-04-15","0","35387285","35387285","7000","5060","7000","5060"
"2026-04-14","0","72106830","72106830","7000","10282","7000","10282"
"2026-04-13","-1.34","27295390","27295390","7000","3879","7000","3879"
"2026-04-10","-0.07","19714575","19714575","7095","2791","7095","2791"
"2026-04-09","1.43","46187655","46187655","7100","6589","7100","6589"
"2026-04-08","0.07","68407020","68407020","7000","9766","7000","9766"
