"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0","2944460","2944460","3490","844","3490","844"
"2026-09-08","-0.99","4849225","4849225","3490","1384","3490","1384"
"2026-09-07","-0.42","6271325","6271325","3525","1793","3525","1793"
"2026-09-04","-0.28","15597365","15597365","3540","4443","3540","4443"
"2026-09-03","1.43","3773890","3773890","3550","1062","3550","1062"
"2026-09-02","0.14","13581540","13581540","3500","3940","3500","3940"
"2026-09-01","0","8680705","8680705","3495","2486","3495","2486"
"2026-08-31","0","5557190","5557190","3495","1588","3495","1588"
"2026-08-28","-0.14","12660745","12660745","3495","3629","3495","3629"
"2026-08-27","0","16792995","16792995","3500","4806","3500","4806"
"2026-08-26","-3.31","20081205","20081205","3500","5689","3500","5689"
"2026-08-24","-0.55","1560675","1560675","3620","426","3620","426"
"2026-08-21","-1.75","10035060","10035060","3640","2739","3640","2739"
"2026-08-20","0.41","4622640","4622640","3705","1247","3705","1247"
"2026-08-19","2.5","3872715","3872715","3690","1063","3690","1063"
"2026-08-18","0","5378980","5378980","3600","1519","3600","1519"
"2026-08-17","2.86","4269550","4269550","3600","1194","3600","1194"
"2026-08-14","0.29","850550","850550","3500","242","3500","242"
"2026-08-13","-0.29","5421675","5421675","3490","1551","3490","1551"
"2026-08-12","0","2755575","2755575","3500","788","3500","788"
"2026-08-11","0","21151975","21151975","3500","6042","3500","6042"
"2026-08-10","-1.41","15974765","15974765","3500","4547","3500","4547"
"2026-08-06","1.43","2814115","2814115","3550","782","3550","782"
"2026-08-05","0.72","3976175","3976175","3500","1139","3500","1139"
"2026-08-04","-4.66","10090600","10090600","3475","2874","3475","2874"
"2026-08-03","4.14","24149370","24149370","3645","6890","3645","6890"
"2026-07-31","0","36042400","36042400","3500","10266","3500","10266"
"2026-07-30","-2.78","17788405","17788405","3500","4997","3500","4997"
"2026-07-29","-2.7","9051395","9051395","3600","2489","3600","2489"
"2026-07-28","1.37","4416945","4416945","3700","1184","3700","1184"
"2026-07-27","-3.82","8165435","8165435","3650","2196","3650","2196"
"2026-07-24","-3.68","5330255","5330255","3795","1397","3795","1397"
"2026-07-23","2.34","1706770","1706770","3940","443","3940","443"
"2026-07-22","-2.53","2344000","2344000","3850","602","3850","602"
"2026-07-21","6.9","3097145","3097145","3950","810","3950","810"
"2026-07-20","1.23","4192995","4192995","3695","1148","3695","1148"
"2026-07-17","0.69","9078005","9078005","3650","2482","3650","2482"
"2026-07-16","-2.29","11331030","11331030","3625","3103","3625","3103"
"2026-07-15","-2.37","15321380","15321380","3710","4152","3710","4152"
"2026-07-14","-2.81","35971675","35971675","3800","9348","3800","9348"
"2026-07-13","-1.14","6569670","6569670","3910","1676","3910","1676"
"2026-07-10","-1.13","3028505","3028505","3955","764","3955","764"
"2026-07-09","0","10669725","10669725","4000","2647","4000","2647"
"2026-07-08","-3.73","11877515","11877515","4000","2929","4000","2929"
"2026-07-07","-7.46","15851470","15851470","4155","3760","4155","3760"
"2026-07-06","-0.11","5297180","5297180","4490","1227","4490","1227"
"2026-07-03","-0.11","3954440","3954440","4495","879","4495","879"
"2026-07-02","7.4","3261965","3261965","4500","733","4500","733"
