"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-7.46","72635835","72635835","7935","9149","7935","9149"
"2026-09-08","-7.45","22627325","22627325","8575","2634","8575","2634"
"2026-09-07","-7.49","30345975","30345975","9265","3273","9265","3273"
"2026-09-04","-1.81","50483385","50483385","10015","4958","10015","4958"
"2026-09-03","-0.97","41953730","41953730","10200","4074","10200","4074"
"2026-09-02","5.64","106017035","106017035","10300","10580","10300","10580"
"2026-09-01","2.63","37724375","37724375","9750","3886","9750","3886"
"2026-08-31","0","53295350","53295350","9500","5574","9500","5574"
"2026-08-28","3.26","141107115","141107115","9500","15040","9500","15040"
"2026-08-27","-4.66","121649940","121649940","9200","13116","9200","13116"
"2026-08-26","4.32","68106575","68106575","9650","7242","9650","7242"
"2026-08-24","-2.01","57410950","57410950","9250","6484","9250","6484"
"2026-08-21","5.59","64715250","64715250","9440","7434","9440","7434"
"2026-08-20","-7.45","161595200","161595200","8940","17861","8940","17861"
"2026-08-19","7.45","96934015","96934015","9660","10161","9660","10161"
"2026-08-18","7.02","443819175","443819175","8990","52971","8990","52971"
"2026-08-17","4.93","24115420","24115420","8400","2924","8400","2924"
"2026-08-14","0.06","22429820","22429820","8005","2797","8005","2797"
"2026-08-13","1.65","44164590","44164590","8000","5536","8000","5536"
"2026-08-12","-0.38","16831725","16831725","7870","2160","7870","2160"
"2026-08-11","0","6085250","6085250","7900","780","7900","780"
"2026-08-10","3.95","15662625","15662625","7900","2027","7900","2027"
"2026-08-06","0","3471730","3471730","7600","455","7600","455"
"2026-08-05","0.93","7266300","7266300","7600","960","7600","960"
"2026-08-04","0.4","10312075","10312075","7530","1375","7530","1375"
"2026-08-03","-0.86","30546335","30546335","7500","4030","7500","4030"
"2026-07-31","1.2","8015620","8015620","7565","1066","7565","1066"
"2026-07-30","-0.07","10622575","10622575","7475","1430","7475","1430"
"2026-07-29","-0.27","7682210","7682210","7480","1025","7480","1025"
"2026-07-28","1.35","5592135","5592135","7500","754","7500","754"
"2026-07-27","-2.63","14240530","14240530","7400","1902","7400","1902"
"2026-07-24","1.6","9775955","9775955","7600","1305","7600","1305"
"2026-07-23","1.77","12759780","12759780","7480","1723","7480","1723"
"2026-07-22","0","3345930","3345930","7350","454","7350","454"
"2026-07-21","0.68","3302540","3302540","7350","451","7350","451"
"2026-07-20","-2.67","10061530","10061530","7300","1366","7300","1366"
"2026-07-17","0.07","2321630","2321630","7500","309","7500","309"
"2026-07-16","1.28","58824060","58824060","7495","8263","7495","8263"
"2026-07-15","-1.33","27375510","27375510","7400","3650","7400","3650"
"2026-07-14","-1.06","23644380","23644380","7500","3133","7500","3133"
"2026-07-13","0.4","7353015","7353015","7580","972","7580","972"
"2026-07-10","-3.82","3756445","3756445","7550","491","7550","491"
"2026-07-09","4.6","13518215","13518215","7850","1778","7850","1778"
"2026-07-08","-5","12610720","12610720","7505","1626","7505","1626"
"2026-07-07","-0.57","17535110","17535110","7900","2277","7900","2277"
"2026-07-06","3.52","13644945","13644945","7945","1738","7945","1738"
"2026-07-03","-3.58","20621730","20621730","7675","2645","7675","2645"
"2026-07-02","-0.44","10273480","10273480","7960","1288","7960","1288"
"2026-07-01","4.17","13700420","13700420","7995","1761","7995","1761"
"2026-06-30","-0.13","7343200","7343200","7675","957","7675","957"
"2026-06-29","0.2","15208375","15208375","7685","1993","7685","1993"
"2026-06-26","0.92","26134225","26134225","7670","3408","7670","3408"
"2026-06-25","-0.59","14658030","14658030","7600","1944","7600","1944"
"2026-06-24","0","14183900","14183900","7645","1856","7645","1856"
"2026-06-23","-0.07","5257260","5257260","7645","688","7645","688"
"2026-06-22","1.12","17159025","17159025","7650","2261","7650","2261"
"2026-06-19","-0.13","21579400","21579400","7565","2852","7565","2852"
"2026-06-18","-0.2","11825855","11825855","7575","1563","7575","1563"
"2026-06-17","0","9784115","9784115","7590","1294","7590","1294"
"2026-06-16","-0.13","3560540","3560540","7590","474","7590","474"
"2026-06-15","-1.11","45719945","45719945","7600","6301","7600","6301"
"2026-06-12","2.47","36606515","36606515","7685","4855","7685","4855"
"2026-06-11","2.74","25963910","25963910","7500","3547","7500","3547"
"2026-06-10","-3.31","20096320","20096320","7300","2726","7300","2726"
"2026-06-09","-0.4","18935635","18935635","7550","2533","7550","2533"
"2026-06-08","-1.81","17242150","17242150","7580","2277","7580","2277"
"2026-06-05","1.58","8931750","8931750","7720","1167","7720","1167"
"2026-06-04","1.4","8203520","8203520","7600","1088","7600","1088"
"2026-06-03","2.6","20536055","20536055","7495","2766","7495","2766"
"2026-06-02","2.89","21247785","21247785","7305","3006","7305","3006"
"2026-06-01","2.16","6648325","6648325","7100","920","7100","920"
"2026-05-29","-0.64","23164705","23164705","6950","3318","6950","3318"
"2026-05-28","0.72","49703865","49703865","6995","7318","6995","7318"
"2026-05-26","0","6025255","6025255","6945","866","6945","866"
"2026-05-22","0.73","430672165","430672165","6945","66106","6945","66106"
"2026-05-21","0.66","7298285","7298285","6895","1064","6895","1064"
"2026-05-20","0","8362300","8362300","6850","1215","6850","1215"
"2026-05-19","-0.58","24405875","24405875","6850","3548","6850","3548"
"2026-05-18","-1.36","7491935","7491935","6890","1083","6890","1083"
"2026-05-15","-0.21","13900520","13900520","6985","2002","6985","2002"
"2026-05-13","0.07","15018440","15018440","7000","2182","7000","2182"
"2026-05-12","-0.07","5839650","5839650","6995","838","6995","838"
"2026-05-11","-0.71","37253630","37253630","7000","5376","7000","5376"
"2026-05-08","-0.7","3797100","3797100","7050","539","7050","539"
"2026-05-07","-1.05","31529235","31529235","7100","4483","7100","4483"
"2026-05-06","6.77","20246030","20246030","7175","2954","7175","2954"
"2026-05-05","0","21462485","21462485","6720","3226","6720","3226"
"2026-05-04","-1.18","40112300","40112300","6720","6318","6720","6318"
"2026-04-30","-7.48","27675115","27675115","6800","4069","6800","4069"
"2026-04-29","-0.47","1177620","1177620","7350","160","7350","160"
"2026-04-28","1.03","7445605","7445605","7385","1038","7385","1038"
"2026-04-27","-1.02","3906315","3906315","7310","533","7310","533"
"2026-04-24","0.07","10010975","10010975","7385","1359","7385","1359"
"2026-04-23","0.34","5828330","5828330","7380","797","7380","797"
"2026-04-22","0","19487920","19487920","7355","2632","7355","2632"
"2026-04-21","-0.54","5738715","5738715","7355","776","7355","776"
"2026-04-20","1.3","5441535","5441535","7395","739","7395","739"
"2026-04-17","4.66","3781360","3781360","7300","520","7300","520"
