"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0.43","84074360","84074360","22000","3825","22000","3825"
"2026-09-08","-0.43","52395735","52395735","21905","2388","21905","2388"
"2026-09-07","-0.45","69714230","69714230","22000","3164","22000","3164"
"2026-09-04","0.43","22956910","22956910","22100","1039","22100","1039"
"2026-09-03","0.02","85252630","85252630","22005","3860","22005","3860"
"2026-09-02","-1.79","120502820","120502820","22000","5461","22000","5461"
"2026-09-01","-0.44","15136770","15136770","22400","676","22400","676"
"2026-08-31","0.67","51753415","51753415","22500","2313","22500","2313"
"2026-08-28","-1.5","58363415","58363415","22350","2611","22350","2611"
"2026-08-27","7","258114610","258114610","22690","12019","22690","12019"
"2026-08-26","-7.4","122197675","122197675","21205","5564","21205","5564"
"2026-08-24","0","48412340","48412340","22900","2108","22900","2108"
"2026-08-21","-0.43","60375395","60375395","22900","2631","22900","2631"
"2026-08-20","-0.43","113043550","113043550","23000","4914","23000","4914"
"2026-08-19","0.43","77838695","77838695","23100","3399","23100","3399"
"2026-08-18","0","83967060","83967060","23000","3656","23000","3656"
"2026-08-17","-2.11","31979635","31979635","23000","1392","23000","1392"
"2026-08-14","5.01","66623760","66623760","23495","2856","23495","2856"
"2026-08-13","-4.79","45208510","45208510","22375","1983","22375","1983"
"2026-08-12","-5.24","88356020","88356020","23500","3834","23500","3834"
"2026-08-11","-0.8","47081290","47081290","24800","1887","24800","1887"
"2026-08-10","0.08","314258785","314258785","25000","12559","25000","12559"
"2026-08-06","-0.08","47149915","47149915","24980","1907","24980","1907"
"2026-08-05","3.69","151110850","151110850","25000","6152","25000","6152"
"2026-08-04","0.52","196727975","196727975","24110","8135","24110","8135"
"2026-08-03","3.38","54907945","54907945","23985","2331","23985","2331"
"2026-07-31","0","151753950","151753950","23200","6503","23200","6503"
"2026-07-30","0.89","81782460","81782460","23200","3533","23200","3533"
"2026-07-29","-0.02","45843570","45843570","22995","2000","22995","2000"
"2026-07-28","-0.86","43678200","43678200","23000","1892","23000","1892"
"2026-07-27","0.04","48628185","48628185","23200","2104","23200","2104"
"2026-07-24","-0.92","52435945","52435945","23190","2276","23190","2276"
"2026-07-23","-0.4","106400165","106400165","23405","4602","23405","4602"
"2026-07-22","0","43142355","43142355","23500","1862","23500","1862"
"2026-07-21","0.02","12228285","12228285","23500","524","23500","524"
"2026-07-20","-1.69","10019695","10019695","23495","424","23495","424"
"2026-07-17","7.49","72960285","72960285","23900","3211","23900","3211"
"2026-07-16","-3.35","129309600","129309600","22235","5756","22235","5756"
"2026-07-15","-4.92","54414415","54414415","23005","2303","23005","2303"
"2026-07-14","-0.02","63175525","63175525","24195","2627","24195","2627"
"2026-07-13","0.39","94823055","94823055","24200","3937","24200","3937"
"2026-07-10","-0.8","41762565","41762565","24105","1733","24105","1733"
"2026-07-09","1.02","112091200","112091200","24300","4657","24300","4657"
