"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","2.07","13037970","13037970","17995","737","17995","737"
"2026-09-08","0.28","126932205","126932205","17630","7209","17630","7209"
"2026-09-07","0.46","58004705","58004705","17580","3305","17580","3305"
"2026-09-04","1.16","40192050","40192050","17500","2297","17500","2297"
"2026-09-03","0.29","33518660","33518660","17300","1942","17300","1942"
"2026-09-02","0","12715090","12715090","17250","738","17250","738"
"2026-09-01","0.29","22303450","22303450","17250","1294","17250","1294"
"2026-08-31","0.03","34865030","34865030","17200","2030","17200","2030"
"2026-08-28","0.56","43905765","43905765","17195","2559","17195","2559"
"2026-08-27","-1.61","55896070","55896070","17100","3270","17100","3270"
"2026-08-26","3.45","29128555","29128555","17380","1718","17380","1718"
"2026-08-24","1.08","132230785","132230785","16800","7852","16800","7852"
"2026-08-21","0","45822220","45822220","16620","2747","16620","2747"
"2026-08-20","0.73","43506140","43506140","16620","2622","16620","2622"
"2026-08-19","0.33","21381230","21381230","16500","1299","16500","1299"
"2026-08-18","0","8870665","8870665","16445","540","16445","540"
"2026-08-17","0.55","8542950","8542950","16445","521","16445","521"
"2026-08-14","-0.58","7591905","7591905","16355","463","16355","463"
"2026-08-13","-0.3","10302395","10302395","16450","626","16450","626"
"2026-08-12","-0.6","22025090","22025090","16500","1329","16500","1329"
"2026-08-11","0.42","8415395","8415395","16600","508","16600","508"
"2026-08-10","-0.12","14116395","14116395","16530","854","16530","854"
"2026-08-06","0.3","10385870","10385870","16550","628","16550","628"
"2026-08-05","5.1","13275410","13275410","16500","807","16500","807"
"2026-08-04","1.29","154363510","154363510","15700","9908","15700","9908"
"2026-08-03","0.03","30565320","30565320","15500","1972","15500","1972"
"2026-07-31","-1.18","58475555","58475555","15495","3767","15495","3767"
"2026-07-30","-2","33319350","33319350","15680","2112","15680","2112"
"2026-07-29","0","14657385","14657385","16000","917","16000","917"
"2026-07-28","0.06","8570360","8570360","16000","537","16000","537"
"2026-07-27","-0.06","24864400","24864400","15990","1569","15990","1569"
"2026-07-24","0","19908255","19908255","16000","1248","16000","1248"
"2026-07-23","-3.9","20344225","20344225","16000","1253","16000","1253"
"2026-07-22","2.18","112588680","112588680","16650","6867","16650","6867"
"2026-07-21","3.79","9913890","9913890","16295","618","16295","618"
"2026-07-20","3.32","5574970","5574970","15700","352","15700","352"
"2026-07-17","-3.83","55942400","55942400","15195","3584","15195","3584"
"2026-07-16","-3.16","31534870","31534870","15800","1965","15800","1965"
"2026-07-15","-4.03","11365835","11365835","16315","693","16315","693"
"2026-07-14","2.38","21006420","21006420","17000","1284","17000","1284"
"2026-07-13","-3.99","9014005","9014005","16605","538","16605","538"
"2026-07-10","-0.32","4361550","4361550","17295","252","17295","252"
"2026-07-09","2.06","181842660","181842660","17350","10515","17350","10515"
"2026-07-08","-3.95","17814155","17814155","17000","1013","17000","1013"
"2026-07-07","0","8333340","8333340","17700","470","17700","470"
"2026-07-06","-0.2","7194460","7194460","17700","406","17700","406"
"2026-07-03","0.08","7144395","7144395","17735","403","17735","403"
"2026-07-02","1.03","11883445","11883445","17720","675","17720","675"
"2026-07-01","-1.1","15613335","15613335","17540","881","17540","881"
"2026-06-30","7.45","4140540","4140540","17735","239","17735","239"
"2026-06-29","0.64","12614550","12614550","16505","765","16505","765"
"2026-06-26","-0.61","5078800","5078800","16400","308","16400","308"
"2026-06-25","0","5657805","5657805","16500","345","16500","345"
"2026-06-24","1.85","12056340","12056340","16500","731","16500","731"
"2026-06-23","1.25","7989080","7989080","16200","497","16200","497"
"2026-06-22","0.31","8097235","8097235","16000","500","16000","500"
"2026-06-19","0.63","8624680","8624680","15950","543","15950","543"
"2026-06-18","2.16","9093945","9093945","15850","578","15850","578"
"2026-06-17","-3.03","20883805","20883805","15515","1335","15515","1335"
"2026-06-16","-1.54","4948455","4948455","16000","304","16000","304"
"2026-06-15","0","8708510","8708510","16250","531","16250","531"
"2026-06-12","0","9997925","9997925","16250","616","16250","616"
"2026-06-11","0","34183965","34183965","16250","2095","16250","2095"
"2026-06-10","5.66","34255915","34255915","16250","2132","16250","2132"
"2026-06-09","7.36","53724420","53724420","15380","3643","15380","3643"
"2026-06-08","7.46","54327865","54327865","14325","3832","14325","3832"
"2026-06-05","-1.26","9001410","9001410","13330","677","13330","677"
"2026-06-04","0","10577820","10577820","13500","794","13500","794"
"2026-06-03","-1.39","7589230","7589230","13500","559","13500","559"
"2026-06-02","2.93","11724495","11724495","13690","876","13690","876"
"2026-06-01","-0.37","11678025","11678025","13300","874","13300","874"
"2026-05-29","0","16041495","16041495","13350","1204","13350","1204"
"2026-05-28","2.69","106007380","106007380","13350","8170","13350","8170"
"2026-05-26","0.81","3542315","3542315","13000","275","13000","275"
"2026-05-22","0","37138690","37138690","12895","2880","12895","2880"
"2026-05-21","3.16","31513430","31513430","12895","2466","12895","2466"
"2026-05-20","-0.79","5678505","5678505","12500","466","12500","466"
"2026-05-19","-1.56","6523255","6523255","12600","516","12600","516"
"2026-05-18","-0.74","16146335","16146335","12800","1298","12800","1298"
"2026-05-15","4.88","5626045","5626045","12895","450","12895","450"
"2026-05-13","-3.07","15446995","15446995","12295","1256","12295","1256"
"2026-05-12","4.83","4621520","4621520","12685","375","12685","375"
"2026-05-11","0.88","17559315","17559315","12100","1456","12100","1456"
"2026-05-08","0.8","15789310","15789310","11995","1319","11995","1319"
"2026-05-07","3.48","7709090","7709090","11900","638","11900","638"
"2026-05-06","-0.43","7085250","7085250","11500","616","11500","616"
"2026-05-05","-0.39","12384845","12384845","11550","1077","11550","1077"
"2026-05-04","-0.9","6198355","6198355","11595","533","11595","533"
"2026-04-30","1.65","5147355","5147355","11700","442","11700","442"
"2026-04-29","-1.2","3170590","3170590","11510","273","11510","273"
"2026-04-28","1.22","4215975","4215975","11650","364","11650","364"
"2026-04-27","0.52","4738380","4738380","11510","412","11510","412"
"2026-04-24","-0.74","6163650","6163650","11450","538","11450","538"
"2026-04-23","0","4817400","4817400","11535","420","11535","420"
"2026-04-22","-1.41","6352660","6352660","11535","549","11535","549"
"2026-04-21","1.43","9235635","9235635","11700","799","11700","799"
"2026-04-20","0","8108440","8108440","11535","701","11535","701"
"2026-04-17","0","3922480","3922480","11535","339","11535","339"
"2026-04-16","-0.99","6490680","6490680","11535","560","11535","560"
"2026-04-15","-1.69","7647000","7647000","11650","659","11650","659"
"2026-04-14","-0.42","7244890","7244890","11850","611","11850","611"
"2026-04-13","2.59","19230370","19230370","11900","1645","11900","1645"
"2026-04-10","-1.28","6412850","6412850","11600","551","11600","551"
"2026-04-09","-0.84","8595965","8595965","11750","738","11750","738"
"2026-04-08","-0.42","1053400","1053400","11850","89","11850","89"
"2026-04-07","-0.83","7226750","7226750","11900","627","11900","627"
"2026-04-03","-3.61","22054775","22054775","12000","1846","12000","1846"
"2026-04-02","-0.4","1993745","1993745","12450","160","12450","160"
"2026-04-01","0","6427000","6427000","12500","523","12500","523"
"2026-03-31","0","8469650","8469650","12500","683","12500","683"
