"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-1.46","56334135","56334135","13500","4045","13500","4045"
"2026-09-08","-0.07","34765265","34765265","13700","2492","13700","2492"
"2026-09-07","1.56","22184240","22184240","13710","1613","13710","1613"
"2026-09-04","0","71473065","71473065","13500","5189","13500","5189"
"2026-09-03","5.06","19718075","19718075","13500","1482","13500","1482"
"2026-09-02","0.78","9196330","9196330","12850","713","12850","713"
"2026-09-01","-1.89","16918800","16918800","12750","1309","12750","1309"
"2026-08-31","-0.04","76566215","76566215","12995","6285","12995","6285"
"2026-08-28","2.36","5494975","5494975","13000","426","13000","426"
"2026-08-27","1.68","9228370","9228370","12700","720","12700","720"
"2026-08-26","4.08","21775205","21775205","12490","1763","12490","1763"
"2026-08-24","-1.19","27633895","27633895","12000","2285","12000","2285"
"2026-08-21","0.45","11643150","11643150","12145","965","12145","965"
"2026-08-20","-0.45","40990875","40990875","12090","3424","12090","3424"
"2026-08-19","1.46","24573980","24573980","12145","2046","12145","2046"
"2026-08-18","0.63","19069220","19069220","11970","1599","11970","1599"
"2026-08-17","2.45","7726190","7726190","11895","664","11895","664"
"2026-08-14","0","11762640","11762640","11610","1013","11610","1013"
"2026-08-13","0.04","25214365","25214365","11610","2186","11610","2186"
"2026-08-12","-0.39","13297345","13297345","11605","1143","11605","1143"
"2026-08-11","-2.02","16918905","16918905","11650","1444","11650","1444"
"2026-08-10","-0.08","21749150","21749150","11890","1883","11890","1883"
"2026-08-06","4.39","5634750","5634750","11900","478","11900","478"
"2026-08-05","-4.2","5708735","5708735","11400","487","11400","487"
"2026-08-04","0","29926495","29926495","11900","2599","11900","2599"
"2026-08-03","0","7958140","7958140","11900","669","11900","669"
"2026-07-31","2.15","3601685","3601685","11900","305","11900","305"
"2026-07-30","-1.27","11405600","11405600","11650","973","11650","973"
"2026-07-29","-1.09","8850250","8850250","11800","747","11800","747"
"2026-07-28","-0.08","4920450","4920450","11930","418","11930","418"
"2026-07-27","0.97","2702290","2702290","11940","226","11940","226"
"2026-07-24","-0.63","13481040","13481040","11825","1139","11825","1139"
