"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","1.3","25173440","25173440","7800","3205","7800","3205"
"2026-09-08","-5.41","68733260","68733260","7700","8944","7700","8944"
"2026-09-07","-7.5","40699600","40699600","8140","4970","8140","4970"
"2026-09-04","-0.85","107147415","107147415","8800","12015","8800","12015"
"2026-09-03","4.53","35895230","35895230","8875","4133","8875","4133"
"2026-09-02","2.29","68097240","68097240","8490","8045","8490","8045"
"2026-09-01","0.61","39776405","39776405","8300","4814","8300","4814"
"2026-08-31","0.61","24928610","24928610","8250","3037","8250","3037"
"2026-08-28","0","28026150","28026150","8200","3412","8200","3412"
"2026-08-27","0","23014460","23014460","8200","2797","8200","2797"
"2026-08-26","-0.61","13912690","13912690","8200","1691","8200","1691"
"2026-08-24","0.92","23052155","23052155","8250","2807","8250","2807"
"2026-08-21","-0.24","15843345","15843345","8175","1938","8175","1938"
"2026-08-20","-1.15","36165890","36165890","8195","4416","8195","4416"
"2026-08-19","4.94","23012920","23012920","8290","2823","8290","2823"
"2026-08-18","0.64","18023285","18023285","7900","2275","7900","2275"
"2026-08-17","0","43805845","43805845","7850","5554","7850","5554"
"2026-08-14","7.31","5470710","5470710","7850","697","7850","697"
"2026-08-13","-6.93","1173524640","1173524640","7315","160654","7315","160654"
"2026-08-12","-0.69","10339815","10339815","7860","1313","7860","1313"
"2026-08-11","0.51","11270375","11270375","7915","1420","7915","1420"
"2026-08-10","-2.78","29154695","29154695","7875","3659","7875","3659"
"2026-08-06","0","6240085","6240085","8100","771","8100","771"
"2026-08-05","-3.57","10622255","10622255","8100","1331","8100","1331"
"2026-08-04","0","12320685","12320685","8400","1468","8400","1468"
"2026-08-03","1.14","22275430","22275430","8400","2652","8400","2652"
"2026-07-31","2.53","38849985","38849985","8305","4773","8305","4773"
"2026-07-30","-2.41","21134375","21134375","8100","2563","8100","2563"
"2026-07-29","-0.95","27268190","27268190","8300","3309","8300","3309"
"2026-07-28","3.46","26260565","26260565","8380","3170","8380","3170"
"2026-07-27","-1.46","123650110","123650110","8100","15144","8100","15144"
"2026-07-24","-0.96","16058170","16058170","8220","1938","8220","1938"
"2026-07-23","1.22","8581095","8581095","8300","1032","8300","1032"
"2026-07-22","0.61","21501080","21501080","8200","2650","8200","2650"
"2026-07-21","1.88","2452440","2452440","8150","301","8150","301"
"2026-07-20","-0.12","48942080","48942080","8000","6117","8000","6117"
"2026-07-17","0.13","6981875","6981875","8010","870","8010","870"
"2026-07-16","-2.44","23013665","23013665","8000","2876","8000","2876"
"2026-07-15","0","15326945","15326945","8200","1889","8200","1889"
