"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0.8","22756485","22756485","38000","599","38000","599"
"2026-09-08","1.34","45881150","45881150","37700","1217","37700","1217"
"2026-09-07","-0.13","148202095","148202095","37200","4017","37200","4017"
"2026-09-04","-1.95","141437555","141437555","37250","3751","37250","3751"
"2026-09-03","0","18277035","18277035","37990","481","37990","481"
"2026-09-02","-0.03","94100435","94100435","37990","2484","37990","2484"
"2026-09-01","0","11074665","11074665","38000","292","38000","292"
"2026-08-31","2.7","2751295","2751295","38000","73","38000","73"
"2026-08-28","-1.33","142696915","142696915","37000","3841","37000","3841"
"2026-08-27","-0.66","211241250","211241250","37500","5576","37500","5576"
"2026-08-26","0.53","16210475","16210475","37750","431","37750","431"
"2026-08-24","1.47","7280600","7280600","37550","194","37550","194"
"2026-08-21","-1.84","52229945","52229945","37005","1396","37005","1396"
"2026-08-20","-0.79","56366860","56366860","37700","1502","37700","1502"
"2026-08-19","1.33","166598320","166598320","38000","4470","38000","4470"
"2026-08-18","-1.32","11126525","11126525","37500","295","37500","295"
"2026-08-17","2.01","24992185","24992185","38000","662","38000","662"
"2026-08-14","-1.97","15511220","15511220","37250","416","37250","416"
"2026-08-13","2.15","12034200","12034200","38000","322","38000","322"
"2026-08-12","-0.53","89311710","89311710","37200","2355","37200","2355"
"2026-08-11","1.07","93062635","93062635","37400","2512","37400","2512"
"2026-08-10","0.01","85112560","85112560","37005","2294","37005","2294"
"2026-08-06","0.27","11914005","11914005","37000","322","37000","322"
"2026-08-05","-2.04","8290340","8290340","36900","221","36900","221"
"2026-08-04","-0.08","104140875","104140875","37670","2793","37670","2793"
"2026-08-03","-0.13","35290850","35290850","37700","935","37700","935"
"2026-07-31","-4.89","85496840","85496840","37750","2246","37750","2246"
"2026-07-30","5.28","6743320","6743320","39690","171","39690","171"
"2026-07-29","-4.56","66470305","66470305","37700","1750","37700","1750"
"2026-07-28","0","518213480","518213480","39500","13111","39500","13111"
"2026-07-27","0.01","82306520","82306520","39500","2087","39500","2087"
"2026-07-24","-1.25","19899230","19899230","39495","503","39495","503"
"2026-07-23","2.56","30391015","30391015","39995","751","39995","751"
"2026-07-22","0","335556280","335556280","38995","8608","38995","8608"
"2026-07-21","-0.03","45995860","45995860","38995","1171","38995","1171"
"2026-07-20","-0.38","13555950","13555950","39005","343","39005","343"
"2026-07-17","0.1","5977910","5977910","39155","148","39155","148"
"2026-07-16","-1.97","7416910","7416910","39115","188","39115","188"
"2026-07-15","2.03","46830100","46830100","39900","1268","39900","1268"
"2026-07-14","0.01","6092020","6092020","39105","153","39105","153"
"2026-07-13","-2.03","6733250","6733250","39100","166","39100","166"
"2026-07-10","-0.47","3609185","3609185","39910","89","39910","89"
"2026-07-09","0.5","842619200","842619200","40100","21062","40100","21062"
"2026-07-08","-3.86","5263095","5263095","39900","130","39900","130"
"2026-07-07","4.01","21348100","21348100","41500","539","41500","539"
"2026-07-06","1.79","22386095","22386095","39900","572","39900","572"
"2026-07-03","0.51","3519075","3519075","39200","88","39200","88"
"2026-07-02","0.26","30451660","30451660","39000","769","39000","769"
"2026-07-01","-0.13","36818405","36818405","38900","951","38900","951"
"2026-06-30","0.4","8064830","8064830","38950","207","38950","207"
"2026-06-29","1.16","14227545","14227545","38795","367","38795","367"
"2026-06-26","-0.39","10140090","10140090","38350","263","38350","263"
"2026-06-25","0.01","10571625","10571625","38500","274","38500","274"
"2026-06-24","1.04","12505465","12505465","38495","326","38495","326"
"2026-06-23","-2.06","17720440","17720440","38100","458","38100","458"
"2026-06-22","0.26","296519300","296519300","38900","7622","38900","7622"
"2026-06-19","-0.51","18625550","18625550","38800","479","38800","479"
"2026-06-18","0","14811850","14811850","39000","380","39000","380"
"2026-06-17","0","68006500","68006500","39000","1748","39000","1748"
"2026-06-16","0.26","3094420","3094420","39000","80","39000","80"
"2026-06-15","-0.26","8725620","8725620","38900","224","38900","224"
"2026-06-12","1.3","9351765","9351765","39000","238","39000","238"
"2026-06-11","1.29","30061745","30061745","38500","779","38500","779"
"2026-06-10","2.72","8338465","8338465","38010","214","38010","214"
"2026-06-09","-2.67","89989360","89989360","37005","2379","37005","2379"
"2026-06-08","-1.25","9521280","9521280","38020","244","38020","244"
"2026-06-05","-1.23","9723785","9723785","38500","253","38500","253"
"2026-06-04","-0.05","8180170","8180170","38980","209","38980","209"
"2026-06-03","-0.76","8051850","8051850","39000","207","39000","207"
"2026-06-02","3.42","38038185","38038185","39300","967","39300","967"
"2026-06-01","-1.3","18427630","18427630","38000","476","38000","476"
"2026-05-29","-1.14","18334155","18334155","38500","473","38500","473"
"2026-05-28","2.46","4168860","4168860","38945","108","38945","108"
"2026-05-26","0.17","9574465","9574465","38010","251","38010","251"
"2026-05-22","0","17381740","17381740","37945","458","37945","458"
"2026-05-21","0.38","176862890","176862890","37945","5027","37945","5027"
"2026-05-20","0.79","66708145","66708145","37800","1771","37800","1771"
"2026-05-19","-1.04","4546850","4546850","37505","121","37505","121"
"2026-05-18","0","9286410","9286410","37900","245","37900","245"
"2026-05-15","-0.25","5612510","5612510","37900","148","37900","148"
"2026-05-13","1.32","2579935","2579935","37995","68","37995","68"
"2026-05-12","-1.06","17068290","17068290","37500","453","37500","453"
"2026-05-11","1.07","2731300","2731300","37900","72","37900","72"
"2026-05-08","0","4460000","4460000","37500","118","37500","118"
"2026-05-07","0","5775005","5775005","37500","154","37500","154"
"2026-05-06","1.21","2696850","2696850","37500","72","37500","72"
"2026-05-05","-0.94","6959100","6959100","37050","188","37050","188"
"2026-05-04","5.23","5401600","5401600","37400","146","37400","146"
"2026-04-30","-3.95","3842200","3842200","35540","107","35540","107"
"2026-04-29","0","6173210","6173210","37000","166","37000","166"
"2026-04-28","-2.63","7125655","7125655","37000","188","37000","188"
"2026-04-27","1.33","3035385","3035385","38000","83","38000","83"
"2026-04-24","-4.96","4335465","4335465","37500","114","37500","114"
"2026-04-23","3.83","17142555","17142555","39455","461","39455","461"
"2026-04-22","-1.3","6186500","6186500","38000","162","38000","162"
"2026-04-21","-1.76","1713930","1713930","38500","44","38500","44"
"2026-04-20","-1.53","3924550","3924550","39190","103","39190","103"
"2026-04-17","-0.46","2904210","2904210","39800","73","39800","73"
"2026-04-16","2.53","1948275","1948275","39985","49","39985","49"
"2026-04-15","1.58","21922220","21922220","39000","563","39000","563"
"2026-04-14","3.21","2550815","2550815","38395","67","38395","67"
"2026-04-13","0","14957730","14957730","37200","398","37200","398"
"2026-04-10","-0.8","7179590","7179590","37200","193","37200","193"
"2026-04-09","0","8175765","8175765","37500","218","37500","218"
"2026-04-08","-1.32","5664600","5664600","37500","152","37500","152"
"2026-04-07","-2.31","18977950","18977950","38000","488","38000","488"
"2026-04-03","0.13","1438400","1438400","38900","37","38900","37"
"2026-04-02","-0.38","2414600","2414600","38850","62","38850","62"
"2026-04-01","0","6640500","6640500","39000","170","39000","170"
"2026-03-31","0.78","79500970","79500970","39000","2047","39000","2047"
"2026-03-30","-0.26","37843550","37843550","38700","977","38700","977"
"2026-03-27","-0.51","5371800","5371800","38800","138","38800","138"
"2026-03-26","0.13","2027670","2027670","39000","52","39000","52"
"2026-03-25","-0.13","3353900","3353900","38950","86","38950","86"
"2026-03-24","0.21","8510300","8510300","39000","218","39000","218"
"2026-03-23","-0.71","10779440","10779440","38920","274","38920","274"
"2026-03-19","0.51","7280450","7280450","39200","185","39200","185"
"2026-03-18","-1.28","11694490","11694490","39000","297","39000","297"
"2026-03-17","-0.01","14475160","14475160","39505","366","39505","366"
"2026-03-13","0.03","7262220","7262220","39510","183","39510","183"
"2026-03-12","0","8508405","8508405","39500","216","39500","216"
"2026-03-11","1.24","24765945","24765945","39500","620","39500","620"
"2026-03-10","1.65","22889805","22889805","39015","572","39015","572"
"2026-03-09","7.49","9996245","9996245","38380","273","38380","273"
"2026-03-06","-7.26","40433525","40433525","35705","1078","35705","1078"
"2026-03-05","-5.73","31463225","31463225","38500","814","38500","814"
"2026-03-04","-7.5","73500880","73500880","40840","1778","40840","1778"
"2026-03-03","-0.8","69831380","69831380","44150","1534","44150","1534"
"2026-03-02","0.98","31750685","31750685","44505","682","44505","682"
"2026-02-27","7.5","12266025","12266025","44075","279","44075","279"
"2026-02-26","7.32","40872560","40872560","41000","1003","41000","1003"
"2026-02-25","7.5","23862785","23862785","38205","638","38205","638"
"2026-02-24","0","7524580","7524580","35540","206","35540","206"
"2026-02-23","0","23863370","23863370","35540","664","35540","664"
"2026-02-20","7.49","7712180","7712180","35540","217","35540","217"
"2026-02-19","-2.75","22423425","22423425","33065","645","33065","645"
"2026-02-18","4.63","7031170","7031170","34000","209","34000","209"
"2026-02-17","4.72","27536370","27536370","32495","869","32495","869"
"2026-02-16","0.03","7431700","7431700","31030","237","31030","237"
"2026-02-13","1.21","4650090","4650090","31020","152","31020","152"
"2026-02-12","2.17","7427290","7427290","30650","245","30650","245"
"2026-02-11","-0.33","29632960","29632960","30000","982","30000","982"
"2026-02-10","4.28","9638430","9638430","30100","324","30100","324"
"2026-02-09","0.03","19155675","19155675","28865","663","28865","663"
"2026-02-06","3.05","9039680","9039680","28855","312","28855","312"
"2026-02-05","0","26217450","26217450","28000","934","28000","934"
"2026-02-04","0.04","7955900","7955900","28000","279","28000","279"
