"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0","15891675","15891675","2870","5562","2870","5562"
"2026-09-08","0","11875980","11875980","2870","4140","2870","4140"
"2026-09-07","-1.71","13632005","13632005","2870","4774","2870","4774"
"2026-09-04","0","11499925","11499925","2920","3914","2920","3914"
"2026-09-03","4.1","5986550","5986550","2920","2075","2920","2075"
"2026-09-02","-3.28","23000650","23000650","2805","8058","2805","8058"
"2026-09-01","0.35","20923900","20923900","2900","7254","2900","7254"
"2026-08-31","-0.34","15382905","15382905","2890","5337","2890","5337"
"2026-08-28","0","5340540","5340540","2900","1844","2900","1844"
"2026-08-27","0.52","41964905","41964905","2900","14630","2900","14630"
"2026-08-26","-0.17","5663370","5663370","2885","1957","2885","1957"
"2026-08-24","0.17","17938880","17938880","2890","6198","2890","6198"
"2026-08-21","-1.87","14007195","14007195","2885","4845","2885","4845"
"2026-08-20","-0.17","11426635","11426635","2940","3925","2940","3925"
"2026-08-19","1.55","44878940","44878940","2945","15573","2945","15573"
"2026-08-18","0","17278665","17278665","2900","5976","2900","5976"
"2026-08-17","3.57","24402795","24402795","2900","8368","2900","8368"
"2026-08-14","0","4578855","4578855","2800","1637","2800","1637"
"2026-08-13","-3.45","8851065","8851065","2800","3132","2800","3132"
"2026-08-12","-0.17","3499940","3499940","2900","1214","2900","1214"
"2026-08-11","-0.17","6845715","6845715","2905","2378","2905","2378"
"2026-08-10","-1.02","21098325","21098325","2910","7424","2910","7424"
"2026-08-06","-1.51","5002275","5002275","2940","1693","2940","1693"
"2026-08-05","1.53","17771660","17771660","2985","6058","2985","6058"
"2026-08-04","-1.67","5827225","5827225","2940","1986","2940","1986"
"2026-08-03","-0.17","8148415","8148415","2990","2793","2990","2793"
"2026-07-31","6.77","14778660","14778660","2995","5108","2995","5108"
"2026-07-30","-1.58","5893380","5893380","2805","2105","2805","2105"
"2026-07-29","1.97","14512805","14512805","2850","5162","2850","5162"
"2026-07-28","0.18","13853620","13853620","2795","5091","2795","5091"
"2026-07-27","-0.36","12333150","12333150","2790","4478","2790","4478"
"2026-07-24","0.9","13455075","13455075","2800","4820","2800","4820"
"2026-07-23","1.09","8223625","8223625","2775","2975","2775","2975"
"2026-07-22","0","10096480","10096480","2745","3749","2745","3749"
"2026-07-21","2.62","228413940","228413940","2745","84400","2745","84400"
"2026-07-20","0","5124115","5124115","2675","1921","2675","1921"
"2026-07-17","-0.74","5675645","5675645","2675","2113","2675","2113"
"2026-07-16","-1.82","8521905","8521905","2695","3157","2695","3157"
"2026-07-15","1.67","42374440","42374440","2745","15499","2745","15499"
"2026-07-14","0","13436340","13436340","2700","5025","2700","5025"
"2026-07-13","-3.57","42713990","42713990","2700","15584","2700","15584"
"2026-07-10","0.36","7650280","7650280","2800","2751","2800","2751"
"2026-07-09","-0.18","3529615","3529615","2790","1275","2790","1275"
"2026-07-08","-1.06","6768540","6768540","2795","2415","2795","2415"
"2026-07-07","-0.7","7233815","7233815","2825","2572","2825","2572"
"2026-07-06","1.61","25563810","25563810","2845","9306","2845","9306"
"2026-07-03","-0.18","13128680","13128680","2800","4760","2800","4760"
"2026-07-02","0.18","45124030","45124030","2805","16177","2805","16177"
"2026-07-01","0","6735340","6735340","2800","2393","2800","2393"
"2026-06-30","0","11877480","11877480","2800","4149","2800","4149"
"2026-06-29","-0.71","5741610","5741610","2800","2043","2800","2043"
"2026-06-26","0.53","2689675","2689675","2820","954","2820","954"
"2026-06-25","0.18","13046925","13046925","2805","4628","2805","4628"
"2026-06-24","0","8181710","8181710","2800","2950","2800","2950"
"2026-06-23","0","8366405","8366405","2800","3027","2800","3027"
"2026-06-22","3.7","23111000","23111000","2800","8562","2800","8562"
