"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","1.7","23470805","23470805","3295","7191","3295","7191"
"2026-09-08","1.25","26421870","26421870","3240","8316","3240","8316"
"2026-09-07","-5.04","133339080","133339080","3200","40448","3200","40448"
"2026-09-04","0.6","12562970","12562970","3370","3736","3370","3736"
"2026-09-03","-1.18","15850965","15850965","3350","4699","3350","4699"
"2026-09-02","-0.15","18243610","18243610","3390","5362","3390","5362"
"2026-09-01","0.59","32600605","32600605","3395","9552","3395","9552"
"2026-08-31","-0.74","29222900","29222900","3375","8530","3375","8530"
"2026-08-28","-4.23","17672825","17672825","3400","5294","3400","5294"
"2026-08-27","-1.25","19740240","19740240","3550","5537","3550","5537"
"2026-08-26","5.74","39433410","39433410","3595","11364","3595","11364"
"2026-08-24","0","42271110","42271110","3400","12198","3400","12198"
"2026-08-21","3.19","22849060","22849060","3400","6686","3400","6686"
"2026-08-20","2.01","16405760","16405760","3295","5002","3295","5002"
"2026-08-19","-2.12","14438315","14438315","3230","4462","3230","4462"
"2026-08-18","2.8","67963150","67963150","3300","21097","3300","21097"
"2026-08-17","1.9","62131050","62131050","3210","18980","3210","18980"
"2026-08-14","5","15136520","15136520","3150","4871","3150","4871"
"2026-08-13","0.17","6408315","6408315","3000","2144","3000","2144"
"2026-08-12","1.53","14002200","14002200","2995","4728","2995","4728"
"2026-08-11","-1.5","18572880","18572880","2950","6202","2950","6202"
"2026-08-10","6.77","8533870","8533870","2995","2907","2995","2907"
"2026-08-06","-5.87","10083675","10083675","2805","3506","2805","3506"
"2026-08-05","2.58","3971600","3971600","2980","1345","2980","1345"
"2026-08-04","-2.84","8060405","8060405","2905","2716","2905","2716"
"2026-08-03","0.5","21607395","21607395","2990","7265","2990","7265"
"2026-07-31","7.4","6494700","6494700","2975","2184","2975","2184"
"2026-07-30","-7.36","24964070","24964070","2770","8892","2770","8892"
"2026-07-29","-0.33","15565330","15565330","2990","5236","2990","5236"
"2026-07-28","0.33","44759350","44759350","3000","15015","3000","15015"
"2026-07-27","-0.17","5879705","5879705","2990","1998","2990","1998"
"2026-07-24","-0.17","9549015","9549015","2995","3210","2995","3210"
"2026-07-23","1.69","9164575","9164575","3000","3087","3000","3087"
"2026-07-22","2.25","11905595","11905595","2950","4107","2950","4107"
"2026-07-21","0.35","3470290","3470290","2885","1205","2885","1205"
"2026-07-20","-0.86","3580860","3580860","2875","1239","2875","1239"
"2026-07-17","0","12154795","12154795","2900","4252","2900","4252"
"2026-07-16","3.57","25835790","25835790","2900","9368","2900","9368"
"2026-07-15","-4.92","38089180","38089180","2800","13280","2800","13280"
"2026-07-14","-1.51","9200560","9200560","2945","3103","2945","3103"
"2026-07-13","6.79","6966100","6966100","2990","2372","2990","2372"
"2026-07-10","-4.11","31935675","31935675","2800","11198","2800","11198"
"2026-07-09","2.46","9074135","9074135","2920","3113","2920","3113"
"2026-07-08","-3.06","194047680","194047680","2850","69260","2850","69260"
"2026-07-07","0","8923515","8923515","2940","3072","2940","3072"
"2026-07-06","0.51","7947285","7947285","2940","2728","2940","2728"
"2026-07-03","-0.68","6520545","6520545","2925","2230","2925","2230"
"2026-07-02","-0.17","26389870","26389870","2945","9103","2945","9103"
"2026-07-01","2.79","10374120","10374120","2950","3683","2950","3683"
"2026-06-30","2.68","28442880","28442880","2870","9833","2870","9833"
"2026-06-29","-2.1","40872065","40872065","2795","14389","2795","14389"
"2026-06-26","2.7","24264890","24264890","2855","8664","2855","8664"
"2026-06-25","-2.63","17061560","17061560","2780","6066","2780","6066"
"2026-06-24","-1.38","12150495","12150495","2855","4282","2855","4282"
