"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","1.32","11401590","11401590","3840","2954","3840","2954"
"2026-09-08","-0.26","3774590","3774590","3790","994","3790","994"
"2026-09-07","-1.04","13237305","13237305","3800","3446","3800","3446"
"2026-09-04","-0.26","6019505","6019505","3840","1575","3840","1575"
"2026-09-03","-0.13","4100850","4100850","3850","1070","3850","1070"
"2026-09-02","0","8818840","8818840","3855","2288","3855","2288"
"2026-09-01","1.45","16284265","16284265","3855","4239","3855","4239"
"2026-08-31","0.13","6840395","6840395","3800","1819","3800","1819"
"2026-08-28","2.99","6378870","6378870","3795","1727","3795","1727"
"2026-08-27","-3.03","23741005","23741005","3685","6384","3685","6384"
"2026-08-26","-1.3","8727795","8727795","3800","2307","3800","2307"
"2026-08-24","-1.28","10655620","10655620","3850","2759","3850","2759"
"2026-08-21","-1.64","13823410","13823410","3900","3491","3900","3491"
"2026-08-20","7.16","7690505","7690505","3965","1964","3965","1964"
"2026-08-19","-2.63","8635945","8635945","3700","2275","3700","2275"
"2026-08-18","2.7","14671750","14671750","3800","3926","3800","3926"
"2026-08-17","3.21","8895430","8895430","3700","2434","3700","2434"
"2026-08-14","-0.42","1759690","1759690","3585","491","3585","491"
"2026-08-13","0","6018100","6018100","3600","1684","3600","1684"
"2026-08-12","0","10636090","10636090","3600","2995","3600","2995"
"2026-08-11","0","10595445","10595445","3600","2965","3600","2965"
"2026-08-10","2.86","3991440","3991440","3600","1109","3600","1109"
"2026-08-06","-3.58","5575120","5575120","3500","1573","3500","1573"
"2026-08-05","3.71","2425100","2425100","3630","681","3630","681"
"2026-08-04","-4.24","8859185","8859185","3500","2450","3500","2450"
"2026-08-03","0","7520870","7520870","3655","2070","3655","2070"
"2026-07-31","0.14","6419350","6419350","3655","1779","3655","1779"
"2026-07-30","0.69","8223565","8223565","3650","2283","3650","2283"
"2026-07-29","-0.68","11862620","11862620","3625","3305","3625","3305"
"2026-07-28","-1.35","17416305","17416305","3650","4799","3650","4799"
"2026-07-27","-1.33","10015720","10015720","3700","2698","3700","2698"
"2026-07-24","-1.32","5299075","5299075","3750","1407","3750","1407"
"2026-07-23","2.7","7538335","7538335","3800","2026","3800","2026"
