"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-2.11","2788455","2788455","4400","622","4400","622"
"2026-09-08","3.33","3790970","3790970","4495","870","4495","870"
"2026-09-07","0","8274460","8274460","4350","1894","4350","1894"
"2026-09-04","-1.14","8328000","8328000","4350","1891","4350","1891"
"2026-09-03","0","5675295","5675295","4400","1281","4400","1281"
"2026-09-02","-2","4860260","4860260","4400","1104","4400","1104"
"2026-09-01","1.24","4276845","4276845","4490","962","4490","962"
"2026-08-31","-1.22","1348375","1348375","4435","301","4435","301"
"2026-08-28","-1.21","5625530","5625530","4490","1288","4490","1288"
"2026-08-27","-0.11","1266175","1266175","4545","278","4545","278"
"2026-08-26","1.79","5393095","5393095","4550","1209","4550","1209"
"2026-08-24","0","3546300","3546300","4470","796","4470","796"
"2026-08-21","-0.11","1838995","1838995","4470","410","4470","410"
"2026-08-20","1.59","1649575","1649575","4475","371","4475","371"
"2026-08-19","0","7022515","7022515","4405","1590","4405","1590"
"2026-08-18","-1.01","3147300","3147300","4405","712","4405","712"
"2026-08-17","-1","1163870","1163870","4450","264","4450","264"
"2026-08-14","0","759765","759765","4495","169","4495","169"
"2026-08-13","2.16","632900","632900","4495","141","4495","141"
"2026-08-12","0","1134600","1134600","4400","257","4400","257"
"2026-08-11","-1.12","642600","642600","4400","146","4400","146"
"2026-08-10","-0.67","5566460","5566460","4450","1302","4450","1302"
"2026-08-06","-0.11","2011530","2011530","4480","464","4480","464"
"2026-08-05","1.93","1244255","1244255","4485","283","4485","283"
"2026-08-04","0","3242700","3242700","4400","769","4400","769"
"2026-08-03","-2.55","2030450","2030450","4400","458","4400","458"
"2026-07-31","-0.11","928875","928875","4515","206","4515","206"
"2026-07-30","-0.66","4293970","4293970","4520","945","4520","945"
"2026-07-29","1.22","3499090","3499090","4550","793","4550","793"
"2026-07-28","-1.21","10733760","10733760","4495","2507","4495","2507"
"2026-07-27","-1.3","1612775","1612775","4550","356","4550","356"
"2026-07-24","0.11","4250940","4250940","4610","920","4610","920"
"2026-07-23","-0.54","4171480","4171480","4605","906","4605","906"
"2026-07-22","-0.32","1636750","1636750","4630","354","4630","354"
"2026-07-21","0.98","3385615","3385615","4645","731","4645","731"
"2026-07-20","2.22","5213820","5213820","4600","1132","4600","1132"
"2026-07-17","0.67","2987240","2987240","4500","664","4500","664"
"2026-07-16","4.2","6539985","6539985","4470","1471","4470","1471"
"2026-07-15","-0.23","3099995","3099995","4290","723","4290","723"
"2026-07-14","-2.27","3343375","3343375","4300","793","4300","793"
"2026-07-13","2.8","2865965","2865965","4400","671","4400","671"
"2026-07-10","-2.51","2628860","2628860","4280","611","4280","611"
"2026-07-09","-2.44","2024890","2024890","4390","472","4390","472"
"2026-07-08","0","721650","721650","4500","161","4500","161"
"2026-07-07","0","3412400","3412400","4500","757","4500","757"
"2026-07-06","0","3267995","3267995","4500","723","4500","723"
"2026-07-03","-0.44","4247445","4247445","4500","940","4500","940"
"2026-07-02","-1.74","1700100","1700100","4520","375","4520","375"
"2026-07-01","-2.13","1454090","1454090","4600","312","4600","312"
"2026-06-30","1.08","5871170","5871170","4700","1263","4700","1263"
"2026-06-29","1.2","3722135","3722135","4650","802","4650","802"
"2026-06-26","-0.54","1941045","1941045","4595","422","4595","422"
"2026-06-25","0.43","1876910","1876910","4620","410","4620","410"
"2026-06-24","0","3676955","3676955","4600","829","4600","829"
"2026-06-23","-2.02","5435145","5435145","4600","1165","4600","1165"
"2026-06-22","-0.11","5877010","5877010","4695","1256","4695","1256"
"2026-06-19","-0.84","8827645","8827645","4700","1879","4700","1879"
