"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","-3","17844225","17844225","3395","5306","3395","5306"
"2026-09-08","0","24556620","24556620","3500","7071","3500","7071"
"2026-09-07","-1.82","25702560","25702560","3500","7367","3500","7367"
"2026-09-04","-0.14","19899395","19899395","3565","5577","3565","5577"
"2026-09-03","-0.97","19516750","19516750","3570","5459","3570","5459"
"2026-09-02","0.42","12894870","12894870","3605","3573","3605","3573"
"2026-09-01","-0.97","28099145","28099145","3590","7737","3590","7737"
"2026-08-31","7.41","35202965","35202965","3625","9992","3625","9992"
"2026-08-28","0","16037210","16037210","3375","4809","3375","4809"
"2026-08-27","0","12358705","12358705","3375","3659","3375","3659"
"2026-08-26","0.45","14897910","14897910","3375","4423","3375","4423"
"2026-08-24","-0.59","41127930","41127930","3360","12137","3360","12137"
"2026-08-21","0.9","28579645","28579645","3380","8444","3380","8444"
"2026-08-20","-4.15","62798765","62798765","3350","18476","3350","18476"
"2026-08-19","-1.96","66381075","66381075","3495","18964","3495","18964"
"2026-08-18","-0.7","34372715","34372715","3565","9613","3565","9613"
"2026-08-17","-1.91","49793465","49793465","3590","14007","3590","14007"
"2026-08-14","-0.95","11483200","11483200","3660","3134","3660","3134"
"2026-08-13","2.78","14307370","14307370","3695","3942","3695","3942"
"2026-08-12","-1.78","28591290","28591290","3595","7908","3595","7908"
"2026-08-11","1.1","20242665","20242665","3660","5575","3660","5575"
"2026-08-10","1.97","22229920","22229920","3620","6187","3620","6187"
"2026-08-06","-0.7","17332370","17332370","3550","4769","3550","4769"
"2026-08-05","-2.19","17643660","17643660","3575","4921","3575","4921"
"2026-08-04","-1.22","27294565","27294565","3655","7514","3655","7514"
"2026-08-03","1.51","17446865","17446865","3700","4780","3700","4780"
"2026-07-31","-4.08","19894465","19894465","3645","5370","3645","5370"
"2026-07-30","0.8","34207630","34207630","3800","8934","3800","8934"
"2026-07-29","4.72","19304355","19304355","3770","5133","3770","5133"
"2026-07-28","1.41","31444260","31444260","3600","8776","3600","8776"
"2026-07-27","1.57","44878950","44878950","3550","12813","3550","12813"
"2026-07-24","-0.14","19201545","19201545","3495","5494","3495","5494"
"2026-07-23","-1.41","35459895","35459895","3500","10074","3500","10074"
"2026-07-22","0.71","12382290","12382290","3550","3506","3550","3506"
"2026-07-21","-5.24","29324170","29324170","3525","8156","3525","8156"
"2026-07-20","0.4","38726665","38726665","3720","10215","3720","10215"
"2026-07-17","-5.48","22748345","22748345","3705","5978","3705","5978"
"2026-07-16","7.4","46253895","46253895","3920","12005","3920","12005"
"2026-07-15","5.49","49171710","49171710","3650","13669","3650","13669"
"2026-07-14","0","18871450","18871450","3460","5515","3460","5515"
"2026-07-13","-1","21310020","21310020","3460","6122","3460","6122"
"2026-07-10","5.75","23491940","23491940","3495","6944","3495","6944"
"2026-07-09","-6.9","56851240","56851240","3305","17068","3305","17068"
"2026-07-08","-2.74","23998330","23998330","3550","6623","3550","6623"
"2026-07-07","-0.68","43570255","43570255","3650","11791","3650","11791"
"2026-07-06","1.8","27201795","27201795","3675","7474","3675","7474"
"2026-07-03","3.14","41778960","41778960","3610","11655","3610","11655"
"2026-07-02","3.09","44651850","44651850","3500","12840","3500","12840"
"2026-07-01","3.19","23620395","23620395","3395","7146","3395","7146"
"2026-06-30","0.3","8966100","8966100","3290","2724","3290","2724"
"2026-06-29","3.47","25464325","25464325","3280","7850","3280","7850"
"2026-06-26","2.09","32632405","32632405","3170","10406","3170","10406"
"2026-06-25","0.49","21564445","21564445","3105","6903","3105","6903"
"2026-06-24","1.31","53641740","53641740","3090","17281","3090","17281"
"2026-06-23","-1.61","30944060","30944060","3050","10037","3050","10037"
"2026-06-22","0","28020775","28020775","3100","9018","3100","9018"
"2026-06-19","3.33","39592305","39592305","3100","12650","3100","12650"
"2026-06-18","0.33","72137230","72137230","3000","24943","3000","24943"
"2026-06-17","-3.55","32600915","32600915","2990","10864","2990","10864"
"2026-06-16","-1.59","49222895","49222895","3100","16148","3100","16148"
"2026-06-15","-1.41","18890115","18890115","3150","6092","3150","6092"
"2026-06-12","3.9","13730565","13730565","3195","4351","3195","4351"
"2026-06-11","6.03","35368305","35368305","3075","11727","3075","11727"
"2026-06-10","1.75","19176980","19176980","2900","6647","2900","6647"
"2026-06-09","1.79","73113950","73113950","2850","26202","2850","26202"
"2026-06-08","0.54","41891985","41891985","2800","14990","2800","14990"
"2026-06-05","0.18","19032985","19032985","2785","6808","2785","6808"
"2026-06-04","-2.28","21440730","21440730","2780","7663","2780","7663"
"2026-06-03","2.34","10867585","10867585","2845","3882","2845","3882"
"2026-06-02","0.36","20275745","20275745","2780","7348","2780","7348"
"2026-06-01","-0.18","20707825","20707825","2770","7525","2770","7525"
"2026-05-29","4.72","56347960","56347960","2775","20608","2775","20608"
"2026-05-28","6","45103400","45103400","2650","17166","2650","17166"
"2026-05-26","-5.48","44590705","44590705","2500","17388","2500","17388"
"2026-05-22","7.3","117929045","117929045","2645","44608","2645","44608"
"2026-05-21","7.41","49781605","49781605","2465","20424","2465","20424"
"2026-05-20","4.08","26465075","26465075","2295","11737","2295","11737"
"2026-05-19","-7.35","52121620","52121620","2205","22769","2205","22769"
"2026-05-18","-6.67","33795060","33795060","2380","14016","2380","14016"
"2026-05-15","3.87","29959620","29959620","2550","11831","2550","11831"
"2026-05-13","7.44","47026850","47026850","2455","19357","2455","19357"
"2026-05-12","1.11","18361815","18361815","2285","8131","2285","8131"
"2026-05-11","-6.03","28671590","28671590","2260","12393","2260","12393"
"2026-05-08","7.37","39042550","39042550","2405","16410","2405","16410"
"2026-05-07","7.43","21628600","21628600","2240","9972","2240","9972"
"2026-05-06","0.24","41263280","41263280","2085","19817","2085","19817"
"2026-05-05","-2.58","23276620","23276620","2080","10960","2080","10960"
"2026-05-04","7.29","114868375","114868375","2135","58348","2135","58348"
"2026-04-30","-0.25","5620555","5620555","1990","2822","1990","2822"
"2026-04-29","0.25","9362910","9362910","1995","4699","1995","4699"
"2026-04-28","-0.25","7249680","7249680","1990","3635","1990","3635"
"2026-04-27","0","18994565","18994565","1995","9520","1995","9520"
"2026-04-24","-0.25","19089570","19089570","1995","9555","1995","9555"
"2026-04-23","-1.72","41193325","41193325","2000","20590","2000","20590"
"2026-04-22","1.24","19007380","19007380","2035","9409","2035","9409"
"2026-04-21","-1.47","22334600","22334600","2010","11062","2010","11062"
"2026-04-20","0","22082415","22082415","2040","10806","2040","10806"
"2026-04-17","-0.49","26787215","26787215","2040","13375","2040","13375"
"2026-04-16","2.76","28005420","28005420","2050","13991","2050","13991"
"2026-04-15","-0.25","19379975","19379975","1995","9718","1995","9718"
"2026-04-14","0.25","66624700","66624700","2000","33434","2000","33434"
"2026-04-13","-1.48","55306155","55306155","1995","27674","1995","27674"
"2026-04-10","-4.71","78137185","78137185","2025","37087","2025","37087"
"2026-04-09","7.32","22195650","22195650","2125","10521","2125","10521"
"2026-04-08","4.21","54785105","54785105","1980","28321","1980","28321"
"2026-04-07","-2.31","75376135","75376135","1900","39083","1900","39083"
"2026-04-03","7.46","82161675","82161675","1945","43236","1945","43236"
"2026-04-02","4.62","31094650","31094650","1810","16994","1810","16994"
"2026-04-01","7.45","18570910","18570910","1730","10893","1730","10893"
"2026-03-31","3.87","22477155","22477155","1610","14205","1610","14205"
"2026-03-30","-1.9","4602750","4602750","1550","2944","1550","2944"
"2026-03-27","2.6","3862705","3862705","1580","2487","1580","2487"
"2026-03-26","1.65","9951705","9951705","1540","6471","1540","6471"
"2026-03-25","-1.62","4682030","4682030","1515","3070","1515","3070"
"2026-03-24","-3.14","4986170","4986170","1540","3222","1540","3222"
"2026-03-23","3.25","11852055","11852055","1590","7444","1590","7444"
"2026-03-19","5.48","20282800","20282800","1540","13624","1540","13624"
"2026-03-18","0.34","4840945","4840945","1460","3307","1460","3307"
"2026-03-17","-1.69","10532805","10532805","1455","7192","1455","7192"
"2026-03-13","-0.67","8344460","8344460","1480","5702","1480","5702"
"2026-03-12","0","7181445","7181445","1490","4812","1490","4812"
"2026-03-11","-1","7082360","7082360","1490","4730","1490","4730"
"2026-03-10","-2.27","9304020","9304020","1505","6195","1505","6195"
"2026-03-09","-0.65","20652095","20652095","1540","13654","1540","13654"
"2026-03-06","-0.96","25236435","25236435","1550","16383","1550","16383"
"2026-03-05","-0.32","12662805","12662805","1565","8011","1565","8011"
"2026-03-04","0.32","6127080","6127080","1570","3912","1570","3912"
"2026-03-03","-2.19","16271490","16271490","1565","10389","1565","10389"
"2026-03-02","-3.03","16015100","16015100","1600","9935","1600","9935"
"2026-02-27","3.13","8739005","8739005","1650","5420","1650","5420"
"2026-02-26","0.95","20690965","20690965","1600","13001","1600","13001"
"2026-02-25","4.28","10531280","10531280","1585","6885","1585","6885"
"2026-02-24","2.36","4749605","4749605","1520","3175","1520","3175"
"2026-02-23","-4.5","31807940","31807940","1485","21190","1485","21190"
"2026-02-20","-2.51","15575860","15575860","1555","9931","1555","9931"
"2026-02-19","-2.15","56064095","56064095","1595","36168","1595","36168"
"2026-02-18","-1.21","92729545","92729545","1630","55769","1630","55769"
"2026-02-17","7.49","17070080","17070080","1650","10588","1650","10588"
"2026-02-16","7.34","31961770","31961770","1535","21077","1535","21077"
"2026-02-13","4","28750005","28750005","1430","19883","1430","19883"
"2026-02-12","0.73","19079365","19079365","1375","13954","1375","13954"
"2026-02-11","5","10004150","10004150","1365","7501","1365","7501"
"2026-02-10","0.39","22191095","22191095","1300","17027","1300","17027"
"2026-02-09","4.86","5978605","5978605","1295","4797","1295","4797"
"2026-02-06","0.82","8043345","8043345","1235","6461","1235","6461"
"2026-02-05","0.41","4373885","4373885","1225","3578","1225","3578"
"2026-02-04","1.24","5072265","5072265","1220","4197","1220","4197"
"2026-02-03","-1.23","18679110","18679110","1205","15399","1205","15399"
"2026-02-02","-0.41","7160085","7160085","1220","5871","1220","5871"
"2026-01-30","1.66","2213355","2213355","1225","1809","1225","1809"
"2026-01-29","-0.41","5370425","5370425","1205","4432","1205","4432"
"2026-01-28","0.83","7938575","7938575","1210","6592","1210","6592"
"2026-01-27","1.27","6493500","6493500","1200","5446","1200","5446"
"2026-01-26","-6.32","10444915","10444915","1185","8565","1185","8565"
"2026-01-23","7.2","9582375","9582375","1265","7575","1265","7575"
"2026-01-22","7.27","7003495","7003495","1180","6037","1180","6037"
"2026-01-21","0","1527970","1527970","1100","1383","1100","1383"
"2026-01-20","1.85","13402530","13402530","1100","12279","1100","12279"
"2026-01-19","0","2462695","2462695","1080","2280","1080","2280"
"2026-01-16","0.47","1892330","1892330","1080","1729","1080","1729"
"2026-01-15","2.38","1195640","1195640","1075","1117","1075","1117"
"2026-01-14","-0.94","3673845","3673845","1050","3418","1050","3418"
"2026-01-13","2.91","4181680","4181680","1060","3963","1060","3963"
"2026-01-12","-1.9","3346500","3346500","1030","3229","1030","3229"
"2026-01-09","-0.47","3055315","3055315","1050","2906","1050","2906"
"2026-01-08","-0.47","833755","833755","1055","790","1055","790"
"2026-01-07","0","3318465","3318465","1060","3144","1060","3144"
"2026-01-06","1.44","2984280","2984280","1060","2836","1060","2836"
"2026-01-05","0","3526345","3526345","1045","3350","1045","3350"
"2026-01-02","-1.42","6980610","6980610","1045","6651","1045","6651"
"2025-12-31","2.91","1036510","1036510","1060","979","1060","979"
"2025-12-30","-0.96","5133410","5133410","1030","5069","1030","5069"
"2025-12-29","-5.45","3615935","3615935","1040","3385","1040","3385"
"2025-12-26","-0.9","3328605","3328605","1100","3021","1100","3021"
"2025-12-24","2.78","2742160","2742160","1110","2476","1110","2476"
"2025-12-23","-3.14","3789020","3789020","1080","3484","1080","3484"
"2025-12-22","0","7609830","7609830","1115","6871","1115","6871"
"2025-12-19","2.76","1910810","1910810","1115","1719","1115","1719"
"2025-12-18","-0.91","3546365","3546365","1085","3243","1085","3243"
"2025-12-17","1.86","5280330","5280330","1095","4812","1095","4812"
"2025-12-16","0","9922510","9922510","1075","9185","1075","9185"
"2025-12-15","7.5","5641040","5641040","1075","5259","1075","5259"
"2025-12-12","-3.85","2371910","2371910","1000","2287","1000","2287"
"2025-12-11","4","2646015","2646015","1040","2633","1040","2633"
"2025-12-10","0","1768000","1768000","1000","1768","1000","1768"
"2025-12-09","0","1068600","1068600","1000","1069","1000","1069"
"2025-12-08","0.5","7435270","7435270","1000","7459","1000","7459"
"2025-12-05","0","3183800","3183800","995","3200","995","3200"
"2025-12-04","0.51","2927410","2927410","995","2952","995","2952"
"2025-12-03","-1","5403800","5403800","990","5451","990","5451"
"2025-12-02","0","5257210","5257210","1000","5286","1000","5286"
"2025-12-01","1.01","1886050","1886050","1000","1894","1000","1894"
"2025-11-28","0","9049850","9049850","990","9129","990","9129"
"2025-11-27","-1","16483625","16483625","990","16647","990","16647"
"2025-11-26","0.5","6328535","6328535","1000","6358","1000","6358"
"2025-11-25","-0.5","7389675","7389675","995","7427","995","7427"
"2025-11-24","0","5990585","5990585","1000","6010","1000","6010"
"2025-11-21","0","4570285","4570285","1000","4596","1000","4596"
"2025-11-20","0","4952350","4952350","1000","4975","1000","4975"
