"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0.43","27211265","27211265","2350","11627","2350","11627"
"2026-09-08","0","14487010","14487010","2340","6177","2340","6177"
"2026-09-07","-2.7","24791800","24791800","2340","10416","2340","10416"
"2026-09-04","-0.82","24644605","24644605","2405","10224","2405","10224"
"2026-09-03","-1.02","26010855","26010855","2425","10691","2425","10691"
"2026-09-02","0","56548340","56548340","2450","23294","2450","23294"
"2026-09-01","0.41","22683670","22683670","2450","9291","2450","9291"
"2026-08-31","-0.61","8612100","8612100","2440","3554","2440","3554"
"2026-08-28","1.66","27137115","27137115","2455","11244","2455","11244"
"2026-08-27","0.63","30019715","30019715","2415","12398","2415","12398"
"2026-08-26","-3.81","36623715","36623715","2400","14884","2400","14884"
"2026-08-24","1.22","112794445","112794445","2495","47040","2495","47040"
"2026-08-21","-0.2","26689115","26689115","2465","10893","2465","10893"
"2026-08-20","1.86","56076740","56076740","2470","22803","2470","22803"
"2026-08-19","7.3","83717340","83717340","2425","34846","2425","34846"
"2026-08-18","7.36","48153655","48153655","2260","21352","2260","21352"
"2026-08-17","5.25","26760410","26760410","2105","12858","2105","12858"
"2026-08-14","3.09","43460295","43460295","2000","21795","2000","21795"
"2026-08-13","0.78","20316300","20316300","1940","10478","1940","10478"
"2026-08-12","1.32","22725870","22725870","1925","11948","1925","11948"
"2026-08-11","-1.81","24172955","24172955","1900","12601","1900","12601"
"2026-08-10","1.84","10097920","10097920","1935","5238","1935","5238"
"2026-08-06","0.26","10326175","10326175","1900","5463","1900","5463"
"2026-08-05","0.26","10414335","10414335","1895","5591","1895","5591"
"2026-08-04","-0.53","13170830","13170830","1890","7041","1890","7041"
"2026-08-03","-2.31","13364080","13364080","1900","6968","1900","6968"
"2026-07-31","2.37","19059045","19059045","1945","10059","1945","10059"
"2026-07-30","-0.26","7709620","7709620","1900","4076","1900","4076"
"2026-07-29","-2.31","6141955","6141955","1905","3225","1905","3225"
"2026-07-28","-1.02","20653705","20653705","1950","10900","1950","10900"
"2026-07-27","6.49","49276985","49276985","1970","25581","1970","25581"
"2026-07-24","1.09","21725650","21725650","1850","11983","1850","11983"
"2026-07-23","-3.17","19242670","19242670","1830","10251","1830","10251"
"2026-07-22","0.8","19415940","19415940","1890","10268","1890","10268"
"2026-07-21","0.27","21604720","21604720","1875","11470","1875","11470"
"2026-07-20","1.36","32903025","32903025","1870","17654","1870","17654"
"2026-07-17","3.65","75231720","75231720","1845","40295","1845","40295"
"2026-07-16","7.23","17771520","17771520","1780","9984","1780","9984"
"2026-07-15","7.44","7654660","7654660","1660","4612","1660","4612"
"2026-07-14","7.29","10352545","10352545","1545","6701","1545","6701"
"2026-07-13","7.46","4338600","4338600","1440","3018","1440","3018"
"2026-07-10","7.2","12768850","12768850","1340","9655","1340","9655"
"2026-07-09","-2.72","60591065","60591065","1250","49795","1250","49795"
"2026-07-08","-7.22","36429620","36429620","1285","28170","1285","28170"
"2026-07-07","-6.1","53123965","53123965","1385","37170","1385","37170"
"2026-07-06","-3.91","73472310","73472310","1475","48842","1475","48842"
"2026-07-03","-1.92","164782400","164782400","1535","111753","1535","111753"
"2026-07-02","-7.4","30443810","30443810","1565","19449","1565","19449"
"2026-07-01","-7.4","17147080","17147080","1690","10132","1690","10132"
"2026-06-30","-7.36","17025925","17025925","1825","9324","1825","9324"
"2026-06-29","-0.76","13143990","13143990","1970","6705","1970","6705"
"2026-06-26","0.25","14657345","14657345","1985","7371","1985","7371"
"2026-06-25","0.76","15694810","15694810","1980","7959","1980","7959"
