"Date","Variation","Valeur","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2026-09-09","0.6","23982920","23982920","2495","9954","2495","9954"
"2026-09-08","0","16409890","16409890","2480","6595","2480","6595"
"2026-09-07","3.33","12376320","12376320","2480","5089","2480","5089"
"2026-09-04","0","18439075","18439075","2400","7664","2400","7664"
"2026-09-03","0","45350745","45350745","2400","18839","2400","18839"
"2026-09-02","-1.44","16023630","16023630","2400","6601","2400","6601"
"2026-09-01","0.41","13804430","13804430","2435","5805","2435","5805"
"2026-08-31","-0.61","7249420","7249420","2425","2987","2425","2987"
"2026-08-28","-0.41","7881080","7881080","2440","3303","2440","3303"
"2026-08-27","-0.2","15755580","15755580","2450","6457","2450","6457"
"2026-08-26","-1.01","15507745","15507745","2455","6346","2455","6346"
"2026-08-24","0.81","10149820","10149820","2480","4144","2480","4144"
"2026-08-21","0.41","13717310","13717310","2460","5653","2460","5653"
"2026-08-20","2.08","11754630","11754630","2450","4795","2450","4795"
"2026-08-19","0","8319595","8319595","2400","3447","2400","3447"
"2026-08-18","2.13","9967085","9967085","2400","4174","2400","4174"
"2026-08-17","6.82","23128290","23128290","2350","10197","2350","10197"
"2026-08-14","0","3506250","3506250","2200","1596","2200","1596"
"2026-08-13","-2.22","12927590","12927590","2200","5842","2200","5842"
"2026-08-12","-1.53","7226795","7226795","2250","3215","2250","3215"
"2026-08-11","-0.22","9960565","9960565","2285","4425","2285","4425"
"2026-08-10","0","16988245","16988245","2290","7590","2290","7590"
"2026-08-06","-0.43","4745530","4745530","2290","2066","2290","2066"
"2026-08-05","-1.08","5564960","5564960","2300","2414","2300","2414"
"2026-08-04","0","11246295","11246295","2325","4852","2325","4852"
"2026-08-03","5.68","13087845","13087845","2325","5795","2325","5795"
"2026-07-31","0","4538300","4538300","2200","2141","2200","2141"
"2026-07-30","0.23","9947035","9947035","2200","4691","2200","4691"
"2026-07-29","2.09","9286285","9286285","2195","4364","2195","4364"
"2026-07-28","1.9","12772990","12772990","2150","6057","2150","6057"
"2026-07-27","-3.87","5670520","5670520","2110","2607","2110","2607"
"2026-07-24","-0.68","4759475","4759475","2195","2173","2195","2173"
"2026-07-23","0.23","6252820","6252820","2210","2882","2210","2882"
"2026-07-22","0.23","6765705","6765705","2205","3073","2205","3073"
"2026-07-21","4.51","8158520","8158520","2200","3711","2200","3711"
"2026-07-20","-3.88","9095755","9095755","2105","4291","2105","4291"
"2026-07-17","-0.45","12349040","12349040","2190","5734","2190","5734"
"2026-07-16","1.38","3303535","3303535","2200","1513","2200","1513"
"2026-07-15","-1.36","7455915","7455915","2170","3390","2170","3390"
"2026-07-14","0","14575760","14575760","2200","6802","2200","6802"
"2026-07-13","-0.23","7095915","7095915","2200","3227","2200","3227"
